MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-07-13,156.6,929.65,1169.75,1178.7,526.2,296.8
2018-07-14,326.75,1279.55,1780.5,1218.45,445.1,285.8
2018-07-15,145.5,851.45,1074.15,1393.2,405.7,248.7
2018-07-16,138.15,829.85,1041.7,1362.9,487.8,188.7
2018-07-17,199.75,691.95,998.25,953.5,449.4,111.7
2018-07-18,420.15,1124.35,1768.4,828.8,288.7,116.6
2018-07-19,723.45,1274.9,2384.0,975.0,378.0,157.8
2018-07-20,385.65,1455.25,2046.35,1061.0,364.6,174.9
2018-07-21,93.2,761.85,904.65,1562.1,493.0,322.7
2018-07-22,174.65,829.65,1097.7,994.05,378.8,192.7
2018-07-23,443.9,1186.65,1867.0,859.6,331.3,141.2
2018-07-24,273.9,993.5,1413.25,999.75,361.5,170.9
2018-07-25,214.45,942.8,1271.6,1083.1,421.7,160.2
2018-07-26,339.9,1528.55,2049.75,1194.2,603.1,340.0
2018-07-27,410.8,1156.3,1786.25,1019.75,544.0,270.0
2018-07-28,255.65,662.15,1054.05,927.3,286.3,125.0
2018-07-29,343.75,667.95,1195.05,608.5,188.8,123.5
2018-07-30,541.75,714.88,1545.25,396.1,264.0,106.8
2018-07-31,371.55,807.4,1377.15,776.05,192.1,98.5
2018-08-01,459.45,914.45,1619.0,790.8,287.0,119.0
2018-08-02,414.05,876.35,1511.5,736.8,273.9,109.2
2018-08-03,415.05,767.65,1403.95,916.85,406.1,136.5
2018-08-04,54.75,358.85,442.7,1141.5,293.4,116.0
2018-08-05,231.25,887.8,1242.25,1085.9,303.2,143.8
2018-08-06,348.05,1258.45,1791.9,1302.95,448.0,197.4
2018-08-07,243.35,1160.5,1533.75,1098.35,499.5,186.2
2018-08-08,245.4,702.05,1078.4,993.9,237.5,81.7
2018-08-09,546.15,887.9,1725.1,318.05,300.4,137.9
2018-08-10,498.7,816.6,1581.35,541.15,219.2,71.5
2018-08-11,532.95,998.2,1815.3,517.3,192.7,102.4
2018-08-12,415.85,896.25,1534.2,552.7,196.3,95.0
2018-08-13,234.0,478.7,837.15,702.3,255.6,117.7
2018-08-14,130.8,481.35,681.8,838.0,371.2,127.6
2018-08-15,326.88,768.73,1269.97,685.9,243.15,124.65
2018-08-16,447.45,726.25,1412.3,502.15,186.7,102.8
2018-08-17,497.3,651.8,1414.15,628.3,240.7,114.5
2018-08-18,343.75,712.5,1239.45,541.25,222.8,138.9
2018-08-19,168.7,433.4,692.2,619.5,188.1,118.3
2018-08-20,242.35,611.35,983.1,520.65,231.6,105.3
2018-08-21,258.65,837.25,1234.2,695.8,218.4,95.5
2018-08-22,442.55,769.05,1447.8,387.7,341.7,119.5
2018-08-23,244.95,468.55,843.8,745.45,234.9,107.1
2018-08-24,186.6,549.1,835.25,768.15,350.2,95.0
2018-08-25,429.55,548.15,1206.95,719.9,175.0,91.6
2018-08-26,1330.17,1043.32,3082.97,180.25,347.25,237.54
2018-08-27,666.54,746.15,1768.41,353.14,385.34,247.5
2018-08-28,1069.04,1159.83,2799.07,220.36,439.5,269.0
2018-08-29,569.79,711.46,1585.33,402.58,493.67,290.49
