MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-05-04,625.48,1111.51,1939.72,314.4,474.83,244.85
2018-05-05,803.14,1471.62,2590.8,314.4,638.75,328.78
2018-05-06,630.68,1514.67,2359.01,314.4,781.5,443.9
2018-05-07,515.12,1515.9,2198.71,314.4,862.7,499.8
2018-05-08,788.74,1363.62,2457.99,314.4,696.7,388.4
2018-05-09,701.41,950.25,1883.65,314.4,425.85,221.6
2018-05-10,652.54,930.66,1764.25,314.4,397.55,212.05
2018-05-11,319.77,687.71,1023.96,314.4,400.88,198.2
2018-05-12,555.19,958.59,1698.61,314.4,436.75,283.5
2018-05-13,643.31,984.59,1830.41,314.4,505.95,298.2
2018-05-14,533.44,746.56,1367.76,314.4,380.6,178.1
2018-05-15,547.51,850.3,1489.71,314.4,430.1,214.85
2018-05-16,551.42,691.11,1338.48,314.4,490.8,215.65
2018-05-17,614.79,793.26,1545.75,314.4,501.25,191.7
2018-05-18,814.3,1048.2,2127.74,314.4,506.3,221.85
2018-05-19,577.46,996.73,1741.75,314.4,572.8,285.1
2018-05-20,478.3,847.56,1416.65,314.4,578.1,320.25
2018-05-21,755.86,1313.14,2340.45,314.4,805.7,425.45
2018-05-22,517.81,728.58,1321.78,314.4,675.85,342.9
2018-05-23,518.67,704.19,1297.38,314.4,638.9,306.6
2018-05-24,748.99,1044.23,2050.94,314.4,782.2,395.1
2018-05-25,750.16,1203.09,2204.15,314.4,697.55,415.75
2018-05-26,408.54,909.17,1346.49,314.4,965.65,539.0
2018-05-27,362.53,816.62,1219.04,314.4,734.6,389.7
2018-05-28,380.14,787.91,1190.99,314.4,881.1,481.7
2018-05-29,541.59,848.16,1487.94,314.4,623.05,330.0
2018-05-30,681.69,1035.24,1929.82,314.4,626.7,332.9
2018-05-31,737.6,1248.55,2241.36,314.4,911.48,474.95
2018-06-01,475.92,797.96,1414.46,314.4,595.75,322.8
2018-06-02,663.9,900.64,1761.4,314.4,410.9,207.1
2018-06-03,440.79,837.95,1353.34,314.4,390.35,162.05
2018-06-04,598.86,867.41,1592.95,314.4,527.2,239.25
2018-06-05,590.51,755.98,1466.59,314.4,448.55,149.15
2018-06-06,663.76,864.41,1699.2,314.4,578.5,196.0
2018-06-07,690.74,954.59,1840.29,314.4,554.45,204.3
2018-06-08,677.63,910.51,1767.19,314.4,556.58,221.05
2018-06-09,516.66,801.36,1411.57,314.4,531.15,234.6
2018-06-10,446.15,695.56,1186.46,314.4,495.05,220.3
2018-06-11,728.79,930.06,1868.52,314.4,432.9,172.55
2018-06-12,741.49,830.08,1777.88,314.4,437.6,225.95
2018-06-13,606.61,755.72,1569.17,314.4,374.6,212.79
2018-06-14,586.38,689.56,1431.76,314.4,459.92,199.63
2018-06-15,742.49,1004.75,1986.18,314.4,503.5,186.47
2018-06-16,558.33,621.77,1331.61,314.4,391.4,173.31
2018-06-17,499.25,505.51,1096.99,314.4,342.15,160.15
2018-06-18,723.5,660.99,1597.88,314.4,420.7,146.99
2018-06-19,804.07,573.6,1656.71,314.4,352.5,133.84
2018-06-20,725.73,489.54,1446.56,314.4,397.35,120.68
2018-06-21,612.79,619.58,1346.86,314.4,407.6,138.74
2018-06-22,712.38,840.79,1757.31,314.4,421.65,174.1
2018-06-23,566.53,817.16,1500.42,314.4,451.05,250.25
2018-06-24,449.31,897.49,1414.12,314.4,444.9,240.4
2018-06-25,537.18,1121.81,1791.91,314.4,509.05,270.8
2018-06-26,650.71,1100.68,1939.34,314.4,448.9,190.98
2018-06-27,675.69,953.31,1801.35,314.4,492.35,196.45
2018-06-28,641.98,1014.68,1817.78,314.4,535.9,220.65
2018-06-29,631.93,961.99,1743.89,314.4,486.1,199.25
2018-06-30,452.42,773.1,1276.72,314.4,458.4,189.45
2018-07-01,384.23,984.19,1389.25,314.4,529.1,217.55
2018-07-02,625.57,1092.41,1866.8,314.4,476.15,176.7
2018-07-03,599.61,953.49,1683.1,314.4,431.95,161.85
2018-07-04,577.34,934.68,1653.7,314.4,484.9,194.1
2018-07-05,622.43,1162.96,1986.5,314.4,643.7,325.05
2018-07-06,658.2,1313.63,2156.02,314.4,642.75,335.85
