MeasurementDateGMT,PM10,PM25,CO,NO,NO2,NOX,O3,SO2
2020-05-24,297.69,144.29,2.74,24.93,284.63,322.74,1713.49,41.96
2020-05-31,305.93,154.04,2.74,42.2,362.44,427.09,1783.11,42.4
2020-06-07,240.41,111.11,2.84,40.73,368.46,430.69,1472.54,49.68
2020-06-14,311.4,215.24,2.79,37.59,379.09,436.61,1457.49,46.03
2020-06-21,186.94,114.64,2.5,42.26,318.84,383.65,1434.7,41.66
2020-06-28,348.42,183.01,2.64,36.71,387.34,443.69,1954.89,60.43
2020-07-05,194.87,90.71,2.71,38.44,207.32,266.39,1063.64,45.87
2020-07-12,189.79,97.42,2.83,89.1,337.91,474.6,979.0,45.36
2020-07-19,202.01,89.84,2.64,58.51,308.6,398.39,993.86,41.26
2020-07-26,212.61,96.89,2.56,39.46,272.2,332.69,1290.27,44.81
2020-08-02,294.94,122.1,2.84,58.17,375.23,464.67,1240.67,48.92
2020-08-09,357.68,177.05,3.49,126.43,491.91,685.84,1594.36,74.8
2020-08-16,655.26,452.3,3.3,41.21,538.76,602.01,2262.83,86.19
2020-08-23,245.34,122.76,2.63,39.99,254.73,316.09,1361.14,67.92
2020-08-30,190.76,98.1,2.61,40.95,282.39,345.3,1194.92,49.65
2020-09-06,247.39,145.75,3.76,146.7,557.59,782.41,1062.1,36.97
2020-09-13,228.15,124.08,2.91,101.61,441.93,597.59,1038.19,53.54
2020-09-20,521.04,249.73,3.14,97.83,566.43,716.43,1672.56,50.83
2020-09-27,279.26,150.61,3.12,66.92,465.94,568.52,1392.15,56.43
2020-10-04,189.79,120.51,3.37,71.47,483.34,592.8,1072.73,60.03
2020-10-11,175.77,97.68,3.25,159.63,548.9,793.49,853.75,47.81
2020-10-18,244.58,148.21,3.23,133.51,658.06,862.6,808.72,58.49
2020-10-25,247.51,138.61,3.11,59.71,477.14,568.74,1159.39,75.96
2020-11-01,238.29,126.84,3.0,103.07,412.19,570.33,1251.1,58.36
2020-11-08,717.29,531.03,8.51,873.99,980.77,2320.81,761.56,84.53
2020-11-15,260.2,157.76,3.21,56.51,469.89,556.7,715.9,59.94
2020-11-22,226.7,129.37,2.93,77.11,457.12,575.54,904.7,59.99
2020-11-29,564.06,419.68,6.07,523.7,918.86,1721.9,1093.51,62.51
2020-12-06,302.86,204.41,4.09,184.51,784.82,1067.54,1282.31,86.1
2020-12-13,337.24,237.57,4.49,282.94,856.4,1290.04,1471.11,72.19
2020-12-20,226.87,126.28,2.96,32.76,435.14,485.5,1219.32,54.01
2020-12-27,153.86,99.14,3.19,66.23,394.71,496.17,1090.5,89.6
2021-01-03,459.43,386.56,6.69,183.35,617.13,898.81,597.36,50.9
2021-01-10,605.57,512.34,10.61,201.07,618.64,926.91,587.29,-138.47
2021-01-17,555.01,463.24,9.51,197.89,683.73,986.83,794.81,51.36
2021-01-24,528.26,435.88,8.19,111.41,547.6,718.6,1115.71,268.53
2021-01-31,549.04,450.98,11.56,141.14,596.98,813.51,901.55,313.92
2021-02-07,582.49,470.5,9.49,91.89,602.92,743.65,1016.24,179.99
2021-02-14,601.94,474.36,2.24,56.21,552.99,639.11,1415.99,6.79
2021-02-21,615.74,466.01,3.59,24.54,404.44,442.17,1483.8,0.59
2021-02-28,676.31,521.89,5.11,334.96,801.31,1314.95,1121.51,61.12
2021-03-07,750.41,624.84,3.99,220.93,667.96,1006.43,1149.16,102.41
2021-03-14,630.22,499.76,1.69,89.63,467.69,605.1,1348.84,90.26
2021-03-21,591.21,466.64,1.07,47.63,471.0,544.07,1287.63,62.19
2021-03-28,644.72,495.04,0.6,47.01,425.17,497.33,1495.95,53.36
2021-04-04,710.41,526.7,2.07,239.37,705.93,1072.8,1524.79,53.99
2021-04-11,573.37,429.95,0.06,41.85,421.54,485.91,1508.46,48.34
2021-04-18,580.97,456.17,0.69,137.63,712.37,923.3,1406.01,46.26
2021-04-25,727.38,562.55,0.4,87.05,624.79,758.45,1544.71,55.3
2021-05-02,623.29,488.01,0.03,49.1,449.3,524.71,1768.21,55.84
2021-05-09,520.91,417.51,0.19,33.26,301.14,352.1,1505.36,84.64
2021-05-16,543.39,441.29,0.57,30.97,368.6,416.11,1612.59,106.44
2021-05-23,518.79,420.21,3.56,33.92,319.69,371.82,1416.68,180.06
2021-05-30,575.74,467.83,4.6,49.44,483.63,559.37,1517.21,196.19
2021-06-06,620.17,490.75,4.58,36.13,369.5,424.87,1691.32,124.46
2021-06-13,544.22,435.5,2.61,26.69,191.17,232.09,1370.91,44.21
2021-06-20,560.73,443.27,3.97,28.6,234.79,278.54,1415.36,34.34
2021-06-27,575.67,463.14,3.91,42.57,237.87,303.16,1324.77,21.46
2021-07-04,397.85,326.88,2.83,31.2,171.27,218.9,709.35,15.12
