MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-07-21,615.83,1228.32,2172.68,515.35,359.0
2018-07-22,461.8,910.22,1618.2,397.4,249.0
2018-07-23,911.76,1325.01,2723.32,441.85,211.0
2018-07-24,871.88,1207.77,2544.93,493.15,202.0
2018-07-25,718.1,1412.0,2512.95,469.65,216.0
2018-07-26,787.2,1732.02,2938.88,710.8,424.0
2018-07-27,917.05,1472.98,2879.3,634.7,335.0
2018-07-28,417.25,491.63,1131.45,476.25,160.0
2018-07-29,343.6,432.82,960.08,303.95,98.0
2018-07-30,747.52,707.72,1853.75,409.5,158.0
2018-07-31,900.05,1028.47,2408.63,426.45,161.0
2018-08-01,952.28,1148.15,2608.48,432.1,150.0
2018-08-02,964.38,1292.45,2771.35,433.0,156.0
2018-08-03,818.3,1468.45,2723.15,535.9,192.0
2018-08-04,328.78,701.1,1205.3,313.95,131.0
2018-08-05,287.82,750.55,1191.48,347.0,155.0
2018-08-06,793.3,1556.55,2772.7,530.55,236.0
2018-08-07,829.68,1461.62,2733.78,572.0,254.0
2018-08-08,689.75,901.9,1959.25,379.82,134.0
2018-08-09,1503.28,1363.95,3669.35,471.9,232.0
2018-08-10,894.28,934.02,2305.0,363.2,129.0
2018-08-11,868.22,1138.12,2469.45,368.38,155.0
2018-08-12,436.25,684.3,1353.5,335.8,157.0
2018-08-13,932.7,990.27,2420.18,427.72,187.0
2018-08-14,943.18,1039.25,2485.4,360.15,159.0
2018-08-15,717.4,776.85,1876.88,402.2,188.0
2018-08-16,1037.95,974.38,2565.82,439.7,201.0
2018-08-17,1180.2,1017.27,2826.75,475.05,189.0
2018-08-18,600.25,666.35,1586.82,394.8,182.0
2018-08-19,351.0,422.28,960.6,358.05,183.0
2018-08-20,919.92,897.6,2308.02,383.4,182.0
2018-08-21,963.54,1116.18,2593.69,390.18,178.0
2018-08-22,1000.55,935.05,2469.32,424.28,214.0
2018-08-23,926.38,875.85,2296.03,340.9,170.0
2018-08-24,800.75,800.92,2028.68,286.6,101.0
2018-08-25,840.75,957.65,2246.83,348.7,212.0
2018-08-26,480.1,731.45,1467.85,268.1,138.0
2018-08-27,424.72,509.0,1160.32,296.15,119.0
2018-08-28,1291.68,1361.08,3342.15,400.0,187.0
2018-08-29,1030.4,1226.88,2806.92,417.6,235.0
2018-08-30,947.48,1138.57,2591.12,469.1,248.0
2018-08-31,1167.5,1428.6,3218.7,561.25,282.0
2018-09-01,1033.45,1483.45,3068.1,535.05,271.0
2018-09-02,369.65,1009.52,1576.45,529.9,303.0
2018-09-03,749.1,1302.27,2450.95,638.95,349.0
2018-09-04,354.88,752.12,1296.08,497.9,307.0
2018-09-05,336.65,720.75,1236.9,444.45,228.0
2018-09-06,1454.17,1323.2,3552.68,529.7,276.0
2018-09-07,1359.79,1273.21,3358.09,378.8,166.0
2018-09-08,759.58,975.3,2139.7,303.4,128.0
2018-09-09,378.75,643.3,1224.15,354.7,163.0
2018-09-10,845.95,869.48,2166.8,394.9,137.0
2018-09-11,749.22,763.7,1912.68,441.25,186.0
2018-09-12,728.15,936.05,2052.5,328.7,133.0
2018-09-13,2035.65,1578.12,4699.62,488.0,245.0
2018-09-14,1153.0,1202.97,2970.6,369.8,126.0
2018-09-15,996.9,1126.98,2655.68,439.95,159.0
2018-09-16,454.93,788.62,1486.02,367.95,148.0
2018-09-17,916.25,1360.32,2765.1,484.0,193.0
2018-09-18,759.1,848.72,2012.52,476.05,152.0
2018-09-19,653.49,698.71,1700.25,569.83,232.5
2018-09-20,648.18,708.08,1702.12,579.35,218.0
2018-09-21,741.88,769.38,1906.88,365.92,96.0
2018-09-22,962.82,1098.53,2574.82,343.78,160.0
2018-09-23,473.18,814.9,1540.62,243.2,166.0
2018-09-24,1721.12,1443.82,4082.55,401.25,225.0
2018-09-25,1991.22,1750.28,4803.38,549.3,278.0
2018-09-26,1991.57,1791.83,4845.72,681.6,309.0
2018-09-27,1823.08,1903.65,4698.8,720.35,450.0
2018-09-28,306.0,663.47,1132.53,368.42,163.0
2018-09-29,1463.88,1510.65,3755.33,552.4,297.0
2018-09-30,628.87,967.72,1931.43,369.15,245.0
2018-10-01,1121.65,1111.07,2830.88,377.58,181.0
2018-10-02,2014.95,1381.92,4471.23,402.25,150.0
2018-10-03,2424.6,1505.8,5223.02,439.1,272.0
2018-10-04,2317.96,1511.84,5066.2,493.65,280.5
2018-10-05,1377.15,1474.32,3586.18,715.55,449.0
2018-10-06,379.27,681.55,1262.8,387.8,292.0
2018-10-07,736.28,987.75,2116.68,342.55,192.0
2018-10-08,1140.37,1259.42,3008.42,437.05,223.0
2018-10-09,1654.02,1699.75,4235.85,565.15,312.0
2018-10-10,1059.73,1454.88,3080.03,865.2,695.0
2018-10-11,863.7,1112.53,2436.93,535.3,314.0
2018-10-12,663.68,954.23,1972.05,499.55,265.0
2018-10-13,615.5,897.65,1841.28,403.05,247.0
2018-10-14,220.88,530.1,868.85,182.8,180.0
2018-10-15,547.0,993.18,1832.02,397.8,457.0
2018-10-16,1297.69,1254.67,3244.51,626.78,420.5
2018-10-17,1745.55,1682.65,4359.12,444.8,315.0
2018-10-18,394.12,888.95,1493.12,384.9,286.0
2018-10-19,2600.75,1821.85,5809.62,699.65,443.0
