MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3)
2019-03-04,47.9,351.1,424.3,1567.6
2019-03-05,51.5,472.5,552.0,1577.9
2019-03-06,38.8,415.0,474.3,1518.4
2019-03-07,33.4,271.3,322.7,1612.0
2019-03-08,75.1,494.1,609.2,1340.2
2019-03-09,24.6,282.2,320.0,1760.8
2019-03-10,24.3,269.8,307.7,1703.4
2019-03-11,36.0,289.0,344.0,1774.0
2019-03-12,32.2,360.4,409.6,1729.3
2019-03-13,25.3,206.6,245.8,1810.4
2019-03-14,28.0,293.1,336.3,1813.8
2019-03-15,24.4,224.2,262.1,1561.1
2019-03-16,19.2,142.9,171.8,1907.9
2019-03-17,26.7,222.9,263.5,1720.2
2019-03-18,112.2,674.6,847.2,1169.7
2019-03-19,143.7,867.4,1087.2,706.0
2019-03-20,46.8,543.8,615.5,1213.4
2019-03-21,89.1,555.9,692.4,831.9
2019-03-22,46.9,539.2,611.3,1078.7
2019-03-23,40.9,523.9,587.1,1193.7
2019-03-24,64.0,515.4,613.1,1264.8
2019-03-25,38.1,377.7,436.4,1641.3
2019-03-26,295.7,987.2,1440.5,827.4
2019-03-27,177.4,753.5,1025.8,1133.0
2019-03-28,143.6,991.9,1212.5,1061.1
2019-03-29,378.1,1040.6,1620.4,840.7
2019-03-30,554.8,867.5,1718.1,1066.9
2019-03-31,24.8,318.0,355.4,1762.0
2019-04-01,59.9,523.0,614.9,1446.4
2019-04-02,132.1,785.2,987.7,838.5
2019-04-03,119.3,742.9,925.4,967.0
2019-04-04,84.4,589.7,718.8,1340.0
2019-04-05,45.9,452.8,522.6,1622.1
2019-04-06,30.2,350.5,396.5,1535.7
2019-04-07,40.4,304.2,366.6,1053.5
2019-04-08,190.9,700.9,993.8,839.8
2019-04-09,78.2,501.1,620.9,1334.1
2019-04-10,35.1,283.5,336.8,1735.7
2019-04-11,51.5,436.6,515.1,1690.1
2019-04-12,50.2,498.5,575.5,1566.5
2019-04-13,46.7,418.9,490.6,1645.5
2019-04-14,42.2,486.6,551.4,1542.6
2019-04-15,102.1,691.3,848.0,1133.7
2019-04-16,190.9,1011.4,1304.4,735.5
2019-04-17,90.2,725.6,863.7,1165.9
2019-04-18,122.8,780.1,968.2,1285.8
2019-04-19,51.85,627.75,707.25,1690.9
2019-04-20,32.2,474.7,524.1,2061.4
2019-04-21,33.3,559.4,610.3,2229.8
2019-04-22,43.3,829.4,895.9,2011.0
2019-04-23,76.4,962.9,1080.9,1194.0
2019-04-24,112.9,714.7,888.0,1332.1
2019-04-25,33.6,356.2,407.5,1751.1
2019-04-26,40.7,363.7,426.0,1675.7
2019-04-27,22.2,143.2,177.1,1915.4
2019-04-28,45.3,305.8,375.5,1480.9
2019-04-29,59.5,568.5,659.5,1132.0
2019-04-30,69.6,748.2,855.0,1106.3
2019-05-01,112.6,686.5,859.7,1278.8
2019-05-02,37.5,413.1,470.4,1352.5
2019-05-03,76.1,490.5,606.6,1079.3
2019-05-04,51.0,226.1,303.7,1453.8
2019-05-05,38.6,361.2,420.9,1569.4
2019-05-06,30.6,305.0,351.6,1632.6
2019-05-07,59.6,483.0,574.3,1661.5
2019-05-08,46.0,524.3,595.2,1430.7
2019-05-09,82.8,478.2,604.7,1020.0
2019-05-10,78.4,524.9,645.2,1235.4
2019-05-11,42.2,413.8,478.3,1285.1
2019-05-12,42.4,339.4,404.5,1396.6
2019-05-13,65.6,456.4,557.3,1416.5
2019-05-14,47.8,375.7,449.0,1654.1
2019-05-15,56.6,479.3,565.8,1698.0
2019-05-16,48.8,391.8,466.3,1710.5
2019-05-17,38.8,383.0,442.3,1314.9
2019-05-18,86.6,501.6,635.0,971.7
2019-05-19,71.1,422.4,531.4,1067.4
2019-05-20,45.5,428.6,498.5,1284.2
2019-05-21,33.4,304.0,355.7,1718.7
2019-05-22,45.9,407.8,478.9,1804.0
2019-05-23,39.2,404.7,465.1,1948.3
2019-05-24,32.1,305.3,354.2,1361.3
2019-05-25,25.1,176.6,215.3,1472.4
2019-05-26,31.8,183.0,231.5,1024.8
2019-05-27,25.0,163.7,202.2,1278.2
2019-05-28,35.5,256.6,310.6,1182.6
2019-05-29,68.2,430.1,534.5,875.6
2019-05-30,35.3,161.6,215.8,1085.1
2019-05-31,40.7,226.3,288.2,973.4
2019-06-01,44.8,320.6,389.3,1368.1
2019-06-02,26.2,233.8,274.4,1449.2
2019-06-03,30.3,183.4,229.2,1621.8
2019-06-04,75.0,508.2,622.6,1060.4
2019-06-05,28.1,231.0,273.9,1422.6
2019-06-06,36.4,306.4,362.2,1442.1
2019-06-07,45.5,445.4,515.6,1141.6
2019-06-08,24.5,156.4,193.7,1439.7
2019-06-09,28.1,224.9,267.5,1346.4
2019-06-10,36.8,296.1,352.6,1027.2
2019-06-11,43.3,232.9,299.3,1115.7
2019-06-12,41.2,413.2,476.5,1052.8
2019-06-13,37.0,310.9,367.4,1287.7
2019-06-14,32.1,269.9,319.3,1425.3
2019-06-15,29.5,239.8,285.3,1547.6
2019-06-16,30.0,164.3,210.3,1381.8
2019-06-17,27.1,198.0,239.6,1775.8
2019-06-18,79.0,702.5,823.5,940.98
2019-06-19,59.1,472.1,563.1,794.62
2019-06-20,38.6,267.1,326.1,784.15
2019-06-21,40.4,313.8,375.5,773.67
2019-06-22,54.2,397.4,481.2,763.2
2019-06-23,41.5,382.4,445.8,752.73
2019-06-24,74.6,623.9,738.0,742.25
2019-06-25,58.65,697.09,786.26,731.78
2019-06-26,85.88,519.05,649.07,721.31
2019-06-27,62.38,306.65,401.37,710.84
2019-06-28,43.3,315.5,382.4,700.36
2019-06-29,66.0,539.2,640.6,689.89
2019-06-30,30.8,171.6,218.6,679.42
2019-07-01,26.0,159.6,199.4,668.95
