MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-06-29,100.45,405.55,559.75,427.0
2018-06-30,49.4,270.5,346.9,398.5
2018-07-01,55.8,444.6,530.3,505.5
2018-07-02,80.03,421.98,545.0,429.0
2018-07-03,60.55,300.8,393.85,371.5
2018-07-04,89.9,537.9,676.05,518.5
2018-07-05,123.2,885.0,1074.15,677.5
2018-07-06,116.4,839.3,1018.05,670.5
2018-07-07,71.9,663.55,773.65,718.5
2018-07-08,49.7,478.75,555.1,425.0
2018-07-09,149.45,697.9,927.2,464.0
2018-07-10,111.9,326.95,498.4,336.5
2018-07-11,106.25,393.05,556.05,386.5
2018-07-12,105.7,550.05,712.1,480.5
2018-07-13,91.45,443.1,582.95,423.5
2018-07-14,47.5,433.3,506.5,403.0
2018-07-15,71.0,609.05,717.85,353.5
2018-07-16,88.65,634.8,770.75,418.0
2018-07-17,82.45,399.7,525.8,348.5
2018-07-18,130.35,627.3,826.7,370.5
2018-07-19,180.15,779.0,1055.15,438.0
2018-07-20,141.8,787.95,1005.3,427.0
2018-07-21,69.0,711.5,817.2,493.0
2018-07-22,73.45,668.6,781.4,349.0
2018-07-23,104.8,597.4,757.75,512.0
2018-07-24,95.55,541.3,687.55,403.5
2018-07-25,114.0,621.3,795.95,486.5
2018-07-26,134.1,784.0,989.7,707.5
2018-07-27,117.7,791.45,971.65,575.75
2018-07-28,59.7,205.0,296.45,438.5
2018-07-29,86.55,205.3,338.2,218.5
2018-07-30,147.65,321.25,547.55,252.5
2018-07-31,98.45,401.0,552.05,294.5
2018-08-01,128.75,486.75,684.0,332.0
2018-08-02,162.5,721.9,970.7,407.0
2018-08-03,153.45,831.6,1066.75,437.58
2018-08-04,91.2,402.25,542.2,388.18
2018-08-05,64.55,410.75,509.4,400.25
2018-08-06,209.9,895.0,1217.05,506.81
2018-08-07,130.55,836.15,1036.4,511.68
2018-08-08,79.8,373.25,495.6,313.5
2018-08-09,235.65,799.95,1161.25,307.5
2018-08-10,126.6,533.4,727.45,233.0
2018-08-11,133.55,496.8,701.65,251.0
2018-08-12,80.75,310.0,433.9,212.0
2018-08-13,118.1,487.95,669.15,285.5
2018-08-14,111.1,466.4,636.5,293.5
2018-08-15,87.1,372.95,506.7,329.5
2018-08-16,148.0,525.55,753.0,311.0
2018-08-17,190.45,519.25,811.6,336.5
2018-08-18,72.1,336.85,447.45,292.5
2018-08-19,61.05,248.05,341.85,281.5
2018-08-20,144.8,497.4,719.35,213.5
2018-08-21,124.75,540.55,731.95,232.5
2018-08-22,139.75,571.3,785.9,310.5
2018-08-23,112.65,401.8,574.75,257.0
2018-08-24,92.6,387.35,529.35,273.5
2018-08-25,210.15,539.75,862.4,251.0
2018-08-26,286.85,544.3,983.85,251.0
2018-08-27,60.45,310.35,403.2,196.5
2018-08-28,221.7,729.6,1069.45,280.5
2018-08-29,303.35,911.8,1376.5,357.5
2018-08-30,236.6,695.8,1058.85,411.5
2018-08-31,242.15,766.7,1138.05,452.5
2018-09-01,302.8,787.15,1251.4,454.5
2018-09-02,175.55,844.6,1113.6,515.5
2018-09-03,364.1,1138.0,1696.3,566.0
2018-09-04,131.65,671.35,873.55,420.5
2018-09-05,156.2,649.35,889.2,360.5
2018-09-06,196.75,655.4,956.9,387.5
2018-09-07,131.35,613.4,814.75,305.5
2018-09-08,82.4,560.85,687.05,250.0
2018-09-09,48.9,375.1,450.0,260.5
2018-09-10,84.18,417.82,546.68,342.0
2018-09-11,83.1,388.5,515.95,320.0
2018-09-12,441.45,785.75,1462.7,262.5
2018-09-13,1042.35,1072.45,2670.5,433.0
2018-09-14,140.5,733.9,949.3,302.0
2018-09-15,92.15,486.3,627.85,331.5
2018-09-16,60.9,354.0,447.35,292.0
2018-09-17,102.15,541.6,698.0,361.5
2018-09-18,62.65,331.55,427.8,414.0
2018-09-19,60.0,300.95,393.3,541.5
2018-09-20,59.65,280.2,371.8,487.25
2018-09-21,71.9,359.9,470.0,296.5
2018-09-22,99.95,564.25,717.7,258.5
2018-09-23,135.8,478.95,687.1,216.0
2018-09-24,555.25,768.9,1620.5,355.5
2018-09-25,1272.95,970.45,2922.15,538.0
2018-09-26,334.35,1124.45,1637.15,461.5
2018-09-27,340.95,1127.5,1650.35,514.0
2018-09-28,132.6,484.55,688.2,350.0
2018-09-29,566.78,1175.92,2044.98,533.5
2018-09-30,176.3,779.1,1049.3,377.0
2018-10-01,154.35,616.0,852.75,305.5
2018-10-02,116.4,517.8,696.5,295.5
2018-10-03,532.75,886.5,1703.2,342.0
2018-10-04,282.1,711.5,1143.9,370.0
2018-10-05,753.25,1261.85,2416.7,635.48
2018-10-06,193.25,696.85,992.85,515.23
2018-10-07,194.15,694.7,992.65,511.1
2018-10-08,176.1,782.2,1051.95,471.47
2018-10-09,444.3,1091.9,1772.8,544.34
2018-10-10,575.65,1332.15,2214.85,765.2
2018-10-11,131.85,526.85,728.9,448.67
