MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2019-06-30,39.15,260.15,320.45,358.0
2019-07-01,67.15,301.2,404.25,296.0
2019-07-02,118.8,437.45,619.55,339.5
2019-07-03,104.88,480.35,640.93,367.5
2019-07-04,112.4,630.25,802.35,391.5
2019-07-05,74.45,650.1,764.3,476.0
2019-07-06,99.1,438.65,590.95,286.0
2019-07-07,80.15,314.6,437.45,303.0
2019-07-08,138.35,554.9,767.0,395.5
2019-07-09,112.05,559.55,731.3,457.5
2019-07-10,88.05,474.2,609.15,464.0
2019-07-11,65.25,412.65,512.6,346.5
2019-07-12,57.35,255.4,343.2,321.0
2019-07-13,63.8,265.25,362.65,286.5
2019-07-14,61.2,236.85,330.85,247.0
2019-07-15,89.6,302.7,439.95,256.0
2019-07-16,73.75,463.65,577.05,431.5
2019-07-17,66.35,462.75,564.6,442.5
2019-07-18,76.45,390.95,508.3,372.0
2019-07-19,101.8,392.45,548.5,323.0
2019-07-20,45.8,216.35,286.55,241.5
2019-07-21,53.55,230.35,312.35,257.5
2019-07-22,73.0,316.3,427.85,341.0
2019-07-23,151.4,613.5,845.7,608.5
2019-07-24,64.9,655.5,754.9,621.5
