MeasurementDateGMT,NO,NO2,NOX,PM10,PM25,O3,SO2
2020-12-13,1341.03,1163.26,3219.64,452.07,240.97,322.46,52.8
2020-12-20,952.65,899.5,2360.8,335.99,109.95,849.87,52.8
2020-12-27,575.7,676.13,1558.73,225.5,98.22,874.95,52.8
2021-01-03,729.75,866.93,1985.87,349.64,295.79,539.88,52.8
2021-01-10,790.43,850.65,2062.53,370.49,277.34,379.15,52.8
2021-01-17,986.0,1005.43,2517.63,329.59,204.1,569.47,52.8
2021-01-24,861.02,909.53,2229.93,328.58,148.6,775.32,52.8
2021-01-31,959.95,990.2,2462.15,326.39,168.93,549.33,52.8
2021-02-07,746.1,885.02,2029.04,366.34,170.64,629.24,52.8
2021-02-14,218.08,634.96,969.45,385.44,199.51,966.4,52.8
2021-02-21,668.81,763.01,1789.01,466.49,179.37,819.57,52.8
2021-02-28,956.35,944.17,2410.24,594.67,185.69,682.96,52.8
2021-03-07,432.26,754.83,1415.84,565.37,166.55,729.04,52.8
2021-03-14,800.22,842.89,2069.09,523.98,69.77,903.95,52.8
2021-03-21,407.63,778.39,1403.36,585.45,162.05,838.09,52.8
2021-03-28,921.34,963.26,2376.16,539.38,264.91,950.78,52.8
2021-04-04,823.5,1017.57,2279.99,776.2,263.33,1011.35,52.8
2021-04-11,532.4,728.99,1545.1,363.45,121.71,1096.62,52.8
2021-04-18,672.42,1032.7,2063.89,585.13,214.01,860.37,52.8
2021-04-25,311.48,822.79,1300.25,632.96,386.76,1007.01,52.8
2021-05-02,378.59,826.48,1407.05,493.4,265.27,1109.09,52.8
2021-05-09,649.35,696.9,1692.67,332.78,113.87,1001.21,52.8
2021-05-16,557.7,790.21,1645.21,314.98,160.49,954.72,52.8
2021-05-23,794.58,804.74,2023.14,323.71,120.06,882.03,52.8
2021-05-30,552.35,783.68,1630.81,386.62,215.15,973.74,52.8
2021-06-06,371.45,790.28,1359.76,492.97,290.57,989.4,52.8
2021-06-13,689.1,727.66,1784.31,385.08,180.3,657.36,52.8
2021-06-20,319.2,588.23,1077.57,384.26,187.62,680.06,52.8
2021-06-27,357.57,515.69,1064.25,390.36,226.59,621.09,52.8
2021-07-04,135.72,297.09,504.95,284.42,168.76,344.12,35.93
