MeasurementDateGMT,Southwark - Elephant and Castle: Nitric Oxide (ug/m3),Southwark - Elephant and Castle: Nitrogen Dioxide (ug/m3),Southwark - Elephant and Castle: Oxides of Nitrogen (ug/m3),Southwark - Elephant and Castle: Ozone (ug/m3),Southwark - Elephant and Castle: PM10 Particulate (ug/m3)
2018-09-13,884.7000000000002,1005.4,2361.8,465.0,505.1000000000001
2018-09-14,73.0,654.4000000000001,766.0,770.2,313.99999999999994
2018-09-15,73.0,545.3,657.7,891.5999999999999,416.8
2018-09-16,68.49999999999999,481.8999999999999,586.8000000000001,1195.8,412.80000000000007
2018-09-17,89.04999999999998,553.05,689.1999999999999,1309.3,414.6000000000001
2018-09-18,58.3,376.6999999999999,465.90000000000015,1302.7,483.29999999999995
2018-09-19,84.5,367.49999999999994,496.80000000000007,1182.3999999999999,561.0999999999999
2018-09-20,109.0,390.7,557.9000000000001,1193.7,579.1
2018-09-21,33.7,348.1,400.3,1185.6,252.49999999999997
2018-09-22,77.89999999999998,645.0999999999999,764.4000000000001,750.0,343.6
2018-09-23,74.49999999999999,584.3,698.5999999999999,880.6,201.60000000000005
2018-09-24,665.9,1082.0,2102.6,476.8999999999999,383.29999999999995
2018-09-25,1049.1999999999998,1269.8999999999999,2878.8,502.49999999999994,548.5999999999999
2018-09-26,357.99999999999994,1225.1999999999998,1773.9000000000003,724.1999999999999,523.3000000000001
2018-09-27,275.2,1231.5,1653.8999999999999,796.6999999999997,590.8
2018-09-28,141.5,688.2,905.0000000000001,845.4000000000001,431.7000000000001
2018-09-29,400.19999999999993,1128.5999999999997,1742.2,599.5000000000001,560.9000000000001
2018-09-30,134.90000000000003,804.6,1011.5,769.7,406.69999999999993
2018-10-01,110.9,643.8999999999999,813.7,868.3000000000001,313.29999999999995
2018-10-02,54.89999999999999,530.2,614.4000000000001,877.9,308.50000000000006
2018-10-03,341.0,796.5,1319.5,555.9000000000001,350.99999999999994
2018-10-04,177.60000000000002,665.2,937.8999999999999,382.49999999999994,413.6
2018-10-05,524.6,1147.2,1951.8000000000002,457.6000000000001,713.3999999999999
2018-10-06,111.30000000000003,746.6999999999998,917.8,757.1,368.29999999999995
2018-10-07,98.79999999999998,746.3,897.6999999999998,770.3999999999999,325.6
2018-10-08,125.45000000000003,749.55,941.9999999999998,847.6000000000001,302.9
2018-10-09,226.1,1006.4,1352.9,838.8,442.20000000000005
2018-10-10,504.2999999999999,1546.7000000000007,2319.6000000000004,404.6000000000001,1191.8999999999996
2018-10-11,85.1,471.9999999999999,602.5000000000001,1187.1,484.7
2018-10-12,113.0,417.2,590.4000000000001,1306.0,433.09999999999997
2018-10-13,82.5,407.4,533.7,1306.6000000000001,416.1
2018-10-14,49.89999999999999,488.00000000000006,564.8000000000001,1119.7999999999997,178.20000000000002
2018-10-15,235.55,926.5500000000003,1287.55,452.25,373.6
2018-10-16,310.83061224489796,790.3795918367346,1267.275510204082,334.87142857142857,634.7
2018-10-17,414.31836734693877,907.7877551020407,1543.6653061224488,407.1428571428572,529.1999999999999
2018-10-18,271.6510204081632,877.5326530612247,1294.0591836734693,680.7857142857143,379.2
2018-10-19,901.8,1505.2000000000003,2887.7000000000003,328.2,588.9
2018-10-20,1198.6999999999998,1333.3000000000002,3171.2000000000007,335.5,807.8
