MeasurementDateGMT,Enfield - Prince of Wales School: Nitric Oxide (ug/m3),Enfield - Prince of Wales School: Nitrogen Dioxide (ug/m3),Enfield - Prince of Wales School: Oxides of Nitrogen (ug/m3)
2018-04-03,136.60000000000002,706.8000000000001,915.9000000000001
2018-04-04,75.19999999999999,473.2,588.3000000000001
2018-04-05,60.699999999999996,402.6,496.1
2018-04-06,132.29999999999998,674.2,877.0999999999999
2018-04-07,221.8,847.0999999999998,1187.1999999999998
2018-04-08,92.5,565.1,706.8000000000002
2018-04-09,68.49999999999999,527.3,632.1999999999999
2018-04-10,69.30000000000001,622.5,729.1
2018-04-11,55.39999999999999,475.2,560.0000000000001
2018-04-12,64.1,425.0000000000001,523.3000000000001
2018-04-13,83.60000000000001,669.2,797.2
2018-04-14,207.50000000000009,701.8000000000002,1020.2999999999998
2018-04-15,68.39999999999999,623.9000000000001,728.8000000000001
2018-04-16,32.2,422.6000000000001,472.6000000000001
2018-04-17,86.2,604.1,736.5999999999999
2018-04-18,143.70000000000002,788.3999999999999,1008.7
2018-04-19,779.1000000000001,1166.7,2361.1000000000004
2018-04-20,360.6000000000001,899.1999999999999,1452.2999999999997
2018-04-21,67.8,727.1999999999999,831.3
2018-04-22,43.8,337.8,404.69999999999993
2018-04-23,22.5,230.89999999999998,265.6
2018-04-24,36.9,313.8,370.3999999999999
2018-04-25,22.999999999999996,155.54999999999998,191.05000000000004
2018-04-26,26.400000000000002,258.5,298.5999999999999
2018-04-27,197.60000000000002,791.1,1094.4
2018-04-28,28.7,326.3,369.9000000000001
2018-04-29,17.900000000000002,132.60000000000002,160.49999999999997
2018-04-30,28.000000000000004,297.5,340.19999999999993
2018-05-01,79.30000000000003,441.50000000000006,563.4000000000001
2018-05-02,354.5,634.2,1177.9
2018-05-03,509.7,687.5,1469.1999999999998
2018-05-04,259.49999999999994,847.3,1245.3999999999999
2018-05-05,311.7,693.1999999999999,1170.8999999999999
2018-05-06,102.49999999999999,779.1,936.1
2018-05-07,154.60000000000002,880.4,1117.2
2018-05-08,587.1999999999999,808.2,1709.0
2018-05-09,78.64999999999998,463.95,584.9000000000001
2018-05-10,100.0,443.6,596.7
2018-05-11,264.50000000000006,694.0,1099.8000000000002
2018-05-12,143.60000000000002,656.7999999999998,876.8000000000001
2018-05-13,349.2,454.40000000000003,989.3
2018-05-14,202.9,422.8999999999999,733.5999999999999
2018-05-15,24.4,399.0999999999999,436.4
2018-05-16,17.800000000000004,270.3,297.29999999999995
2018-05-17,27.499999999999996,291.90000000000003,333.8
2018-05-18,235.60000000000005,536.1,896.9
2018-05-19,168.5999999999999,499.3000000000001,757.6999999999998
2018-05-20,82.9,497.4,624.6000000000001
2018-05-21,65.20000000000002,690.0,790.4
2018-05-22,23.200000000000003,304.3,340.0000000000001
2018-05-23,14.350000000000001,230.64999999999998,253.05000000000004
2018-05-24,26.2,373.0,412.9
2018-05-25,124.8,571.3000000000001,762.7
2018-05-26,28.7,384.6000000000001,428.9
2018-05-27,41.6,426.6,490.29999999999995
2018-05-28,46.20000000000001,317.29999999999995,387.49999999999994
2018-05-29,19.599999999999998,281.1000000000001,311.29999999999995
2018-05-30,65.7,504.59999999999997,605.4
2018-05-31,61.4,441.09999999999997,535.3
2018-06-01,50.900000000000006,583.1000000000001,661.6999999999999
2018-06-02,59.6,408.2,499.3
2018-06-03,72.10000000000001,425.19999999999993,536.0
2018-06-04,25.199999999999996,312.4,350.40000000000003
2018-06-05,25.5,294.7,332.9
2018-06-06,26.500000000000004,290.90000000000003,331.00000000000006
2018-06-07,30.700000000000003,321.95,369.04999999999995
2018-06-08,23.499999999999993,251.79999999999993,287.9000000000001
2018-06-09,17.400000000000002,238.5,265.3
2018-06-10,20.700000000000003,235.39999999999995,266.69999999999993
2018-06-11,41.8,436.3999999999999,500.29999999999995
2018-06-12,78.30000000000001,465.3,584.9999999999999
2018-06-13,407.99999999999994,569.4999999999999,1195.2
2018-06-14,78.69999999999999,379.1,499.9
2018-06-15,349.8000000000001,482.40000000000003,1018.6999999999999
2018-06-16,25.800000000000008,273.90000000000003,313.8
2018-06-17,16.8,190.10000000000002,215.4
2018-06-18,18.700000000000003,174.3,202.9
2018-06-19,34.10000000000001,210.10000000000002,262.2
2018-06-20,69.6,278.0,384.3999999999999
2018-06-21,22.700000000000003,244.70000000000005,279.4
