MeasurementDateGMT,Sutton - Wallington: Nitric Oxide (ug/m3),Sutton - Wallington: Nitrogen Dioxide (ug/m3),Sutton - Wallington: Oxides of Nitrogen (ug/m3),Sutton - Wallington: PM10 Particulate (ug/m3)
2020-04-05,109.80000000000001,422.8,591.2,328.0
2020-04-06,665.7,1160.9,2181.6,441.0
2020-04-07,618.7,1081.7,2030.3000000000004,574.0
2020-04-08,445.96422018348625,1389.9963302752292,2074.3440366972472,1209.0
2020-04-09,218.41100917431189,900.6165137614679,1235.8018348623852,1098.0
2020-04-10,165.03853211009175,676.5577981651377,929.3064220183485,882.0
2020-04-11,111.66605504587156,452.49908256880735,622.811009174312,669.0
2020-04-12,58.29357798165138,228.4403669724771,316.3155963302751,553.0
2020-04-13,133.82660550458715,291.5899082568808,496.2211009174312,388.0
2020-04-14,227.74999999999997,747.5999999999999,1097.55,333.0
2020-04-15,347.49999999999994,1076.6,1609.5000000000002,562.0
2020-04-16,715.8,1496.3999999999999,2593.6,1068.0
2020-04-17,301.3,762.8000000000002,1224.9,635.0
2020-04-18,335.3000000000001,737.4999999999999,1251.0,963.0
2020-04-19,180.80000000000007,608.7,886.4,583.0
2020-04-20,271.00000000000006,679.0000000000001,1094.4,637.0
2020-04-21,270.29999999999995,772.3000000000001,1187.2999999999997,772.0
2020-04-22,241.69999999999996,811.3999999999999,1182.0000000000002,769.0
2020-04-23,265.4,998.9,1406.3,831.0
2020-04-24,385.70000000000005,1151.0,1741.8000000000004,901.0
2020-04-25,197.2,636.1,938.1999999999999,466.0
2020-04-26,266.1,703.1,1111.0,472.0
2020-04-27,782.5999999999999,1289.2,2489.1999999999994,666.0
2020-04-28,318.8,791.7000000000002,1280.6999999999998,324.0
2020-04-29,386.75000000000006,663.35,1256.7,459.5
2020-04-30,338.70000000000005,514.4,1033.6,447.0
2020-05-01,479.6,695.1999999999999,1431.0000000000002,379.0
2020-05-02,640.8,1038.0000000000002,2020.9,277.0
2020-05-03,164.0,560.7000000000002,812.6000000000001,373.0
2020-05-04,157.90000000000003,589.6999999999998,832.0999999999999,400.0
2020-05-05,133.0,451.9,655.8000000000002,377.0
2020-05-06,185.9,743.5999999999999,1029.2000000000003,514.0
2020-05-07,456.9,1067.3,1768.3,529.0
2020-05-08,239.3,935.4000000000001,1302.1000000000001,417.0
2020-05-09,118.09999999999998,818.8999999999999,1000.0000000000001,644.0
2020-05-10,68.5,421.9,526.8000000000001,604.0
2020-05-11,85.80000000000001,219.99999999999997,352.1,272.0
2020-05-12,785.6999999999999,1193.6,2398.5,353.0
2020-05-13,159.4,413.6,658.0999999999999,246.0
2020-05-14,266.49999999999994,674.5000000000001,1082.8000000000002,245.0
2020-05-15,774.0000000000001,1384.5000000000002,2571.0999999999995,484.0
2020-05-16,794.3000000000001,1333.3999999999999,2550.8,370.0
2020-05-17,401.30000000000007,758.2,1373.3000000000002,313.0
2020-05-18,556.0000000000002,944.0000000000001,1796.2000000000003,408.0
2020-05-19,826.4291666666666,1169.5375,2436.6499999999996,412.0
