MeasurementDateGMT,London Teddington Bushy Park : PM10 Particulate (ug/m3),London Teddington Bushy Park : PM2.5 Particulate (ug/m3)
2019-04-16,300.0,1202.2999999999997
2019-04-17,300.0,1130.1
2019-04-18,300.0,1154.2000000000003
2019-04-19,300.0,673.6999999999999
2019-04-20,300.0,672.5000000000001
2019-04-21,300.0,743.8000000000002
2019-04-22,300.0,956.9000000000003
2019-04-23,300.0,781.6999999999999
2019-04-24,300.0,514.1999999999998
2019-04-25,300.0,128.20000000000002
2019-04-26,300.0,136.99999999999997
2019-04-27,300.0,161.20000000000002
2019-04-28,300.0,175.79999999999998
2019-04-29,300.0,309.3
2019-04-30,300.0,414.59999999999985
2019-05-01,300.0,348.2
2019-05-02,300.0,199.19999999999996
2019-05-03,300.0,275.59999999999997
2019-05-04,300.0,186.7
2019-05-05,300.0,255.09999999999997
2019-05-06,300.0,211.50000000000003
2019-05-07,300.0,301.27083333333337
2019-05-08,300.0,478.7833333333333
2019-05-09,300.0,666.7833333333333
2019-05-10,300.0,471.11250000000007
2019-05-11,300.0,335.65
2019-05-12,300.0,257.50000000000006
2019-05-13,300.0,195.89999999999998
2019-05-14,300.0,224.79999999999995
2019-05-15,300.0,407.4999999999999
2019-05-16,300.0,333.29999999999995
2019-05-17,300.0,331.4
2019-05-18,300.0,435.5
2019-05-19,300.0,1031.1000000000001
2019-05-20,300.0,389.15000000000003
2019-05-21,300.0,232.1
2019-05-22,300.0,215.79999999999995
2019-05-23,300.0,209.2
2019-05-24,300.0,242.69999999999996
2019-05-25,300.0,173.6
2019-05-26,300.0,156.9
2019-05-27,300.0,158.39999999999998
2019-05-28,300.0,119.3
2019-05-29,300.0,198.1
2019-05-30,300.0,187.00000000000003
2019-05-31,300.0,139.6
2019-06-01,300.0,189.39999999999998
2019-06-02,300.0,217.29999999999998
2019-06-03,300.0,177.59999999999997
2019-06-04,300.0,214.5
2019-06-05,300.0,150.1
2019-06-06,300.0,137.39999999999998
2019-06-07,300.0,185.09999999999997
2019-06-08,300.0,143.3
2019-06-09,300.0,151.7
2019-06-10,300.0,182.0
2019-06-11,300.0,157.1
2019-06-12,300.0,170.4
2019-06-13,300.0,167.39999999999995
2019-06-14,300.0,147.9
2019-06-15,300.0,137.1
2019-06-16,300.0,145.5
2019-06-17,300.0,142.9
2019-06-18,300.0,167.89782608695648
2019-06-19,300.0,189.67826086956524
2019-06-20,300.0,154.27391304347827
2019-06-21,300.0,147.39999999999998
2019-06-22,300.0,180.59999999999997
2019-06-23,300.0,536.5
2019-06-24,300.0,527.5999999999999
2019-06-25,300.0,446.29999999999995
2019-06-26,300.0,256.1
2019-06-27,300.0,217.3
2019-06-28,300.0,267.7
2019-06-29,300.0,423.0
2019-06-30,300.0,202.00000000000003
2019-07-01,300.0,143.5
2019-07-02,300.0,184.99999999999997
2019-07-03,300.0,227.4
2019-07-04,300.0,215.79999999999998
2019-07-05,300.0,275.19999999999993
2019-07-06,300.0,203.30000000000004
2019-07-07,300.0,208.60000000000002
2019-07-08,300.0,175.89999999999998
2019-07-09,300.0,235.3
2019-07-10,300.0,264.9
2019-07-11,300.0,224.40000000000003
2019-07-12,300.0,160.1
2019-07-13,300.0,189.40000000000003
2019-07-14,300.0,179.29999999999993
2019-07-15,300.0,150.0
2019-07-16,300.0,229.6
2019-07-17,300.0,256.8
2019-07-18,300.0,198.1
2019-07-19,300.0,149.62941176470582
2019-07-20,300.0,142.9058823529412
2019-07-21,300.0,134.43529411764703
2019-07-22,300.0,202.92941176470586
2019-07-23,300.0,305.3
2019-07-24,300.0,305.0
2019-07-25,300.0,405.00000000000006
2019-07-26,300.0,252.69999999999993
2019-07-27,300.0,181.3
