MeasurementDateGMT,Croydon - Park Lane: Nitric Oxide (ug/m3),Croydon - Park Lane: Nitrogen Dioxide (ug/m3),Croydon - Park Lane: Oxides of Nitrogen (ug/m3),Croydon - Park Lane: PM10 Particulate (ug/m3)
2018-02-05,668.8000000000001,917.0,1942.4,403.6
2018-02-06,1501.9,1426.8999999999999,3729.3,699.2999999999998
2018-02-07,1918.2,1618.3999999999999,4559.5,756.7
2018-02-08,1971.3000000000004,1627.8,4650.3,620.2
2018-02-09,464.90000000000003,896.7,1609.3999999999999,279.9
2018-02-10,1074.5999999999997,1132.9000000000003,2781.0000000000005,274.6
2018-02-11,137.70000000000002,377.9,588.8000000000001,200.8
2018-02-12,1062.7,1186.8,2816.3999999999996,408.6
2018-02-13,1194.6000000000001,1169.4,3001.4,284.70000000000005
2018-02-14,1524.0000000000002,1294.5999999999997,3631.1,342.5
2018-02-15,381.50000000000006,755.7000000000002,1340.7999999999997,390.59999999999997
2018-02-16,2290.4,1618.2,5130.349999999999,666.6
2018-02-17,1961.1000000000004,1692.9,4699.7,740.4
2018-02-18,1041.2,1191.6999999999998,2788.3000000000006,660.3000000000001
2018-02-19,1402.8999999999999,1404.6000000000001,3555.7,440.5
2018-02-20,974.9999999999997,1165.6999999999998,2660.7000000000003,279.1
2018-02-21,1266.4999999999998,1266.3000000000002,3208.1000000000004,1017.9
2018-02-22,1427.6999999999998,1470.3,3659.6,782.7000000000002
2018-02-23,1409.1,1387.25,3547.95,732.4999999999999
2018-02-24,1034.6,1118.6000000000001,2704.8,776.7999999999997
2018-02-25,644.7,778.8,1767.7000000000003,491.99999999999994
2018-02-26,922.1999999999999,960.1999999999999,2374.5,421.20000000000005
2018-02-27,1714.7,1573.2000000000003,4202.1,377.1
2018-02-28,1357.3000000000004,1377.2000000000003,3458.6000000000004,639.9
2018-03-01,929.2,1027.9999999999998,2452.5,915.5
2018-03-02,1028.8000000000002,1107.9,2684.8,974.2999999999997
2018-03-03,1143.5,1291.3999999999996,3044.7,1321.8000000000002
2018-03-04,869.0999999999998,1014.3,2347.100000000001,598.2
2018-03-05,1227.2,1140.3500000000001,3021.2000000000003,449.79999999999995
2018-03-06,1806.4999999999998,1635.8000000000002,4405.9,605.7
2018-03-07,1121.4,1439.7,3159.3000000000006,523.8
2018-03-08,526.1,728.1,1535.0,384.0
2018-03-09,1661.5000000000005,1366.7,3914.2000000000003,539.9000000000001
2018-03-10,1014.5999999999999,1097.8,2653.7000000000003,632.5
2018-03-11,807.4000000000002,1018.9999999999999,2257.0,563.4999999999998
2018-03-12,653.5999999999999,886.8,1889.0999999999997,346.40000000000003
2018-03-13,1178.7,1175.5000000000002,2982.4000000000005,479.09999999999997
2018-03-14,827.4,813.2999999999997,2081.6,521.5999999999999
2018-03-15,1123.7,1068.2,2791.2000000000003,431.7999999999999
2018-03-16,1194.5,1245.7000000000003,3077.5,774.6
2018-03-17,398.9,546.6,1157.8999999999999,496.6
2018-03-18,391.59999999999997,532.9,1133.3,664.4
2018-03-19,481.2,699.6999999999999,1437.5000000000002,632.3000000000002
2018-03-20,994.4999999999999,1251.9,2776.9999999999995,632.5
2018-03-21,1109.3,1136.7,2837.6999999999994,709.3
2018-03-22,373.70000000000005,638.1999999999999,1210.6999999999998,566.6999999999999
2018-03-23,902.7,990.4,2374.1000000000004,664.5
2018-03-24,1098.3,1010.95,2695.4500000000007,678.5
2018-03-25,975.5999999999999,1099.1,2595.4,1032.6000000000001
2018-03-26,1221.6000000000004,1479.8,3353.0,761.6
2018-03-27,599.2,787.1000000000001,1705.8,337.00000000000006
2018-03-28,794.4000000000003,1161.8999999999999,2380.1000000000004,258.0
2018-03-29,1637.8,1566.7,4077.6999999999994,426.1
2018-03-30,962.6999999999998,1140.1,2616.3,299.4
2018-03-31,741.1,881.8000000000002,2018.3,263.8
2018-04-01,566.7,810.1999999999998,1679.1,393.5
2018-04-02,544.5,680.5,1515.1999999999996,326.59999999999997
2018-04-03,748.8000000000001,986.2,2134.4,385.0
2018-04-04,650.7,831.3000000000001,1829.0,377.2000000000001
