MeasurementDateGMT,Croydon - Norbury: Nitric Oxide (ug/m3),Croydon - Norbury: Nitrogen Dioxide (ug/m3),Croydon - Norbury: Oxides of Nitrogen (ug/m3)
2019-01-04,1978.8999999999996,1700.3999999999999,4733.900000000001
2019-01-05,859.1999999999999,1308.6,2625.8999999999996
2019-01-06,673.1999999999998,1126.3,2158.1000000000004
2019-01-07,453.20000000000005,805.5,1500.1999999999998
2019-01-08,1043.1,1179.2,2779.1
2019-01-09,1688.0000000000005,1564.8000000000002,4153.400000000001
2019-01-10,1912.2999999999995,1575.3,4507.200000000001
2019-01-11,1996.6999999999996,1637.3,4698.6
2019-01-12,276.3,655.2999999999998,1078.8
2019-01-13,135.30000000000004,385.9,593.2
2019-01-14,719.0999999999999,1123.3,2226.0000000000005
2019-01-15,535.8000000000001,899.0999999999999,1720.6999999999998
2019-01-16,357.35,742.95,1290.9499999999998
2019-01-17,1301.6999999999996,1373.2,3369.6
2019-01-18,2635.1,1814.7,5855.000000000002
2019-01-19,1919.2999999999997,1401.0,4343.700000000001
2019-01-20,2231.0999999999995,1583.7000000000003,5004.5
2019-01-21,2844.4,1403.8000000000002,5765.2
2019-01-22,1101.5999999999997,1260.1000000000004,2948.7
2019-01-23,2378.2,1619.6000000000001,5266.599999999999
2019-01-24,3390.4,1851.6000000000001,7050.299999999998
2019-01-25,1723.5,1289.9,3932.6000000000013
2019-01-26,176.5,322.7,593.7000000000002
2019-01-27,169.8,335.40000000000003,596.0
2019-01-28,1493.0000000000002,1283.15,3572.4499999999994
2019-01-29,2061.1,1717.8000000000002,4877.7
2019-01-30,2008.1,1507.7000000000003,4587.1
2019-01-31,2981.2000000000007,1535.8000000000002,6106.599999999999
2019-02-01,2082.7999999999997,1335.7999999999997,4528.599999999999
2019-02-02,1164.2000000000003,1215.5,3000.8
2019-02-03,588.9999999999999,954.3000000000002,1857.6999999999998
2019-02-04,727.9,813.4,1929.9
2019-02-05,914.5000000000002,1045.7,2447.9000000000005
2019-02-06,946.3000000000001,1178.3,2629.4
2019-02-07,208.50000000000003,436.70000000000005,756.3
2019-02-08,66.10000000000001,333.5,434.70000000000005
2019-02-09,104.30000000000003,316.40000000000003,476.8999999999999
2019-02-10,256.3,654.6,1047.5
2019-02-11,1898.0999999999997,1633.9,4544.299999999999
2019-02-12,961.1999999999999,1243.3999999999996,2717.3
2019-02-13,664.2999999999997,1027.3,2045.8
2019-02-14,2804.400000000001,1774.6000000000004,6074.599999999999
2019-02-15,2064.8,1609.9000000000003,4775.600000000001
