MeasurementDateGMT,Kensington and Chelsea - North Ken FIDAS: PM10 Particulate (ug/m3),Kensington and Chelsea - North Ken FIDAS: PM2.5 Particulate (ug/m3)
2018-05-12,265.7,194.00000000000003
2018-05-13,348.9000000000001,262.8
2018-05-14,275.49999999999994,118.49999999999999
2018-05-15,377.8,147.2
2018-05-16,422.00000000000006,206.29999999999998
2018-05-17,371.9,174.8
2018-05-18,357.99999999999994,203.3
2018-05-19,468.1,310.9
2018-05-20,545.1,402.70000000000005
2018-05-21,660.3,459.7
2018-05-22,523.9,283.8
2018-05-23,556.6999999999999,346.00000000000006
2018-05-24,646.7000000000002,455.7
2018-05-25,550.4,434.5
2018-05-26,827.8000000000001,660.9
2018-05-27,564.1,403.59999999999997
2018-05-28,794.9000000000001,642.5999999999999
2018-05-29,463.49999999999994,373.49999999999983
2018-05-30,521.6,388.1000000000001
2018-05-31,794.3999999999997,627.8
2018-06-01,480.29999999999995,375.79999999999995
2018-06-02,197.79999999999998,131.7
2018-06-03,222.6,143.20000000000002
2018-06-04,360.3,263.00000000000006
2018-06-05,343.90000000000003,195.79999999999998
2018-06-06,455.5999999999999,257.6
2018-06-07,389.99999999999994,229.20000000000005
2018-06-08,367.2,216.79999999999995
2018-06-09,388.1,268.2
2018-06-10,366.2,264.79999999999995
2018-06-11,263.1,140.6
2018-06-12,277.7,170.4
2018-06-13,237.0,119.89999999999999
2018-06-14,272.7,141.6
2018-06-15,310.5,154.39999999999998
2018-06-16,201.30000000000004,103.29999999999998
2018-06-17,179.80000000000007,109.39999999999999
2018-06-18,214.40000000000003,106.80000000000001
2018-06-19,116.6,47.099999999999994
2018-06-20,184.50000000000003,91.1
2018-06-21,218.0,81.5
2018-06-22,272.3,121.00000000000001
2018-06-23,243.1,127.10000000000002
2018-06-24,255.9,146.8
2018-06-25,317.0,162.29999999999998
2018-06-26,376.50000000000006,174.79999999999998
2018-06-27,391.6000000000001,217.60000000000002
2018-06-28,434.7,250.7
2018-06-29,363.19999999999993,196.1
2018-06-30,322.0999999999999,166.10000000000002
2018-07-01,400.2000000000001,164.6
2018-07-02,361.90000000000003,102.10000000000002
2018-07-03,290.4,102.69999999999999
2018-07-04,412.80000000000007,228.80000000000004
2018-07-05,530.9,324.0
2018-07-06,511.4,316.3
2018-07-07,582.0000000000001,410.1000000000001
2018-07-08,319.09999999999997,200.2
2018-07-09,346.79999999999995,172.79999999999998
2018-07-10,245.1,115.29999999999997
2018-07-11,291.8,167.40000000000003
2018-07-12,393.4,225.90000000000003
2018-07-13,403.4,242.4
2018-07-14,348.1,217.89999999999995
2018-07-15,270.69999999999993,178.70000000000002
2018-07-16,297.79999999999995,159.60000000000005
2018-07-17,207.60000000000002,86.6
2018-07-18,209.59999999999994,99.39999999999999
2018-07-19,317.70000000000005,140.3
2018-07-20,324.9,167.19999999999996
2018-07-21,417.3000000000001,282.79999999999995
2018-07-22,284.1,174.00000000000003
2018-07-23,264.1,120.8
2018-07-24,300.5,157.00000000000003
2018-07-25,328.20000000000005,168.09999999999997
2018-07-26,570.8000000000001,357.6999999999999
2018-07-27,423.70000000000005,228.2
2018-07-28,272.0,121.6
2018-07-29,133.6,75.10000000000002
2018-07-30,148.19999999999996,76.39999999999999
2018-07-31,162.39999999999998,89.6
2018-08-01,199.80000000000004,100.79999999999998
2018-08-02,209.80000000000004,100.69999999999999
2018-08-03,256.09999999999997,109.49999999999999
2018-08-04,205.90000000000003,101.59999999999998
2018-08-05,247.60000000000002,129.39999999999998
2018-08-06,309.40000000000003,162.10000000000002
2018-08-07,332.5,163.9
2018-08-08,193.5,77.60000000000001
2018-08-09,203.39999999999995,113.5
2018-08-10,149.70000000000002,71.19999999999999
2018-08-11,153.59999999999997,92.40000000000002
2018-08-12,130.1,79.9
2018-08-13,190.20000000000002,101.20000000000002
2018-08-14,204.70000000000002,99.8
2018-08-15,222.29999999999995,126.70000000000002
2018-08-16,192.29999999999998,108.19999999999999
2018-08-17,215.4,106.00000000000001
2018-08-18,225.2,140.70000000000002
2018-08-19,193.10000000000002,123.39999999999998
2018-08-20,157.6,86.10000000000001
2018-08-21,155.2,76.39999999999999
2018-08-22,228.50000000000003,125.3
2018-08-23,171.99999999999997,95.4
2018-08-24,177.6,76.89999999999999
2018-08-25,165.09999999999997,97.79999999999998
2018-08-26,163.70000000000002,107.5
2018-08-27,156.0,80.5
2018-08-28,170.9,107.79999999999998
2018-08-29,242.29999999999995,155.10000000000002
2018-08-30,230.8,122.3
2018-08-31,297.2,167.09999999999997
2018-09-01,297.69999999999993,189.29999999999998
2018-09-02,374.5,262.1
2018-09-03,444.7,292.6
2018-09-04,448.1,235.90000000000003
2018-09-05,483.9,232.00000000000006
2018-09-06,313.99999999999994,185.1
2018-09-07,194.39999999999998,93.80000000000001
2018-09-08,158.89999999999998,89.9
2018-09-09,151.0,88.5
2018-09-10,231.8,110.0
2018-09-11,214.40000000000003,122.7
2018-09-12,152.0,99.2
2018-09-13,295.09999999999997,157.29999999999995
2018-09-14,174.79999999999995,87.8
2018-09-15,225.69999999999996,134.6
2018-09-16,200.40000000000003,111.3
2018-09-17,227.9,120.3
2018-09-18,326.1,138.99999999999997
2018-09-19,352.09999999999997,172.5
2018-09-20,325.4,167.80000000000004
2018-09-21,167.0,72.0
2018-09-22,194.99999999999997,113.3
2018-09-23,126.09999999999998,86.89999999999999
2018-09-24,210.7,127.8
2018-09-25,294.30000000000007,185.90000000000006
2018-09-26,275.30000000000007,157.70000000000002
2018-09-27,313.0,183.99999999999994
2018-09-28,233.5,106.80000000000001
2018-09-29,340.5,208.5
2018-09-30,275.49999999999994,183.70000000000002
2018-10-01,215.0,94.8
2018-10-02,194.80000000000004,76.1
2018-10-03,238.2,104.9
2018-10-04,298.9999999999999,194.50000000000006
2018-10-05,501.1,330.4
2018-10-06,247.20000000000002,173.99999999999991
2018-10-07,183.80000000000004,108.30000000000001
2018-10-08,190.70000000000002,105.8
2018-10-09,264.99999999999994,168.5
2018-10-10,903.2999999999997,662.6000000000001
2018-10-11,272.5,152.9
2018-10-12,232.9,113.30000000000001
2018-10-13,222.90000000000006,124.8
2018-10-14,78.3,48.89999999999999
2018-10-15,209.39999999999998,148.7
2018-10-16,380.19999999999993,276.8
2018-10-17,248.1,161.9
2018-10-18,266.9,170.9
2018-10-19,368.0,246.49999999999997
2018-10-20,574.0,432.5
2018-10-21,375.20000000000005,296.1
2018-10-22,324.0,168.9
2018-10-23,323.4000000000001,172.20000000000002
2018-10-24,338.1,202.80000000000004
2018-10-25,343.7,231.79999999999998
2018-10-26,154.89999999999998,80.2
2018-10-27,103.6,60.599999999999994
2018-10-28,108.69999999999999,62.900000000000006
2018-10-29,129.1,67.60000000000001
2018-10-30,251.4,151.60000000000002
2018-10-31,358.40000000000003,223.8
2018-11-01,296.80000000000007,217.99999999999994
2018-11-02,366.90000000000003,245.39999999999995
2018-11-03,305.2,211.8
2018-11-04,418.0,313.8
2018-11-05,1004.5999999999999,769.5999999999999
2018-11-06,449.29999999999995,324.6000000000001
2018-11-07,169.4,87.80000000000001
2018-11-08,289.9,142.4
2018-11-09,282.8,167.99999999999997
2018-11-10,251.10000000000002,150.0
2018-11-11,179.3,100.7
2018-11-12,236.1,122.30000000000003
2018-11-13,278.5,135.0
2018-11-14,306.7,184.0
2018-11-15,526.5,390.9
2018-11-16,354.29999999999995,276.69999999999993
2018-11-17,563.5999999999999,455.0
2018-11-18,437.9000000000001,298.20000000000005
2018-11-19,201.0,107.40000000000003
2018-11-20,307.2,241.29999999999998
2018-11-21,558.2,462.9
2018-11-22,1058.8,851.8000000000002
2018-11-23,897.7000000000002,739.1000000000001
2018-11-24,637.4000000000001,509.29999999999995
2018-11-25,447.0,372.59999999999997
2018-11-26,312.20000000000005,222.4
2018-11-27,419.80000000000007,323.9
2018-11-28,183.89999999999998,110.8
2018-11-29,200.00000000000003,111.4
2018-11-30,287.9,146.50000000000003
2018-12-01,144.29999999999998,83.6
2018-12-02,76.0,43.9
2018-12-03,255.60000000000005,152.1
2018-12-04,290.4,162.1
2018-12-05,199.39999999999995,134.3
2018-12-06,161.1,91.90000000000002
2018-12-07,150.1,77.4
2018-12-08,256.5,150.6
2018-12-09,158.19999999999996,97.10000000000002
2018-12-10,260.50000000000006,139.9
2018-12-11,471.79999999999995,320.99999999999994
2018-12-12,396.79999999999995,289.1000000000001
2018-12-13,460.99999999999994,336.79999999999995
2018-12-14,584.5999999999998,441.30000000000007
2018-12-15,431.00000000000006,357.40000000000003
2018-12-16,239.89999999999998,136.60000000000002
2018-12-17,267.90000000000003,144.0
2018-12-18,230.70000000000002,133.5
2018-12-19,151.1,78.10000000000002
2018-12-20,203.10000000000002,108.50000000000004
2018-12-21,306.0,176.5
2018-12-22,281.8,166.0
2018-12-23,136.90000000000003,94.7
2018-12-24,363.20000000000005,288.8
2018-12-25,397.2,320.3
2018-12-26,330.0,283.6
2018-12-27,843.8000000000002,728.0
2018-12-28,652.4000000000001,535.6
2018-12-29,310.3,211.40000000000003
2018-12-30,226.20000000000005,195.3
2018-12-31,152.20000000000002,108.7
2019-01-01,243.19999999999996,149.19999999999996
2019-01-02,306.3,163.70000000000002
2019-01-03,286.8,199.5
2019-01-04,614.3000000000001,496.50000000000006
2019-01-05,596.4000000000001,494.80000000000007
2019-01-06,506.19999999999993,370.1
2019-01-07,340.79999999999995,203.6
2019-01-08,384.70000000000005,202.3
2019-01-09,293.7,171.59999999999997
2019-01-10,666.7000000000002,508.70000000000005
2019-01-11,414.8,312.59999999999997
2019-01-12,155.59999999999997,108.20000000000003
2019-01-13,138.8,89.6
2019-01-14,299.50000000000006,164.49999999999997
2019-01-15,192.70000000000002,114.90000000000002
2019-01-16,141.39999999999998,92.6
2019-01-17,230.39999999999998,136.3
2019-01-18,358.8,211.20000000000002
2019-01-19,426.0000000000001,298.7
2019-01-20,638.3000000000001,540.8000000000001
2019-01-21,831.8000000000001,684.8000000000001
2019-01-22,224.5,149.00000000000003
2019-01-23,372.90000000000003,297.5
2019-01-24,691.2,557.5
2019-01-25,374.8,304.59999999999997
2019-01-26,148.7,100.4
2019-01-27,276.8,166.8
2019-01-28,286.40000000000003,148.89999999999998
2019-01-29,270.6000000000001,170.9
2019-01-30,296.6,182.7
2019-01-31,523.6,401.49999999999994
2019-02-01,268.6,221.2
2019-02-02,317.6000000000001,255.80000000000004
2019-02-03,258.49999999999994,175.70000000000005
2019-02-04,197.39999999999998,141.99999999999997
2019-02-05,265.0,214.0
2019-02-06,216.70000000000002,135.4
2019-02-07,173.8,92.30000000000001
2019-02-08,189.5,110.99999999999999
2019-02-09,244.20000000000002,135.99999999999997
2019-02-10,84.49999999999999,54.199999999999996
2019-02-11,225.89999999999998,120.6
2019-02-12,295.9,197.5
2019-02-13,369.70000000000005,268.3
2019-02-14,600.9000000000001,462.1999999999999
2019-02-15,732.5000000000001,579.1000000000001
2019-02-16,650.3,503.0
2019-02-17,623.9999999999999,417.79999999999995
2019-02-18,300.19999999999993,178.20000000000002
2019-02-19,282.90000000000003,153.1
2019-02-20,287.0,186.0
2019-02-21,404.70000000000005,292.40000000000003
2019-02-22,708.1,531.8000000000001
2019-02-23,738.4999999999999,619.6999999999999
2019-02-24,930.1999999999999,764.6999999999999
2019-02-25,1080.7,795.3
2019-02-26,1207.8000000000002,826.4000000000001
2019-02-27,1282.9000000000003,957.8000000000001
2019-02-28,667.9999999999998,528.9
2019-03-01,547.1,415.2
2019-03-02,254.60000000000005,168.3
2019-03-03,181.6,110.4
2019-03-04,142.4,68.69999999999999
2019-03-05,171.20000000000002,87.90000000000002
2019-03-06,226.10000000000002,141.2
2019-03-07,149.40000000000003,76.59999999999998
2019-03-08,188.79999999999998,103.19999999999999
2019-03-09,391.7,215.29999999999998
2019-03-10,135.8,77.49999999999999
2019-03-11,242.6,117.5
2019-03-12,166.89999999999998,91.30000000000001
2019-03-13,312.7,162.69999999999996
2019-03-14,213.30000000000004,117.0
2019-03-15,99.69999999999999,55.500000000000014
2019-03-16,186.10000000000002,101.8
2019-03-17,104.2,57.4
2019-03-18,261.6,137.60000000000002
2019-03-19,333.3999999999999,251.3
2019-03-20,241.8,166.6
2019-03-21,349.99999999999994,212.7
2019-03-22,355.3,269.0
2019-03-23,440.0,292.70000000000005
2019-03-24,373.69999999999993,231.30000000000004
2019-03-25,357.6,177.80000000000004
2019-03-26,521.3,307.2
2019-03-27,440.2,244.29999999999995
2019-03-28,651.1999999999999,421.6000000000001
2019-03-29,857.4000000000001,661.7
2019-03-30,1157.6999999999998,933.5000000000001
2019-03-31,662.2,491.1000000000001
2019-04-01,496.69999999999993,247.9
2019-04-02,513.4,352.1000000000001
2019-04-03,304.6,208.39999999999992
2019-04-04,208.00000000000003,124.2
2019-04-05,359.59999999999997,239.99999999999997
2019-04-06,423.1,336.4
2019-04-07,1047.4000000000003,933.8
2019-04-08,1038.0,907.6
2019-04-09,908.2,726.3000000000002
2019-04-10,423.4000000000001,224.7
2019-04-11,398.0,237.5
2019-04-12,398.30000000000007,282.29999999999995
2019-04-13,377.8999999999999,285.5
2019-04-14,534.0999999999999,430.4
2019-04-15,990.4999999999999,766.6999999999999
2019-04-16,1330.3999999999999,1056.8999999999999
2019-04-17,1395.7,1089.6000000000001
2019-04-18,1337.1000000000001,1071.7000000000003
2019-04-19,862.9000000000001,612.6
2019-04-20,804.6000000000001,609.8000000000001
2019-04-21,931.9000000000002,699.5999999999998
2019-04-22,1362.6000000000004,1114.6
2019-04-23,988.8999999999999,624.2
2019-04-24,734.5999999999998,466.5000000000001
2019-04-25,175.49999999999997,88.19999999999999
2019-04-26,230.9,119.30000000000001
2019-04-27,263.79999999999995,116.60000000000001
2019-04-28,217.39999999999995,135.89999999999998
2019-04-29,388.2,284.79999999999995
2019-04-30,613.6,445.79999999999995
2019-05-01,506.1000000000001,362.20000000000016
2019-05-02,278.2,161.99999999999994
2019-05-03,270.80000000000007,190.20000000000005
2019-05-04,217.90000000000003,118.29999999999998
2019-05-05,338.6999999999999,219.0
2019-05-06,203.39999999999998,137.7
2019-05-07,313.49999999999994,203.39999999999998
2019-05-08,273.0,159.7
2019-05-09,312.09999999999997,214.99999999999994
2019-05-10,274.1,202.3
2019-05-11,314.90000000000003,248.39999999999995
2019-05-12,200.29999999999998,145.9
2019-05-13,265.4,135.8
2019-05-14,256.0,143.89999999999998
2019-05-15,515.5000000000001,315.1000000000001
2019-05-16,383.9,214.00000000000003
2019-05-17,390.4,249.49999999999997
2019-05-18,422.3,331.6
2019-05-19,456.4,388.29999999999995
2019-05-20,441.3,305.00000000000006
2019-05-21,249.20000000000002,137.3
2019-05-22,211.4,104.50000000000001
2019-05-23,223.10000000000002,121.1
2019-05-24,315.1,171.9
2019-05-25,171.6,102.7
2019-05-26,169.20000000000002,101.89999999999998
2019-05-27,192.7,102.9
2019-05-28,126.30000000000003,62.39999999999999
2019-05-29,204.7,128.29999999999998
2019-05-30,228.49999999999997,127.99999999999999
2019-05-31,138.7,72.80000000000001
2019-06-01,183.1,106.39999999999998
2019-06-02,231.2,125.7
2019-06-03,284.09999999999997,135.4
2019-06-04,323.99999999999994,183.9
2019-06-05,191.10000000000002,102.69999999999999
2019-06-06,176.7,91.59999999999998
2019-06-07,263.59999999999997,138.8
2019-06-08,168.20000000000002,80.5
2019-06-09,180.69999999999996,102.39999999999999
2019-06-10,135.10000000000002,90.69999999999996
2019-06-11,158.7,103.99999999999999
2019-06-12,147.4,89.49999999999999
2019-06-13,169.60000000000005,115.10000000000001
2019-06-14,163.9,92.2
2019-06-15,163.2,100.0
2019-06-16,165.50000000000003,106.0
2019-06-17,200.9,113.8
2019-06-18,275.2,183.99999999999997
2019-06-19,351.59999999999997,218.79999999999995
2019-06-20,178.29999999999998,96.1
2019-06-21,195.60000000000005,98.0
2019-06-22,189.4,110.50000000000001
2019-06-23,533.9,376.00000000000006
2019-06-24,577.8000000000001,409.50000000000006
2019-06-25,450.2,323.4
2019-06-26,305.79999999999995,178.5
2019-06-27,325.00000000000006,169.6
2019-06-28,511.6000000000001,243.6
2019-06-29,540.5000000000001,316.59999999999997
2019-06-30,223.7,141.29999999999998
2019-07-01,168.79999999999998,76.39999999999998
2019-07-02,245.59999999999997,117.80000000000003
2019-07-03,270.49999999999994,134.7
2019-07-04,241.20000000000002,107.8
2019-07-05,309.6,156.0
2019-07-06,190.60000000000002,110.79999999999998
2019-07-07,235.99999999999997,141.40000000000003
2019-07-08,239.10000000000002,116.10000000000001
2019-07-09,288.4,145.1
2019-07-10,313.8999999999999,174.39999999999995
2019-07-11,255.20000000000005,132.8
2019-07-12,211.3,96.70000000000002
2019-07-13,196.89999999999998,123.3
2019-07-14,183.1,118.10000000000002
2019-07-15,177.20000000000002,85.6
2019-07-16,274.09999999999997,148.0
2019-07-17,336.79999999999995,174.99999999999997
2019-07-18,295.70000000000005,188.29999999999998
2019-07-19,196.9,116.9
2019-07-20,162.80000000000004,78.30000000000001
2019-07-21,154.50000000000003,92.99999999999999
2019-07-22,236.00000000000003,145.59999999999997
2019-07-23,395.19999999999993,174.64285714285717
2019-07-24,410.6,167.65714285714287
2019-07-25,709.0,332.6
2019-07-26,342.90000000000003,189.29999999999998
2019-07-27,188.8,110.89999999999999
2019-07-28,201.79999999999995,91.5
2019-07-29,207.0,100.99999999999999
2019-07-30,251.19999999999993,131.8
2019-07-31,194.20000000000002,92.39999999999999
2019-08-01,251.10000000000002,146.54999999999998
2019-08-02,316.7,194.40000000000003
2019-08-03,248.40000000000003,151.4
2019-08-04,287.6,180.60000000000005
2019-08-05,222.9,129.20000000000005
2019-08-06,276.00000000000006,134.1
2019-08-07,190.6,96.29999999999997
2019-08-08,190.69999999999996,102.79999999999998
2019-08-09,234.50000000000006,130.79999999999998
2019-08-10,362.9,193.39999999999998
2019-08-11,262.70000000000005,144.39999999999998
2019-08-12,211.20000000000002,116.69999999999996
2019-08-13,158.7,78.2
2019-08-14,144.50000000000003,82.7
2019-08-15,199.10000000000002,93.00000000000001
2019-08-16,180.2,101.7
2019-08-17,226.60000000000002,123.5
2019-08-18,195.69999999999996,109.9
2019-08-19,228.8,111.40000000000003
2019-08-20,262.49999999999994,144.39999999999998
2019-08-21,294.8,181.79999999999998
2019-08-22,265.70000000000005,165.20000000000002
2019-08-23,288.40000000000003,162.80000000000004
2019-08-24,669.4999999999999,451.79999999999995
2019-08-25,1038.0,809.0000000000002
2019-08-26,799.7,579.9
2019-08-27,760.7,498.6999999999999
2019-08-28,220.59999999999997,129.79999999999998
2019-08-29,180.00000000000003,85.30000000000001
2019-08-30,248.6,137.60000000000002
2019-08-31,207.1,123.49999999999999
2019-09-01,154.3,75.8
2019-09-02,227.90000000000003,102.99999999999999
2019-09-03,196.2,86.99999999999999
2019-09-04,168.2,76.0
2019-09-05,226.80000000000004,105.00000000000001
2019-09-06,250.1,128.29999999999998
2019-09-07,212.20000000000002,106.7
2019-09-08,201.8,110.60000000000001
2019-09-09,219.89999999999998,130.8
2019-09-10,294.8,174.5
2019-09-11,176.9,83.6
2019-09-12,196.5,100.19999999999999
