MeasurementDateGMT,Lambeth - Brixton Road: Nitric Oxide (ug/m3),Lambeth - Brixton Road: Nitrogen Dioxide (ug/m3),Lambeth - Brixton Road: Oxides of Nitrogen (ug/m3),Lambeth - Brixton Road: PM10 Particulate (ug/m3)
2018-03-09,2389.2499999999995,2492.4,6156.050000000001,755.5
2018-03-10,2635.0,2683.1999999999994,6723.5,978.0
2018-03-11,1807.0,2266.7,5037.4,938.0
2018-03-12,3714.8,2874.7000000000003,8570.4,568.0
2018-03-13,3785.8000000000006,3048.3,8853.1,801.0
2018-03-14,833.3000000000001,1192.4,2470.099999999999,492.0
2018-03-15,1009.5999999999999,1633.3000000000002,3181.4000000000005,501.0
2018-03-16,2538.5,2756.6,6648.500000000001,811.0
2018-03-17,1522.8,1563.6999999999998,3898.4999999999995,654.0
2018-03-18,1091.5,1316.2,2990.1999999999994,846.0
2018-03-19,1918.4999999999995,2034.3999999999999,4975.900000000001,887.0
2018-03-20,3763.3,3161.0000000000005,8931.425,1177.0
2018-03-21,3669.9000000000005,3342.4,8969.725,1137.0
2018-03-22,2661.599999999999,2716.7,6797.400000000001,896.0
2018-03-23,2238.6,2537.1,5969.700000000001,781.0
2018-03-24,1912.6000000000001,2135.3,5067.800000000001,1171.0
2018-03-25,3152.0,3123.4,7956.699999999999,1345.0
2018-03-26,4247.700000000001,3768.7000000000003,10281.5,797.0
2018-03-27,2404.2,2487.6,6173.999999999999,621.0
2018-03-28,4002.9,3694.7,9832.5,562.0
2018-03-29,2007.6999999999998,2370.8999999999996,5449.500000000001,615.0
2018-03-30,1412.0,2051.4,4216.300000000001,541.0
2018-03-31,3122.4000000000005,2915.7000000000003,7703.500000000001,608.0
2018-04-01,1859.9999999999998,2159.2,5011.299999999999,617.0
2018-04-02,1296.5999999999997,1810.5000000000002,3798.2999999999997,482.0
2018-04-03,2279.2,2629.4000000000005,6124.3,671.0
2018-04-04,1483.6000000000001,2090.7,4365.9,554.0
2018-04-05,2741.2000000000003,2568.3,6771.1,420.4827586206897
2018-04-06,944.1999999999999,1706.8,3154.4,535.0344827586207
2018-04-07,2679.9999999999995,2937.7,7047.6,713.7931034482759
2018-04-08,2543.0,2858.2999999999993,6757.5,892.5517241379312
2018-04-09,2437.8999999999996,2489.0,6227.400000000001,1071.3103448275863
2018-04-10,2649.9999999999995,2984.7,7047.5,1250.0689655172414
2018-04-11,3733.099999999999,2926.8,8651.3,1382.7586206896551
2018-04-12,3610.6,2822.9999999999995,8359.3,1654.0
2018-04-13,3303.6,3122.7000000000003,8188.299999999999,974.0
2018-04-14,2164.7999999999997,2551.7000000000003,5871.8,1401.0
2018-04-15,1363.6000000000001,2125.2000000000003,4215.900000000001,1180.0
2018-04-16,1983.3000000000006,2534.5,5575.299999999999,914.0
2018-04-17,1934.8,2626.9999999999995,5593.1,701.0
2018-04-18,1970.5999999999997,2636.1,5657.5,829.0
2018-04-19,3536.9999999999995,4341.5,9764.599999999999,1532.0
2018-04-20,3293.8500000000013,3769.1499999999996,8819.650000000001,1653.0
2018-04-21,1671.0,2772.6,5334.9,1979.5
2018-04-22,1130.0,1917.1999999999998,3649.6999999999994,1218.0
2018-04-23,1612.4999999999995,1954.0000000000002,4426.100000000001,492.0
2018-04-24,1811.6999999999998,2007.4999999999998,4785.900000000001,491.0
2018-04-25,1948.4,2117.9,5105.199999999999,515.0
2018-04-26,2115.9000000000005,2377.2999999999997,5622.299999999999,613.5
2018-04-27,1770.7,2318.7999999999997,5033.800000000001,598.0
2018-04-28,3650.1000000000004,3333.7,8930.599999999997,616.0
2018-04-29,1427.2,1867.5000000000002,4056.0000000000005,409.0
2018-04-30,2589.4000000000005,2539.7999999999997,6509.800000000001,609.0
2018-05-01,2456.3,2534.0999999999995,6299.999999999999,494.0
2018-05-02,2649.4,2862.3,6924.900000000001,430.0
2018-05-03,3598.4000000000005,3184.7,8702.199999999999,711.0
2018-05-04,3168.0999999999995,3155.6000000000004,8013.199999999999,908.0
2018-05-05,1725.2999999999997,2646.7999999999997,5292.200000000001,869.0
2018-05-06,1525.6999999999996,2716.1000000000004,5055.200000000001,1067.0
2018-05-07,1396.2,2766.1000000000004,4907.1,1197.0
2018-05-08,2914.1000000000004,3232.999999999999,7701.299999999998,1001.0
2018-05-09,2615.9,2597.8,6608.700000000001,712.0
2018-05-10,3224.9999999999995,3088.6999999999994,8033.9,754.0
2018-05-11,986.1000000000003,1708.7999999999997,3220.8999999999996,693.0
2018-05-12,2975.8999999999996,3140.7,7703.3,709.0
2018-05-13,3181.8999999999996,3094.9,7974.4,851.0
2018-05-14,2709.7000000000007,2933.5,7087.999999999998,1102.826086956522
2018-05-15,2606.6,3167.2999999999993,7164.4,1150.2608695652173
2018-05-16,1935.2,2261.3,5228.8,1083.4782608695652
2018-05-17,1687.6499999999999,2091.25,4679.499999999999,1066.4347826086957
2018-05-18,2428.3,2684.7,6408.4,933.0
2018-05-19,1516.3999999999996,2157.0,4482.1,929.0
2018-05-20,836.1000000000001,1539.1,2821.3999999999996,820.0
2018-05-21,1822.9176470588236,2257.4588235294113,5052.852941176471,1128.5
2018-05-22,1894.3823529411768,2647.4411764705887,5552.0470588235285,905.0
2018-05-23,1966.7,2252.650000000001,5268.499999999999,936.0
2018-05-24,2655.5000000000005,2479.7,6551.0,1103.0
2018-05-25,3217.6000000000004,3069.2000000000003,8002.900000000001,963.0
2018-05-26,874.8,1606.8999999999999,2948.5,1129.0
2018-05-27,1373.1999999999998,2005.7999999999997,4111.2,860.0
2018-05-28,1272.8,1881.0999999999995,3832.6000000000004,1058.0
2018-05-29,1913.5,2185.6000000000004,5119.3,622.0
2018-05-30,2154.6000000000004,2256.7,5560.8,686.0
2018-05-31,1368.1500000000003,1879.4999999999998,3977.35,997.0
2018-06-01,2611.0,2366.3000000000006,6369.4,796.0
2018-06-02,2236.1000000000004,2339.5,5768.6,503.0
2018-06-03,1436.8000000000002,1939.9999999999998,4143.299999999999,508.0
2018-06-04,1610.8,2025.0000000000002,4494.5999999999985,536.0
2018-06-05,1583.2,1935.3999999999999,4363.0,575.0
2018-06-06,1728.5000000000002,1998.2999999999997,4648.799999999999,805.0
2018-06-07,1655.3000000000002,2034.9999999999993,4573.500000000001,708.0
2018-06-08,1734.2,2048.4,4707.8,662.0
2018-06-09,1089.8000000000002,1634.7,3305.4000000000005,623.0
2018-06-10,885.9000000000001,1436.8,2796.1,546.0
2018-06-11,1217.2,1598.55,3464.75,496.0
2018-06-12,2490.7,2456.3999999999996,6275.200000000001,571.0
2018-06-13,2796.9999999999995,2899.1000000000004,7187.6,588.0
2018-06-14,2306.8,2312.6,5849.700000000001,656.0
2018-06-15,3063.2000000000007,2940.9,7638.1,738.0
2018-06-16,1768.0000000000002,1959.5000000000002,4670.2,580.0
2018-06-17,1231.8000000000002,1393.3999999999999,3282.1,486.0
2018-06-18,1572.8,1666.8999999999999,4078.5,485.0
2018-06-19,2067.4,1581.8999999999999,4752.2,319.0
2018-06-20,2388.5000000000005,1719.1,5381.4,446.0
2018-06-21,2815.3,2486.2,6802.900000000001,597.0
2018-06-22,2658.0999999999995,2476.6999999999994,6552.100000000001,586.0
2018-06-23,2813.0999999999995,2845.2,7158.4,737.0
