MeasurementDateGMT,Lewisham - New Cross: Nitric Oxide (ug/m3),Lewisham - New Cross: Nitrogen Dioxide (ug/m3),Lewisham - New Cross: Oxides of Nitrogen (ug/m3),Lewisham - New Cross: PM10 Particulate (ug/m3),Lewisham - New Cross: PM2.5 Particulate (ug/m3)
2019-08-24,837.0521739130434,849.8086956521734,2131.669565217391,1047.8000000000002,704.0
2019-08-25,1011.6052173913043,879.8608695652174,2429.6869565217385,1210.75,964.9
2019-08-26,1186.1582608695653,909.9130434782612,2727.704347826086,1023.7720930232558,612.1999999999999
2019-08-27,1360.7113043478257,939.965217391304,3025.721739130434,708.9767441860466,647.8999999999999
2019-08-28,1535.2643478260864,970.0173913043479,3323.7391304347825,387.3511627906977,244.40000000000003
2019-08-29,1452.980434782609,879.5217391304344,3107.5739130434777,209.5,215.19999999999996
2019-08-30,485.7,504.50000000000006,1249.7,330.80000000000007,240.60000000000005
2019-08-31,422.2,765.9,1414.3,364.87499999999994,293.19999999999993
2019-09-01,452.79999999999995,674.0999999999999,1371.2,192.27499999999998,214.7
2019-09-02,537.7000000000002,774.0,1601.9,331.5,222.30000000000004
2019-09-03,576.5,696.1000000000004,1579.8,348.9,197.3
2019-09-04,461.1000000000001,479.2999999999999,1186.3,321.90000000000003,169.9
2019-09-05,453.8,715.3,1411.4999999999998,384.0,231.39999999999998
2019-09-06,656.8000000000001,939.0999999999999,1946.1999999999998,417.49999999999994,248.09999999999997
2019-09-07,428.2,604.9,1261.6999999999998,344.6,217.19999999999996
2019-09-08,292.3999999999999,694.3999999999999,1142.5,411.34999999999997,261.50000000000006
2019-09-09,147.00000000000003,626.9,852.6000000000003,358.90000000000003,247.89999999999995
2019-09-10,870.5,1019.8999999999999,2354.1999999999994,474.76666666666665,348.25000000000006
2019-09-11,552.1999999999999,543.3000000000002,1390.1000000000001,411.4844444444445,206.40000000000003
2019-09-12,783.6000000000003,649.4,1850.7999999999997,404.65777777777777,226.20000000000005
2019-09-13,525.5,705.5000000000001,1510.6000000000004,397.8311111111111,255.6
2019-09-14,679.2,1106.0000000000002,2147.4,391.00444444444435,383.4
2019-09-15,471.3,948.1999999999999,1671.0,384.1777777777778,308.19999999999993
2019-09-16,979.4,821.5,2323.6,377.3511111111111,394.19999999999993
2019-09-17,446.79999999999995,574.9000000000001,1259.6000000000001,370.5244444444444,217.7
2019-09-18,616.1999999999999,839.6,1784.2,363.69777777777773,260.5
2019-09-19,723.65,833.25,1943.0000000000002,356.8711111111111,316.00000000000006
2019-09-20,767.3999999999997,1105.8,2282.2,350.04444444444437,337.69999999999993
2019-09-21,478.8999999999999,1234.5999999999997,1968.4999999999998,343.21777777777777,397.70000000000005
2019-09-22,203.89999999999998,558.6999999999999,871.2999999999998,336.3911111111111,297.90000000000003
2019-09-23,346.70000000000005,382.1,913.6,329.5644444444444,180.6
2019-09-24,220.90000000000003,292.9,631.2000000000003,322.7377777777778,155.00000000000003
2019-09-25,467.0,462.40000000000003,1178.8999999999999,315.91111111111104,176.6
2019-09-26,317.2000000000001,378.00000000000006,863.9000000000002,309.0844444444444,208.2
2019-09-27,285.4,366.0,804.0,338.2822222222222,205.7
2019-09-28,308.09999999999997,399.1000000000001,870.8000000000002,295.7,150.90000000000003
2019-09-29,264.6,346.4,752.4000000000002,271.8,134.1
2019-09-30,380.49999999999994,565.0999999999999,1148.3999999999996,280.90000000000003,158.99999999999997
2019-10-01,228.85,461.95,813.0500000000001,381.77499999999986,183.70000000000002
2019-10-02,965.1999999999998,924.3,2403.7999999999993,402.17500000000007,229.30000000000004
2019-10-03,773.3,763.4000000000002,1949.4999999999995,354.0,295.0999999999999
2019-10-04,1001.1,1100.3000000000002,2635.5,632.7000000000002,360.79999999999995
2019-10-05,458.30000000000007,946.4000000000002,1649.5,419.6,281.5
2019-10-06,316.8999999999999,612.4000000000001,1098.6,348.6000000000001,232.9
2019-10-07,459.69999999999993,657.5999999999999,1362.5,346.2,198.7
2019-10-08,544.2000000000002,700.5999999999999,1535.2999999999997,486.8,224.20000000000002
2019-10-09,683.5,807.3000000000001,1855.3000000000002,296.8,191.89999999999998
2019-10-10,636.1999999999999,687.2999999999998,1662.9999999999995,444.59999999999997,215.09999999999997
2019-10-11,335.3,531.2,1045.2,425.8,201.1
2019-10-12,202.59999999999997,728.0000000000001,1038.8,241.4611111111111,167.49999999999997
2019-10-13,259.4,676.8,1074.4999999999998,259.5888888888889,221.79999999999995
2019-10-14,714.2,984.3000000000002,2079.4,505.00000000000006,238.29999999999995
2019-10-15,609.1999999999998,771.0000000000001,1704.6999999999998,356.8,200.0
2019-10-16,601.5999999999999,949.4999999999999,1872.1000000000001,440.8000000000001,215.5
2019-10-17,204.99999999999997,652.5000000000002,967.3999999999999,251.7,172.70000000000002
2019-10-18,293.6000000000001,516.9,967.5,284.5,179.9
2019-10-19,363.3,734.2,1290.8000000000002,351.09999999999997,265.79999999999995
2019-10-20,402.3,701.0999999999997,1317.8999999999999,328.3,290.29999999999995
2019-10-21,318.59999999999997,648.0999999999999,1136.4,286.9,193.1
2019-10-22,943.6999999999999,987.8000000000002,2434.6000000000004,547.0,374.1
2019-10-23,1622.7,1278.4000000000003,3766.4999999999995,858.1,523.9000000000001
2019-10-24,1350.7000000000007,1070.8,3141.8999999999996,783.1499999999997,507.3999999999999
2019-10-25,174.6,429.2,697.6000000000003,446.49999999999994,183.69999999999996
2019-10-26,209.9,450.2,772.7,538.9000000000001,275.5
2019-10-27,826.9000000000001,1093.4,2361.2000000000003,325.85,315.79999999999995
2019-10-28,1247.8999999999999,1097.7000000000003,3010.7000000000003,698.5999999999999,546.7
2019-10-29,617.0500000000001,1252.3999999999999,2198.65,368.1000000000001,202.70000000000002
2019-10-30,765.1,1365.2000000000003,2538.3,630.7,382.0
2019-10-31,971.9,1186.2,2676.2999999999997,969.9174917491749,725.1
2019-11-01,494.1000000000001,751.2000000000002,1508.3000000000002,1307.284488448845,364.5
2019-11-02,206.89999999999995,379.50000000000006,696.8999999999999,1280.1636963696367,250.20000000000002
2019-11-03,348.1,725.6000000000001,1258.9999999999998,1253.0429042904293,297.2
2019-11-04,771.0999999999999,841.9000000000001,2024.1,1225.9221122112215,317.40000000000003
2019-11-05,692.4000000000001,944.8000000000001,2006.7000000000003,1198.8013201320132,382.40000000000003
2019-11-06,680.4000000000001,1023.1000000000001,2067.2,1171.6805280528054,374.9
2019-11-07,672.0999999999999,954.9,1985.7,1144.5597359735973,241.49999999999994
2019-11-08,1275.5999999999997,1116.4999999999998,3072.1,1117.4389438943897,447.34999999999997
2019-11-09,595.8000000000001,1038.0,1951.1999999999998,1090.3181518151816,346.8
2019-11-10,597.5,925.3000000000001,1841.2000000000003,1063.1973597359738,453.3
2019-11-11,708.7000000000002,954.6000000000001,2041.3,1036.0765676567657,258.20000000000005
2019-11-12,951.65,1079.3500000000001,2538.2999999999997,1008.9557755775578,208.1
2019-11-13,876.0999999999998,1134.5999999999997,2477.7999999999997,981.8349834983499,242.49999999999997
2019-11-14,493.8,1095.5,1853.4999999999998,954.7141914191419,210.59999999999997
2019-11-15,510.3,884.4000000000002,1667.2999999999997,927.5933993399342,329.9000000000001
2019-11-16,752.4,1066.3000000000002,2220.3,900.4726072607262,480.4000000000001
2019-11-17,1781.3000000000004,1171.7,3902.5,873.3518151815182,781.3
2019-11-18,721.2,1009.6,2115.8,846.2310231023104,295.5
2019-11-19,1865.6999999999996,1323.6,4184.200000000001,819.1102310231023,551.9000000000001
2019-11-20,786.5000000000001,1249.5,2455.7,791.9894389438945,313.50000000000006
2019-11-21,745.6999999999998,1081.8000000000002,2224.8,764.8686468646865,612.3000000000001
2019-11-22,466.4,1092.3999999999999,1807.4,737.7478547854785,245.1
2019-11-23,780.9999999999999,1210.9,2408.4,710.6270627062707,430.29999999999995
2019-11-24,993.4999999999997,890.0999999999999,2413.6,683.5062706270628,476.5000000000001
2019-11-25,277.0,776.3999999999999,1201.4000000000003,656.3854785478549,200.8
2019-11-26,139.29999999999998,549.8000000000001,763.1999999999999,629.2646864686468,170.4
2019-11-27,698.1,1151.1000000000001,2221.3,602.1438943894389,241.8
2019-11-28,1118.5000000000002,1110.6,2825.9000000000005,575.0231023102309,326.00000000000006
2019-11-29,1719.35,1239.35,3876.0000000000005,547.9023102310233,455.1
2019-11-30,1550.2000000000003,1496.4,3873.7999999999993,520.7815181518152,496.7523316062176
2019-12-01,340.2,817.0999999999999,1338.8000000000002,493.6607260726073,348.1865284974093
2019-12-02,2174.6000000000004,1621.5000000000002,4955.700000000001,466.53993399339936,309.9854922279793
2019-12-03,1341.1000000000001,1505.8999999999999,3562.3999999999996,439.41914191419147,271.78445595854924
2019-12-04,2617.9,1374.1,5388.4,412.2983498349835,233.58341968911918
2019-12-05,1378.6000000000001,1129.3,3242.5,385.17755775577564,195.3823834196891
2019-12-06,534.4,775.2,1594.6,358.0567656765677,157.18134715025906
2019-12-07,486.69999999999993,818.9000000000001,1565.0,330.93597359735975,118.98031088082904
2019-12-08,235.4,468.8,829.5000000000001,311.1039603960396,136.0637305699482
2019-12-09,661.0000000000001,904.55,1918.0000000000002,372.40000000000003,235.3
2019-12-10,285.9,676.3999999999999,1114.3,339.59999999999997,192.4
2019-12-11,524.8,936.0999999999999,1740.7,345.29999999999995,188.6
2019-12-12,365.69999999999993,843.3,1404.0000000000002,239.2,170.20000000000002
2019-12-13,706.0999999999999,920.2000000000002,2003.2,319.70000000000005,198.79999999999998
2019-12-14,409.30000000000007,786.0999999999999,1413.7999999999997,387.0,247.1
2019-12-15,128.4,362.7,559.5999999999999,304.80000000000007,168.0
2019-12-16,365.80000000000007,941.1999999999999,1501.8999999999999,267.8,197.7
2019-12-17,760.4999999999999,1329.3999999999999,2495.2000000000003,286.2,285.99999999999994
2019-12-18,351.80000000000007,910.3999999999997,1450.1999999999998,336.59999999999997,247.89999999999998
2019-12-19,162.80000000000004,405.09999999999997,654.5,358.3999999999999,216.2
2019-12-20,516.4999999999999,1024.0000000000002,1815.7000000000003,247.70000000000002,237.29999999999998
2019-12-21,142.70000000000002,413.5,632.1999999999999,205.60000000000002,122.30000000000003
2019-12-22,428.70000000000005,788.9,1446.4999999999995,279.5,195.9
2019-12-23,540.8999999999999,846.1,1675.5,372.0,220.89999999999998
2019-12-24,423.40000000000003,730.4999999999999,1379.6,359.6000000000001,230.20000000000005
2019-12-25,473.40000000000003,781.7,1507.4999999999998,345.79999999999995,286.90000000000003
2019-12-26,477.90000000000003,790.5,1523.1000000000001,311.3,244.50000000000006
2019-12-27,808.1,822.9000000000001,2061.7,469.2,402.1
2019-12-28,350.7999999999999,664.2,1201.7999999999997,451.00000000000006,410.6
2019-12-29,279.5,634.0999999999999,1063.0,474.0,455.6500000000001
2019-12-30,1151.8,1026.3,2792.2999999999997,645.1999999999999,571.7000000000002
2019-12-31,654.5000000000001,1006.1999999999998,2009.4999999999998,763.5000000000001,600.7
2020-01-01,565.2,979.9,1846.4000000000003,954.9000000000001,868.8
2020-01-02,182.2,463.20000000000005,742.0999999999999,259.0,202.60000000000005
2020-01-03,584.9,946.4000000000001,1843.3000000000002,346.59999999999997,254.9
2020-01-04,657.9999999999999,1158.1999999999998,2166.7,396.09999999999997,259.6
2020-01-05,379.1000000000001,804.7,1385.9,235.5,185.29999999999998
2020-01-06,239.8,541.5,909.5000000000001,317.59999999999997,184.0
2020-01-07,243.29999999999998,564.3000000000001,936.8,417.2,217.4
2020-01-08,671.1,1021.4,2050.6000000000004,624.4474576271188,307.8
2020-01-09,256.09999999999997,507.9,900.6000000000001,876.9288135593218,163.5
2020-01-10,483.1,983.6999999999998,1723.85,851.871186440678,201.4
2020-01-11,242.0,323.00000000000006,694.3999999999999,826.8135593220338,178.1
2020-01-12,320.0,504.2,995.1999999999998,801.7559322033898,147.0
2020-01-13,201.0,397.3999999999999,705.6000000000001,776.6983050847457,136.70000000000002
2020-01-14,157.70000000000002,330.49999999999994,572.4,751.6406779661016,160.30000000000004
2020-01-15,468.20000000000005,772.9,1490.6999999999998,726.5830508474575,197.4
2020-01-16,187.7,503.9,792.2,701.5254237288136,195.9
2020-01-17,494.4,831.1,1589.5,676.4677966101694,185.3
2020-01-18,836.3000000000002,1252.8000000000004,2535.1000000000004,651.4101694915254,313.99999999999994
2020-01-19,976.5999999999999,1236.8,2734.3000000000006,626.3525423728812,394.7000000000001
2020-01-20,2215.8999999999996,1668.4000000000003,5066.599999999999,601.2949152542374,708.3000000000001
2020-01-21,2984.2124999999996,1795.5562499999996,6371.537499999999,576.2372881355932,772.8000000000002
2020-01-22,2593.4875,1716.89375,5692.762500000001,551.1796610169491,774.0
2020-01-23,900.1999999999999,1389.6,2770.3000000000006,609.693220338983,528.5999999999999
2020-01-24,738.3000000000001,1209.8000000000002,2341.9000000000005,690.3000000000001,425.79999999999995
2020-01-25,166.99999999999997,690.3000000000001,946.1000000000004,906.3,532.1
2020-01-26,187.50000000000003,500.0,787.5000000000001,684.7,359.09999999999997
2020-01-27,203.75000000000003,620.7499999999999,933.2499999999999,331.09999999999997,171.99999999999997
2020-01-28,889.4999999999999,1086.0,2449.9,310.40000000000003,141.10000000000002
2020-01-29,760.9999999999999,1015.7,2182.3,578.4,211.50000000000003
2020-01-30,353.6,652.8000000000001,1195.3000000000002,305.5,172.2
2020-01-31,295.49999999999994,503.99999999999994,957.4,201.60000000000002,141.39999999999998
2020-02-01,376.6,600.1999999999999,1177.5000000000002,526.9,220.5
2020-02-02,271.50000000000006,557.1,973.7,493.40000000000003,232.29999999999993
2020-02-03,667.6999999999999,925.6,1949.4999999999998,571.1999999999998,236.29999999999995
2020-02-04,538.4,894.9999999999999,1720.6,488.79999999999995,238.50000000000003
2020-02-05,1650.8999999999999,1439.6999999999998,3971.1999999999994,962.9999999999999,443.40000000000003
2020-02-06,1294.4999999999998,1356.5000000000005,3341.1,909.8000000000001,522.7
2020-02-07,822.4000000000003,1056.6,2317.3999999999996,984.0000000000001,585.0000000000001
2020-02-08,304.3,634.1999999999999,1101.2,605.8000000000001,272.6
2020-02-09,139.29999999999998,266.3,480.00000000000006,341.2000000000001,135.29999999999998
2020-02-10,520.9999999999999,689.4999999999999,1488.3000000000004,373.9,167.4
2020-02-11,592.25,790.3999999999999,1698.2000000000003,467.8,181.3
2020-02-12,671.6,982.8,2013.0,368.7,166.09999999999997
2020-02-13,463.8,784.2,1495.4999999999998,343.79999999999995,186.6
2020-02-14,451.8,826.3,1519.1000000000006,601.2,272.4
2020-02-15,113.0,247.20000000000005,420.20000000000005,246.4,163.9
2020-02-16,178.69999999999996,363.40000000000003,637.4999999999999,183.39999999999998,117.30000000000001
2020-02-17,460.3,634.8999999999999,1340.6000000000001,455.49999999999994,180.00000000000003
2020-02-18,444.8,717.1999999999998,1398.9999999999998,350.3999999999999,157.80000000000004
2020-02-19,683.6,906.9999999999999,1955.5999999999997,415.4,213.3
