MeasurementDateGMT,Greenwich - A206 Burrage Grove: Nitric Oxide (ug/m3),Greenwich - A206 Burrage Grove: Nitrogen Dioxide (ug/m3),Greenwich - A206 Burrage Grove: Oxides of Nitrogen (ug/m3),Greenwich - A206 Burrage Grove: PM10 Particulate (ug/m3),Greenwich - A206 Burrage Grove: PM2.5 Particulate (ug/m3)
2018-02-02,785.3000000000001,1199.6,2403.7000000000003,404.85,198.49999999999997
2018-02-03,530.0000000000001,1189.8999999999999,2002.3999999999999,385.1999999999999,280.6
2018-02-04,244.3,538.8,913.8,254.79999999999995,107.4
2018-02-05,747.2,1015.9000000000001,2161.3999999999996,406.1,218.9
2018-02-06,791.3000000000001,1167.2,2380.4,605.0,405.49999999999983
2018-02-07,1156.3,1422.3,3195.0999999999995,546.5,252.00000000000003
2018-02-08,289.79999999999995,940.9999999999999,1385.5000000000005,374.0000000000001,211.79999999999993
2018-02-09,354.3,1032.8999999999996,1576.6000000000001,245.20000000000005,135.3
2018-02-10,83.2,627.0,754.2,208.3,105.9
2018-02-11,88.6,523.1,658.6000000000001,205.60000000000002,82.9
2018-02-12,147.49999999999997,825.8000000000001,1051.7,288.5,130.79999999999998
2018-02-13,198.3,560.3,864.7,224.9,113.30000000000001
2018-02-14,238.70000000000002,643.6999999999999,1010.0000000000001,262.5,180.29999999999993
2018-02-15,118.9,778.0,960.8,329.6000000000001,133.9
2018-02-16,364.99999999999994,1023.4000000000001,1583.5,463.1,183.20000000000002
2018-02-17,1468.1000000000001,1331.5,3582.7000000000003,741.2999999999998,416.69999999999993
2018-02-18,594.2999999999998,823.4999999999999,1734.4000000000005,544.7,328.80000000000007
2018-02-19,649.2,1096.4,2091.3,437.99999999999994,328.09999999999997
2018-02-20,720.7000000000003,925.6,2030.8000000000002,247.60000000000002,178.3
2018-02-21,988.0000000000001,1262.7999999999997,2777.1,1206.6000000000001,987.1999999999999
2018-02-22,778.0999999999999,1351.0,2543.8,828.9999999999999,566.3000000000001
2018-02-23,1062.5999999999997,1483.1000000000004,3112.4000000000005,841.4,541.3999999999999
2018-02-24,526.6,1172.3999999999999,1979.8999999999994,838.5,565.4999999999999
2018-02-25,246.99999999999994,821.8,1200.6999999999998,505.8,203.50000000000003
2018-02-26,473.3,909.1000000000001,1634.9,467.59999999999985,160.50000000000003
2018-02-27,907.7999999999998,1350.4,2742.2,400.7,212.15
2018-02-28,984.2,1222.7,2732.0,600.0999999999999,466.9
2018-03-01,388.4,924.9,1520.3000000000004,1022.0000000000001,741.9999999999999
2018-03-02,457.00000000000006,1100.0,1801.1000000000001,1205.6999999999998,995.5999999999999
2018-03-03,432.49999999999994,1267.1,1930.4999999999995,1804.9,1640.2
2018-03-04,201.8,775.0999999999999,1085.1,519.9,399.20000000000005
2018-03-05,129.4,674.5,873.0,361.59999999999997,192.09999999999997
2018-03-06,279.8,930.6999999999998,1359.3999999999999,325.50000000000006,204.5
2018-03-07,776.6999999999998,1402.6999999999998,2593.9000000000005,472.3,319.8
2018-03-08,87.9,614.5000000000001,749.5000000000001,267.59999999999997,104.0
2018-03-09,864.5000000000002,1060.2,2385.7000000000003,449.1,262.4
2018-03-10,91.60000000000002,538.0000000000001,678.8000000000001,482.8,257.30000000000007
2018-03-11,572.3,1319.8000000000002,2197.7,587.2,370.0
2018-03-12,1251.3,1419.9999999999998,3338.5,396.09999999999997,266.5
2018-03-13,487.6,1052.4,1800.5,351.65000000000003,236.8
2018-03-14,85.1,488.6,619.0,313.5,179.80000000000004
2018-03-15,271.55000000000007,795.9499999999999,1212.0,376.4,214.0
2018-03-16,182.7,700.0,979.5000000000001,432.9,236.4
2018-03-17,278.0,647.7,1074.4,497.8999999999999,346.6
2018-03-18,209.6,637.1,958.5000000000002,711.7999999999998,448.3
2018-03-19,414.2,924.4000000000002,1560.0000000000002,623.1,294.6
