MeasurementDateGMT,Brent - Ikea: Nitric Oxide (ug/m3),Brent - Ikea: Nitrogen Dioxide (ug/m3),Brent - Ikea: Oxides of Nitrogen (ug/m3),Brent - Ikea: Ozone (ug/m3),Brent - Ikea: PM10 Particulate (ug/m3)
2020-05-05,463.4,1122.2,1832.6999999999998,1131.5000000000002,562.0
2020-05-06,640.4999999999999,1323.8999999999999,2306.0,1166.8999999999999,727.0
2020-05-07,962.0,1668.2999999999997,3143.4,1109.3,851.0
2020-05-08,644.8000000000001,1713.1000000000001,2701.8999999999996,1380.0,680.0
2020-05-09,482.3999999999998,1526.1000000000001,2265.7000000000003,1529.2999999999997,1063.0
2020-05-10,128.4,635.8999999999999,832.6,1547.1000000000001,839.0
2020-05-11,249.10000000000002,597.3,979.4000000000001,1162.8000000000002,593.0
2020-05-12,406.9,912.1,1536.0,1151.7,427.0
2020-05-13,288.50000000000006,786.1999999999999,1228.6,1155.6,429.0
2020-05-14,477.6,930.8,1663.4000000000003,979.6999999999999,396.0
2020-05-15,564.8000000000002,1062.3999999999999,1928.3000000000004,1132.5,480.0
2020-05-16,300.6,842.9000000000001,1303.9,1379.0,368.0
2020-05-17,296.4000000000001,745.7,1200.2,1226.1,382.0
2020-05-18,450.5,918.7,1609.6000000000004,1351.4,468.0
2020-05-19,417.9000000000001,903.4000000000001,1544.2999999999997,1210.6,357.0
2020-05-20,833.3000000000001,1353.6000000000001,2631.4000000000005,903.4999999999999,531.0
2020-05-21,658.8000000000001,1301.8,2312.6,1322.8999999999999,545.0
2020-05-22,423.40000000000003,838.9999999999999,1488.6,1420.0,800.0
2020-05-23,209.89999999999998,414.50000000000006,735.8000000000001,1428.6999999999998,727.0
2020-05-24,113.79999999999998,444.3,618.9,1403.9,403.0
2020-05-25,400.50000000000006,956.1,1569.9,1251.8,511.0
2020-05-26,611.9000000000002,1092.0,2030.4999999999998,1184.8,671.0
2020-05-27,761.1999999999998,1445.8,2613.3,985.9999999999999,575.0
2020-05-28,673.1000000000001,1149.6,2181.9,965.9000000000001,591.0
2020-05-29,802.6999999999999,1346.8,2577.9,912.3,582.0
2020-05-30,441.29999999999995,1106.2,1783.2999999999997,1380.5000000000002,597.0
2020-05-31,267.6,893.4000000000002,1303.4000000000003,1450.3,478.0
2020-06-01,545.8000000000001,1260.1000000000001,2097.3,1171.3,652.0
2020-06-02,425.1,1043.3,1695.2,1311.8000000000002,605.0
2020-06-03,673.3000000000001,1300.3,2332.3,889.4000000000001,861.0
2020-06-04,267.59999999999997,567.6000000000001,977.7999999999998,1233.7999999999997,335.0
2020-06-05,204.60000000000002,445.9999999999999,760.2,1286.2,329.0
2020-06-06,501.9,704.0999999999998,1473.9,890.0999999999999,350.0
