MeasurementDateGMT,Wandsworth - Putney: Nitric Oxide (ug/m3),Wandsworth - Putney: Nitrogen Dioxide (ug/m3),Wandsworth - Putney: Oxides of Nitrogen (ug/m3),Wandsworth - Putney: PM10 Particulate (ug/m3)
2019-09-18,246.1,977.4,1354.5000000000002,514.0
2019-09-19,508.90000000000015,1204.4000000000003,1984.8,539.0
2019-09-20,320.0,1152.0,1642.7999999999997,681.0
2019-09-21,250.70000000000002,1370.6,1754.7,767.0
2019-09-22,100.49999999999999,886.2,1040.1,371.0
2019-09-23,156.8,664.0999999999999,904.2,284.0
2019-09-24,206.4,767.6999999999999,1084.3,257.0
2019-09-25,172.50000000000003,648.2999999999998,912.7999999999997,228.22584856396867
2019-09-26,171.90000000000003,729.1000000000001,992.4999999999999,354.20365535248044
2019-09-27,211.3,712.7,1036.6999999999998,346.68407310704964
2019-09-28,112.2,498.00000000000006,670.0,339.16449086161873
2019-09-29,80.79999999999998,413.1,537.3000000000001,331.644908616188
2019-09-30,183.29999999999998,573.1000000000001,854.0999999999999,324.1253263707572
2019-10-01,175.79999999999998,639.3,908.8000000000002,316.60574412532634
2019-10-02,268.6,686.7,1098.3999999999999,309.08616187989554
2019-10-03,708.5000000000001,1058.3999999999999,2144.2000000000003,301.5665796344648
2019-10-04,232.4,617.2,973.7000000000002,294.04699738903395
2019-10-05,392.4,1103.1999999999998,1704.5999999999997,286.52741514360315
2019-10-06,84.60000000000001,353.79999999999995,483.5,279.00783289817235
2019-10-07,270.8,705.2,1120.4,271.48825065274156
2019-10-08,196.70000000000002,525.0,826.7,263.9686684073107
2019-10-09,151.7,430.9,663.1999999999999,256.4490861618799
2019-10-10,163.8,440.1,691.0000000000001,248.9295039164491
2019-10-11,210.1,569.2000000000002,891.5,201.77545691906005
2019-10-12,243.1,740.8000000000001,1113.8999999999999,142.0
2019-10-13,140.8,489.8999999999999,705.8000000000001,214.0
2019-10-14,522.7,918.5000000000001,1719.0,377.0
2019-10-15,243.40000000000003,536.0,909.3,254.0
2019-10-16,221.70000000000005,593.7000000000002,933.6000000000001,308.0
2019-10-17,431.49999999999994,733.6,1395.2499999999998,301.0
2019-10-18,255.19999999999996,630.9999999999999,1022.1999999999999,366.0
2019-10-19,248.6,581.9,962.9,286.0
2019-10-20,510.0,520.0,1302.0,349.0
2019-10-21,147.6,441.6,668.0,300.0
2019-10-22,830.5999999999999,913.0,2186.1,442.0
2019-10-23,1577.4,1322.8999999999999,3741.3999999999996,775.0
2019-10-24,786.8000000000001,903.3500000000003,2109.55,541.0
2019-10-25,276.5,724.3,1148.6,338.0
2019-10-26,127.70000000000003,572.6999999999999,768.4999999999999,327.0
2019-10-27,630.5,781.6999999999998,1748.6,638.0
2019-10-28,1347.9,1156.6999999999998,3223.4,920.0
2019-10-29,192.9,1017.6999999999999,1313.1999999999998,391.0
2019-10-30,315.2000000000001,1148.3000000000002,1630.8999999999999,711.0
2019-10-31,783.8000000000001,1259.0,2460.8,943.0
2019-11-01,483.79999999999995,1045.0,1786.8000000000002,477.0
2019-11-02,173.9,762.1,1028.4,353.0
2019-11-03,270.0,788.5999999999999,1202.9999999999998,373.0
2019-11-04,889.4999999999998,1244.3999999999999,2608.5999999999995,424.0
2019-11-05,354.29999999999995,879.8999999999999,1422.6999999999996,336.0
2019-11-06,454.1,1094.6,1790.8,661.0
2019-11-07,319.70000000000005,877.8000000000001,1368.2,315.0
2019-11-08,966.3000000000001,1028.5999999999997,2510.5,401.0
2019-11-09,480.30000000000007,1026.6,1763.1,454.0
2019-11-10,522.4000000000001,977.4,1778.3,453.0
2019-11-11,143.59999999999997,642.3,862.4000000000001,321.0
2019-11-12,134.1,682.2,887.4999999999998,299.0
2019-11-13,429.90000000000003,1015.7999999999998,1675.0000000000002,337.0
2019-11-14,394.29999999999995,1195.0,1799.5,342.0
2019-11-15,229.89999999999995,856.6,1208.7,430.0
2019-11-16,650.2,986.9999999999999,1984.2000000000005,426.0
2019-11-17,1942.6999999999996,1224.1000000000001,4202.900000000001,727.0
2019-11-18,565.5,907.6999999999999,1775.7,353.0
2019-11-19,2012.3999999999996,1552.8999999999999,4638.4,896.0
2019-11-20,559.4,1216.9,2075.2,625.0
2019-11-21,542.3,1014.2999999999998,1845.6,839.0
2019-11-22,533.9,1246.0999999999997,2064.3999999999996,562.0
2019-11-23,468.80000000000007,1043.8,1763.0,482.0
2019-11-24,958.5,880.3000000000001,2350.4,634.0
2019-11-25,457.8000000000002,967.0999999999999,1668.9,280.0
2019-11-26,245.8,790.4999999999999,1167.6,343.0
2019-11-27,273.19999999999993,913.9000000000002,1332.5,300.0
2019-11-28,222.49999999999994,630.8999999999999,972.1999999999999,328.0
2019-11-29,932.2,1050.5,2479.9,553.5
2019-11-30,1130.3,1406.5,3139.7999999999997,666.0
2019-12-01,143.4,768.8,989.2000000000002,276.0
2019-12-02,897.1999999999999,1198.8,2574.2999999999997,583.0
2019-12-03,830.4000000000001,1336.3999999999999,2609.1,485.0
2019-12-04,2411.2,1506.8999999999999,5203.9,793.0
2019-12-05,1138.3,1057.3,2802.6000000000004,601.0
2019-12-06,138.79999999999995,554.2000000000002,766.8000000000003,200.0
2019-12-07,182.3,614.6000000000001,894.4999999999998,303.5
2019-12-08,89.3,399.99999999999994,537.6,393.5
2019-12-09,244.4,663.9999999999999,1039.2,286.0
2019-12-10,264.9000000000001,775.3,1181.0999999999997,438.0
2019-12-11,481.80000000000007,1027.1499999999999,1766.2,370.0
2019-12-12,467.5999999999999,879.0000000000001,1596.1000000000001,430.0
2019-12-13,247.20000000000005,530.3,908.9,313.0
2019-12-14,280.3,585.0999999999999,1014.7999999999998,426.0
2019-12-15,287.3,523.1000000000001,963.6999999999999,317.0
2019-12-16,665.5,1212.3500000000001,2232.8,362.0
2019-12-17,520.05,1053.6499999999999,1851.2,297.0
2019-12-18,869.6999999999998,1118.9,2452.0,414.0
