MeasurementDateGMT,Brent - John Keble Primary School: Nitric Oxide (ug/m3),Brent - John Keble Primary School: Nitrogen Dioxide (ug/m3),Brent - John Keble Primary School: Oxides of Nitrogen (ug/m3),Brent - John Keble Primary School: PM10 Particulate (ug/m3)
2019-04-10,66.4,361.20000000000005,462.8,416.4
2019-04-11,76.60000000000001,528.0,645.4,356.6
2019-04-12,62.000000000000014,549.3000000000001,644.6999999999999,346.99999999999994
2019-04-13,82.99999999999997,519.8,646.8000000000001,339.6
2019-04-14,60.2,524.2,616.9,477.50000000000006
2019-04-15,124.60000000000001,794.0000000000002,985.6,860.1999999999999
2019-04-16,440.50000000000006,1413.3,2088.7,1187.2
2019-04-17,293.19999999999993,1091.4,1540.6999999999996,1269.1999999999998
2019-04-18,137.39999999999998,776.3,986.7999999999998,1153.6000000000001
2019-04-19,74.8,715.9000000000001,830.5999999999999,860.5000000000001
2019-04-20,52.9,604.1000000000001,685.4000000000001,792.9999999999999
2019-04-21,48.300000000000004,774.3,848.8999999999999,860.2
2019-04-22,60.79999999999999,1045.3999999999999,1138.5000000000002,1205.3
2019-04-23,107.0,978.2,1142.3000000000002,920.1999999999999
2019-04-24,232.4,1014.6999999999999,1371.1000000000004,870.0999999999997
2019-04-25,151.00000000000003,541.3,773.1,384.50000000000006
2019-04-26,236.20000000000002,743.4000000000001,1105.5,393.19999999999993
2019-04-27,126.3,303.2,496.8,384.1000000000001
2019-04-28,124.5,378.69999999999993,569.8000000000001,294.3
2019-04-29,110.69999999999999,658.5,828.1999999999999,427.80000000000007
2019-04-30,238.99999999999997,1052.1999999999998,1418.9,678.1999999999998
2019-05-01,314.4,1028.1,1509.9999999999998,614.6000000000001
2019-05-02,298.5,743.5,1201.6000000000001,363.80000000000007
2019-05-03,279.7,805.6,1234.5,357.80000000000007
2019-05-04,199.20000000000005,430.5,735.8,338.09999999999997
2019-05-05,179.2,628.8000000000001,903.0999999999999,471.6000000000001
2019-05-06,180.39999999999998,665.3,941.5999999999999,318.7
2019-05-07,279.3,873.0999999999999,1301.6,516.4
