MeasurementDateGMT,Wandsworth - Putney High Street: Nitric Oxide (ug/m3),Wandsworth - Putney High Street: Nitrogen Dioxide (ug/m3),Wandsworth - Putney High Street: Oxides of Nitrogen (ug/m3),Wandsworth - Putney High Street: PM10 Particulate (ug/m3)
2020-03-06,3459.1,2724.8,8029.100000000002,606.6999999999999
2020-03-07,1577.5,1903.2,4322.200000000001,682.4999999999999
2020-03-08,941.0,1297.3,2740.3000000000006,401.3
2020-03-09,1913.4999999999998,1939.8000000000004,4873.8,475.8999999999999
2020-03-10,1291.6000000000004,1354.8,3335.2999999999993,200.2
2020-03-11,1372.7,1617.0500000000002,3721.3499999999995,317.6294117647059
2020-03-12,1512.7999999999997,1641.3,3960.6,368.6705882352941
2020-03-13,2098.1,2114.6000000000004,5332.399999999999,394.59999999999997
2020-03-14,1071.3999999999999,1381.8000000000002,3024.6,261.9
2020-03-15,1033.8,1369.1,2954.1000000000004,243.20000000000002
2020-03-16,2760.4999999999995,2480.8,6713.499999999999,437.29999999999995
2020-03-17,1559.7,1721.4,4112.8,407.9
2020-03-18,1431.8999999999999,1659.4,3855.500000000001,403.9
2020-03-19,735.9000000000001,1154.3999999999999,2282.8,369.4
2020-03-20,358.30000000000007,732.5000000000002,1282.1,309.90000000000003
2020-03-21,195.60000000000002,467.90000000000003,768.2,384.4
2020-03-22,171.00000000000003,506.79999999999995,768.9000000000001,403.5
2020-03-23,322.90000000000003,907.0,1402.2,463.29999999999995
2020-03-24,402.4,1072.3999999999999,1689.5,460.59999999999997
2020-03-25,775.8,1378.1000000000001,2567.4000000000005,640.9000000000002
2020-03-26,446.49999999999994,1038.3,1723.0000000000002,811.8
2020-03-27,460.1,1051.6999999999998,1757.4000000000005,852.5999999999998
2020-03-28,271.2,611.5,1027.2,536.2
2020-03-29,181.60000000000002,364.19999999999993,642.2,367.09999999999997
2020-03-30,648.0999999999999,889.5000000000001,1882.8,313.8
2020-03-31,283.50000000000006,700.4,1134.9999999999998,377.1
2020-04-01,1344.3999999999999,1622.5000000000005,3683.5,444.70000000000005
2020-04-02,998.4999999999998,1414.1,2945.7000000000003,312.1
2020-04-03,1409.1999999999998,1807.3999999999999,3967.899999999999,402.3
2020-04-04,289.69999999999993,731.6000000000001,1175.9999999999998,346.9000000000001
2020-04-05,73.5,316.3,428.30000000000007,369.0
2020-04-06,741.7,1329.1000000000001,2465.9,365.09999999999997
2020-04-07,538.3000000000001,1127.9,1953.1,558.1999999999999
2020-04-08,296.60000000000014,1330.1999999999998,1784.3000000000002,1048.0
2020-04-09,320.49999999999994,1134.7,1626.2000000000007,1224.9
2020-04-10,148.49999999999997,844.6,1071.5000000000002,990.2
2020-04-11,398.8,1286.1,1897.5000000000002,798.6
2020-04-12,240.8,876.2000000000002,1245.3,612.1
2020-04-13,100.20000000000002,265.0,418.9,418.59999999999997
2020-04-14,202.70000000000005,453.19999999999993,763.8,340.6
2020-04-15,251.5,715.6000000000001,1101.3000000000002,574.1
2020-04-16,319.2,1127.5,1617.2000000000003,1087.5
2020-04-17,136.29999999999998,428.4,637.2999999999998,522.2
2020-04-18,275.8999999999999,644.1,1066.9999999999998,554.9
2020-04-19,165.49999999999997,518.4000000000001,771.5999999999999,480.19999999999993
2020-04-20,157.39999999999995,447.9,689.4000000000003,571.4999999999999
2020-04-21,139.5,480.89999999999986,694.8000000000001,724.4
2020-04-22,237.79999999999998,678.8,1043.1999999999998,721.8
2020-04-23,397.49999999999994,925.0,1534.8000000000002,763.2
2020-04-24,432.95,1083.45,1747.1000000000004,784.3000000000002
2020-04-25,99.80000000000003,340.2,493.70000000000005,470.9
2020-04-26,297.40000000000003,689.2,1144.8000000000002,474.99999999999994
2020-04-27,776.8000000000001,1166.0000000000002,2356.9999999999995,649.7
2020-04-28,251.29999999999998,603.6,988.8999999999999,243.89999999999998
2020-04-29,694.3000000000001,897.3,1961.7999999999997,409.1
2020-04-30,671.3000000000002,834.5999999999998,1864.3000000000002,329.4000000000001
2020-05-01,792.7,971.8000000000001,2187.7000000000003,359.70000000000005
2020-05-02,543.8999999999999,925.4999999999999,1759.1000000000001,319.1
2020-05-03,148.20000000000002,440.0,667.1,303.9
2020-05-04,205.70000000000002,445.8999999999999,761.1,408.2000000000001
2020-05-05,132.09999999999997,302.7,504.90000000000003,360.29999999999995
2020-05-06,258.70000000000005,633.3000000000001,1030.6,503.29999999999984
2020-05-07,689.0999999999998,1308.2999999999995,2364.4,628.2
2020-05-08,508.49999999999994,1256.5,2036.7999999999997,539.3000000000001
2020-05-09,144.6,789.6,1011.8000000000001,792.4
2020-05-10,221.5,556.9999999999999,896.3000000000001,640.6000000000001
2020-05-11,305.99999999999994,421.6,890.2000000000002,409.7
2020-05-12,867.3,1092.6999999999998,2422.5000000000005,388.40000000000003
2020-05-13,376.1,648.4999999999999,1225.6000000000001,322.3
2020-05-14,588.6,851.0,1753.5999999999997,263.5
2020-05-15,1761.5499999999997,2009.85,4710.950000000001,497.40000000000003
2020-05-16,1267.9,1705.3,3649.4000000000005,406.30000000000007
2020-05-17,745.0999999999999,1158.0,2300.8999999999996,406.8
2020-05-18,727.4999999999999,1121.9,2237.6,409.6
2020-05-19,860.4,1266.5,2586.1999999999994,428.2
2020-05-20,730.5000000000001,1091.2,2211.4000000000005,425.69999999999993
2020-05-21,804.8000000000001,1319.1,2552.7999999999997,566.6999999999999
2020-05-22,533.8000000000001,786.5999999999999,1605.2,678.9000000000001
2020-05-23,447.6,556.1999999999999,1242.4,552.6999999999999
