MeasurementDateGMT,Lewisham - Catford: Nitric Oxide (ug/m3),Lewisham - Catford: Nitrogen Dioxide (ug/m3),Lewisham - Catford: Oxides of Nitrogen (ug/m3)
2018-02-26,157.6,506.00000000000006,747.5999999999999
2018-02-27,553.9,1132.3999999999999,1982.3000000000006
2018-02-28,555.9000000000001,891.2,1743.5999999999997
2018-03-01,121.8,598.6999999999999,785.2999999999997
2018-03-02,181.29999999999998,796.2000000000002,1074.2999999999997
2018-03-03,316.8,1060.0999999999997,1546.2
2018-03-04,441.49999999999994,925.8999999999997,1603.0
2018-03-05,553.8000000000001,957.1,1806.3000000000002
2018-03-06,1118.8999999999996,1516.8,3232.7000000000003
2018-03-07,701.4,1498.3999999999996,2574.2
2018-03-08,510.79999999999995,945.3,1728.1
2018-03-09,977.6,1296.3999999999999,2795.9
2018-03-10,834.8,1065.4999999999998,2345.3999999999996
2018-03-11,502.20000000000005,1246.6,2016.1999999999996
2018-03-12,254.29999999999993,943.1,1332.2
2018-03-13,656.0000000000001,1049.5,2055.7999999999997
2018-03-14,336.7000000000001,767.3999999999999,1283.5000000000002
2018-03-15,343.80000000000007,921.5999999999998,1448.5
2018-03-16,705.2999999999998,1271.6,2353.2000000000003
2018-03-17,99.3,485.20000000000016,637.4999999999998
2018-03-18,76.79999999999998,471.40000000000003,589.5
2018-03-19,88.3,601.1000000000001,736.7
2018-03-20,49.40000000000001,647.9,723.6
2018-03-21,840.5,1404.4,2693.1000000000004
2018-03-22,377.2,1043.1999999999998,1621.2999999999997
2018-03-23,528.5,1142.6999999999998,1953.0000000000002
2018-03-24,333.50000000000006,1074.5,1586.2
2018-03-25,565.7,1212.1000000000001,2079.2
2018-03-26,580.0999999999999,1399.9000000000003,2289.5
2018-03-27,327.19999999999993,907.6,1409.5000000000002
2018-03-28,410.40000000000003,1298.3000000000004,1927.4000000000003
2018-03-29,492.59999999999997,1122.3,1877.0000000000002
2018-03-30,252.5,1020.6,1407.5000000000002
2018-03-31,437.50000000000006,940.9999999999998,1612.6000000000006
2018-04-01,177.5,762.8000000000001,1035.2
2018-04-02,300.2,764.3,1225.1000000000001
2018-04-03,456.2000000000001,1013.2,1712.4000000000003
2018-04-04,278.9000000000001,695.0999999999999,1122.6000000000001
2018-04-05,176.19999999999996,658.0999999999999,927.9000000000001
2018-04-06,288.99999999999994,907.6999999999999,1350.6999999999998
2018-04-07,462.50000000000006,1276.3,1985.1999999999998
2018-04-08,186.2,991.0,1276.6000000000001
2018-04-09,171.39999999999995,956.1999999999998,1218.8000000000002
2018-04-10,243.29999999999993,1193.8,1566.6999999999998
2018-04-11,152.0,897.1,1130.3999999999999
2018-04-12,107.39999999999999,624.8,790.0
2018-04-13,637.8,1206.1000000000004,2183.8
2018-04-14,454.9000000000001,1163.8999999999999,1861.2
2018-04-15,245.79999999999993,851.8999999999999,1228.5999999999997
2018-04-16,450.69999999999993,1078.9,1770.1999999999998
2018-04-17,405.2,1049.9,1671.2
2018-04-18,425.19999999999993,1207.2000000000005,1858.9
2018-04-19,631.0000000000001,1886.7999999999997,2854.0000000000005
2018-04-20,478.6000000000001,1330.0000000000002,2058.9000000000005
2018-04-21,302.2,1294.8000000000002,1757.8
2018-04-22,205.40000000000003,899.7,1214.6
2018-04-23,256.70000000000005,774.9000000000001,1168.5
2018-04-24,412.49999999999994,752.2,1384.8999999999996
2018-04-25,259.0,691.2,1088.4
2018-04-26,363.9,895.8999999999999,1454.1999999999998
