MeasurementDateGMT,Enfield - Bowes Primary School: Nitric Oxide (ug/m3),Enfield - Bowes Primary School: Nitrogen Dioxide (ug/m3),Enfield - Bowes Primary School: Oxides of Nitrogen (ug/m3),Enfield - Bowes Primary School: PM10 Particulate (ug/m3)
2019-11-30,1810.7999999999995,1438.1,4214.700000000001,510.40000000000003
2019-12-01,284.40000000000003,646.9999999999999,1083.1000000000001,218.89999999999998
2019-12-02,1771.1999999999998,1584.6999999999998,4300.6,620.0
2019-12-03,1704.0000000000002,1648.2,4260.6,654.8000000000001
2019-12-04,6632.1,2285.5,12454.599999999999,1153.8
2019-12-05,1884.3999999999999,1168.6,4057.7000000000003,642.1999999999998
2019-12-06,219.5,620.1999999999999,956.5000000000001,125.99999999999999
2019-12-07,167.3,699.6,955.9,265.1
2019-12-08,105.69999999999997,383.90000000000003,546.1999999999999,284.4
2019-12-09,957.2,981.1,2448.6,430.6500000000001
2019-12-10,511.7000000000001,695.3,1480.3000000000002,355.7
2019-12-11,310.80000000000007,941.3000000000001,1417.7,282.5
2019-12-12,141.4,955.2,1172.4,220.5
2019-12-13,481.65,787.6999999999999,1525.95,323.0
2019-12-14,154.40000000000003,604.0000000000001,840.4999999999999,344.7
2019-12-15,71.19999999999999,374.19999999999993,483.7,249.29999999999995
2019-12-16,955.8,1136.2,2601.7999999999997,385.00000000000006
2019-12-17,1051.8000000000002,1483.8,3096.499999999999,389.69999999999993
2019-12-18,2064.9999999999995,1221.7999999999997,4388.099999999999,498.90000000000003
2019-12-19,57.9,528.9,617.7,363.09999999999997
2019-12-20,544.0,1052.1,1886.3999999999999,195.89999999999998
2019-12-21,89.80000000000001,610.4000000000001,748.0,214.7
2019-12-22,216.39999999999998,713.0999999999999,1045.0,228.70000000000002
2019-12-23,236.40000000000003,785.6,1148.3,344.09999999999997
2019-12-24,194.10000000000005,722.4,1020.3,339.5
2019-12-25,1838.2,1133.7999999999997,3951.7999999999997,605.5
2019-12-26,788.4000000000002,869.8,2079.2000000000003,384.80000000000007
2019-12-27,1727.4500000000003,1135.6,3784.35,639.1999999999999
2019-12-28,780.5999999999999,743.3,1940.3,515.8000000000001
2019-12-29,76.60000000000001,484.6,602.4,421.80000000000007
2019-12-30,654.5,833.6999999999999,1836.8000000000002,602.2
2019-12-31,720.3999999999999,1025.7,2129.9,685.3
2020-01-01,951.3,1159.1999999999998,2617.6999999999994,1198.0
2020-01-02,50.6,468.0,545.3999999999999,246.29999999999995
2020-01-03,368.30000000000007,807.1,1372.0999999999997,296.8
2020-01-04,234.10000000000002,901.9999999999999,1260.6999999999998,308.40000000000003
2020-01-05,68.3,543.1999999999999,647.8000000000001,177.99999999999997
2020-01-06,87.9,502.09999999999997,636.8,296.8
2020-01-07,96.69999999999999,514.5,662.6999999999999,393.0999999999999
2020-01-08,337.5,905.4999999999998,1423.2999999999997,607.4
2020-01-09,85.00000000000001,413.6000000000001,543.8,189.89999999999998
2020-01-10,565.0000000000001,1020.6500000000001,1886.6499999999994,313.5
2020-01-11,42.800000000000004,269.0,334.1000000000001,315.00000000000006
2020-01-12,137.39999999999998,469.7,680.0000000000001,158.5
2020-01-13,49.900000000000006,365.20000000000005,441.99999999999994,238.90000000000003
2020-01-14,46.800000000000004,310.3,381.79999999999995,225.20000000000005
2020-01-15,138.79999999999998,665.0999999999999,878.0999999999999,240.0
2020-01-16,49.1,548.8,624.1000000000001,327.4
2020-01-17,189.30000000000004,745.1,1035.5,194.1
2020-01-18,973.3000000000001,1360.3,2852.7999999999997,479.1
2020-01-19,1753.8,1466.3,4155.7,666.9
2020-01-20,3661.4999999999995,1938.4,7552.200000000001,1083.3999999999999
2020-01-21,4360.9,2007.0999999999997,8694.0,963.2000000000002
2020-01-22,1769.6999999999998,1414.8,4128.3,790.7999999999998
2020-01-23,1990.8,1534.2,4586.6,661.5000000000001
2020-01-24,1043.0500000000002,1266.4499999999998,2866.0000000000005,538.0
2020-01-25,121.5,787.0,973.7000000000003,665.8
