MeasurementDateGMT,Lewisham - Honor Oak Park: Nitric Oxide (ug/m3),Lewisham - Honor Oak Park: Nitrogen Dioxide (ug/m3),Lewisham - Honor Oak Park: Ozone (ug/m3),Lewisham - Honor Oak Park: PM10 Particulate (ug/m3),Lewisham - Honor Oak Park: PM2.5 Particulate (ug/m3)
2018-09-26,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-09-27,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-09-28,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-09-29,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-09-30,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-01,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-02,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-03,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-04,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-05,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-06,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-07,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-08,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-09,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-10,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-11,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-12,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-13,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-14,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-15,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-16,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-17,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-18,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-19,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-20,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-21,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-22,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-23,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-24,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-25,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-26,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-27,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-28,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-29,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-30,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
2018-10-31,1281.6000000000001,276.0,314.40000000000003,300.0,108.0
