MeasurementDateGMT,Hackney - Old Street: Nitric Oxide (ug/m3),Hackney - Old Street: Nitrogen Dioxide (ug/m3),Hackney - Old Street: Oxides of Nitrogen (ug/m3),Hackney - Old Street: Ozone (ug/m3),Hackney - Old Street: PM10 Particulate (ug/m3)
2018-11-13,1267.8999999999996,1488.6999999999998,3432.5000000000005,514.6999999999999,289.57241379310335
2018-11-14,974.2,1214.1,2707.6,551.7000000000002,293.54482758620696
2018-11-15,1139.0,1073.8999999999999,2819.8999999999996,211.59999999999994,297.51724137931035
2018-11-16,1123.6000000000001,918.9999999999999,2642.0000000000005,159.29999999999995,301.4896551724137
2018-11-17,750.4,1088.2,2239.1,215.89999999999998,305.4620689655173
2018-11-18,481.29999999999995,907.4999999999998,1645.1000000000001,574.2,309.4344827586207
2018-11-19,517.8,679.5999999999999,1473.3,880.3999999999999,313.4068965517241
2018-11-20,734.0999999999999,859.9,1985.5999999999997,579.0999999999999,317.3793103448276
2018-11-21,1365.6000000000001,1136.6000000000001,3230.8,197.4,321.35172413793106
2018-11-22,2572.7000000000003,1233.9999999999998,5178.999999999999,80.09999999999997,325.3241379310346
2018-11-23,1757.3999999999999,1234.2999999999997,3929.2,87.69999999999996,329.29655172413794
2018-11-24,783.9999999999999,1112.5,2314.9,267.2,333.2689655172414
2018-11-25,525.8,813.8000000000001,1619.9000000000003,426.90000000000003,337.241379310345
2018-11-26,485.40000000000003,940.8,1684.6000000000001,388.29999999999995,341.21379310344827
2018-11-27,1290.9999999999998,1197.9000000000003,3176.7999999999993,200.20000000000007,345.18620689655165
2018-11-28,658.1,1116.2,2125.5000000000005,786.5000000000001,349.1586206896553
2018-11-29,667.2,1140.4,2163.7999999999997,841.5000000000002,353.1310344827586
2018-11-30,1456.9000000000003,1598.3999999999996,3832.6,450.69999999999993,357.103448275862
2018-12-01,765.3000000000002,1266.3000000000002,2439.3,660.8999999999999,361.07586206896565
2018-12-02,564.9000000000001,1012.4999999999999,1879.1000000000001,724.1,365.0482758620689
2018-12-03,1430.2967213114753,1397.9262295081962,3592.1901639344264,566.3491803278689,369.0206896551723
2018-12-04,1586.9901639344262,1567.2786885245903,4002.570491803279,403.94754098360653,372.9931034482761
2018-12-05,1148.8524590163936,1501.1803278688526,3264.157377049181,409.6131147540983,376.9655172413793
2018-12-06,1155.860655737705,1455.5147540983605,3227.2819672131145,447.0901639344262,457.09310344827594
2018-12-07,1136.7000000000003,1335.7,3078.6,646.4000000000002,457.4000000000001
