MeasurementDateGMT,Wandsworth - Putney High Street Facade: Nitric Oxide (ug/m3),Wandsworth - Putney High Street Facade: Nitrogen Dioxide (ug/m3),Wandsworth - Putney High Street Facade: Oxides of Nitrogen (ug/m3)
2018-03-29,858.6000000000001,1116.9,2433.7000000000003
2018-03-30,663.4,1012.6,2030.6999999999998
2018-03-31,1469.0,1439.3,3692.2
2018-04-01,913.3000000000001,1095.0000000000002,2495.4000000000005
2018-04-02,661.1,875.7999999999998,1888.9
2018-04-03,1204.0,1498.3,3345.1
2018-04-04,735.4000000000001,1018.8,2146.6
2018-04-05,1131.1999999999998,1273.3999999999999,3007.900000000001
2018-04-06,435.59999999999997,902.0999999999999,1570.3
2018-04-07,782.0000000000001,1417.5999999999997,2616.5000000000005
2018-04-08,1253.6999999999998,1595.1,3517.4000000000005
2018-04-09,1075.0,1476.6999999999998,3125.2
2018-04-10,815.6999999999998,1546.1000000000001,2797.2
2018-04-11,1776.8,1723.1999999999998,4446.750000000001
2018-04-12,1784.2000000000003,1515.6000000000004,4251.3
2018-04-13,2245.3,2019.0,5461.1
2018-04-14,916.6999999999999,1307.9999999999998,2713.5
2018-04-15,607.5,1047.3999999999999,1978.7000000000003
2018-04-16,1254.4999999999998,1730.5,3653.7000000000003
2018-04-17,848.4000000000001,1374.1999999999998,2675.1000000000004
2018-04-18,857.3000000000001,1269.0,2583.7
2018-04-19,1303.5,2462.4999999999995,4461.5
2018-04-20,2024.2,2235.6000000000004,5339.2
2018-04-21,547.0,1335.8000000000002,2174.1
2018-04-22,646.8000000000002,1206.4999999999998,2198.5
2018-04-23,1363.4000000000003,1620.3999999999999,3711.2999999999993
2018-04-24,1354.9,1466.3999999999999,3543.599999999999
2018-04-25,1536.7,1727.2999999999997,4083.6000000000013
2018-04-26,1613.8,1996.0,4470.299999999999
2018-04-27,698.4000000000001,1197.7000000000003,2268.5999999999995
2018-04-28,1390.1000000000001,1784.5000000000002,3916.4
2018-04-29,716.5999999999999,1100.8000000000002,2199.3
2018-04-30,1216.4999999999998,1428.7999999999997,3293.9999999999995
2018-05-01,1921.2999999999997,2099.5999999999995,5045.200000000002
2018-05-02,1378.3000000000004,1764.0,3877.2
2018-05-03,2312.4500000000003,2439.3999999999996,5984.999999999999
2018-05-04,1728.6000000000001,2153.8999999999996,4803.999999999999
2018-05-05,642.0,1501.6000000000001,2485.7999999999997
2018-05-06,571.6999999999999,1558.8000000000004,2435.6
2018-05-07,462.79999999999995,1653.0,2362.9
2018-05-08,1511.7000000000003,2311.4000000000005,4629.100000000001
2018-05-09,1700.8000000000002,1863.4999999999998,4472.100000000001
2018-05-10,1578.1,1898.2,4318.000000000001
2018-05-11,465.2,835.8000000000001,1549.9000000000003
2018-05-12,1456.0,1929.0,4161.599999999999
2018-05-13,1489.1,1862.2000000000003,4146.200000000001
2018-05-14,1222.1,1683.6,3557.9000000000005
2018-05-15,1242.3,1867.6999999999994,3772.1
2018-05-16,958.9,1244.6999999999998,2714.900000000001
2018-05-17,941.3000000000001,1389.0,2832.9
2018-05-18,1231.7,1781.1000000000001,3670.4
2018-05-19,995.3000000000002,1457.0,2983.099999999999
2018-05-20,472.2999999999999,959.6999999999999,1683.8000000000004
2018-05-21,1078.3,1933.5000000000005,3586.9000000000005
2018-05-22,986.0999999999998,1544.0,3055.2000000000003
2018-05-23,947.6,1467.9000000000003,2920.8999999999996
2018-05-24,1717.2000000000003,1937.8999999999999,4570.799999999999
2018-05-25,1701.7,2127.9,4737.7
2018-05-26,434.90000000000015,1071.6000000000001,1738.3000000000002
2018-05-27,542.3999999999999,1226.5,2058.1000000000004
2018-05-28,648.4,1284.6,2278.4999999999995
2018-05-29,805.8,1517.1000000000001,2752.8
2018-05-30,1368.9999999999995,1875.2000000000003,3974.3
2018-05-31,677.6999999999999,1332.8999999999999,2372.0
2018-06-01,1372.3,1870.3,3974.2999999999993
2018-06-02,1268.1000000000001,1845.8,3790.6
2018-06-03,712.0,1272.3,2364.0999999999995
2018-06-04,839.9000000000002,1414.3000000000002,2702.1000000000004
2018-06-05,705.2999999999998,1205.1999999999998,2286.2
2018-06-06,908.5000000000001,1429.5000000000002,2822.9000000000005
2018-06-07,902.0999999999999,1491.8999999999999,2874.9000000000005
2018-06-08,977.1,1534.2999999999997,3032.3000000000006
2018-06-09,555.0,1072.1999999999998,1923.1000000000004
2018-06-10,411.49999999999994,797.5999999999999,1429.2
2018-06-11,618.0999999999998,965.0000000000001,1913.1999999999998
2018-06-12,1113.4,1513.3999999999999,3220.1
2018-06-13,1450.6999999999998,1917.3,4141.4
2018-06-14,1491.3999999999999,1801.3999999999999,4088.0999999999995
2018-06-15,1781.1,2153.8000000000006,4884.800000000001
2018-06-16,1141.5,1514.5000000000002,3265.2
2018-06-17,868.1000000000001,1116.1,2447.0000000000005
2018-06-18,1296.0,1433.8000000000004,3420.9999999999995
2018-06-19,1675.9000000000003,1387.5,3957.2000000000003
2018-06-20,1510.2500000000002,1202.3500000000001,3517.65
2018-06-21,1136.6,1332.3,3075.0999999999995
2018-06-22,1424.2999999999997,1731.9,3916.0000000000005
2018-06-23,1259.3999999999999,1819.0,3750.2
2018-06-24,536.6,1197.9,2020.6999999999998
2018-06-25,1216.3999999999996,2249.6,4115.4
2018-06-26,534.5999999999999,1146.8000000000002,1966.6000000000001
2018-06-27,474.59999999999997,810.8000000000001,1539.1
2018-06-28,612.0999999999999,1024.6999999999998,1962.9999999999995
2018-06-29,635.1,1065.95,2039.95
2018-06-30,439.9999999999999,824.4,1499.1
2018-07-01,229.70000000000002,949.5,1301.8
2018-07-02,400.9,972.4,1586.8000000000002
2018-07-03,280.8,657.5000000000001,1088.0
2018-07-04,512.6999999999999,1066.8,1853.5000000000002
2018-07-05,1196.8000000000002,1978.8999999999999,3814.4000000000005
2018-07-06,1359.5000000000002,2275.2000000000003,4359.7
2018-07-07,904.8,1838.3000000000002,3225.7999999999997
2018-07-08,529.9000000000001,1288.5,2101.1000000000004
2018-07-09,1293.6999999999998,1617.3,3600.9
2018-07-10,1049.6000000000001,1042.9999999999998,2652.2999999999997
2018-07-11,926.1999999999999,1166.5000000000002,2586.8
2018-07-12,750.4999999999999,1211.4999999999998,2362.7000000000007
2018-07-13,472.8,998.5,1723.8999999999999
2018-07-14,557.2,1366.2,2220.5
2018-07-15,880.9999999999999,1738.6000000000001,3089.3
2018-07-16,1341.7,1864.6999999999998,3922.1
2018-07-17,1322.8999999999999,1399.6,3427.8999999999996
2018-07-18,1268.6000000000001,1594.2,3539.299999999999
2018-07-19,682.9000000000001,1215.9,2263.2000000000003
2018-07-20,472.5,1160.6999999999998,1885.1999999999996
2018-07-21,848.3,1674.5999999999997,2975.5000000000005
2018-07-22,954.5000000000001,1533.8999999999999,2997.3999999999996
2018-07-23,1319.4000000000003,1582.7,3605.499999999999
2018-07-24,1274.7999999999997,1646.6,3601.5
2018-07-25,1193.5,1722.1999999999998,3552.2
2018-07-26,652.5,1420.0,2420.8
2018-07-27,1280.8000000000002,1779.0,3742.7000000000003
2018-07-28,791.9999999999999,755.8,1969.6999999999998
2018-07-29,334.49999999999994,186.6,699.6999999999999
2018-07-30,1140.9999999999998,836.1999999999999,2585.6
2018-07-31,1418.4,1376.0999999999997,3550.9000000000005
2018-08-01,1409.5000000000002,1447.7999999999997,3609.0999999999995
2018-08-02,1506.0999999999995,1764.7000000000003,4073.5999999999995
2018-08-03,1377.9999999999998,1719.8999999999999,3832.6
2018-08-04,995.1999999999999,1166.8,2692.6
2018-08-05,427.7,545.7999999999998,1201.5000000000002
2018-08-06,1299.6999999999998,1953.5999999999997,3946.5999999999995
2018-08-07,1483.6000000000001,2066.7,4341.5
2018-08-08,1413.2,1293.6000000000001,3460.699999999999
2018-08-09,2187.2999999999997,1547.3000000000002,4900.9000000000015
2018-08-10,1980.4999999999998,1462.5000000000002,4499.599999999999
2018-08-11,1307.9000000000003,1245.1,3251.1000000000004
2018-08-12,912.5000000000001,849.3000000000001,2248.3999999999996
2018-08-13,1735.5000000000002,1377.6000000000001,4039.1
2018-08-14,2094.6,1759.3,4971.100000000001
2018-08-15,1412.6000000000004,1239.8000000000002,3406.2
2018-08-16,1682.4,1242.6,3822.1
2018-08-17,1978.2,1587.2,4620.0999999999985
2018-08-18,1290.6,1153.6000000000001,3132.7000000000003
2018-08-19,1051.9,826.3000000000001,2439.4000000000005
2018-08-20,2012.1,1615.0999999999997,4700.1
2018-08-21,1756.6000000000001,1531.9999999999998,4225.1
2018-08-22,1833.9000000000003,1504.5999999999997,4316.95
2018-08-23,1793.0000000000002,1509.2999999999997,4258.2
2018-08-24,1748.8000000000004,1502.2,4184.2
2018-08-25,1788.1,1557.8000000000002,4299.2
2018-08-26,814.1000000000001,886.0000000000001,2134.2
2018-08-27,1383.9000000000003,1217.6,3339.2999999999997
2018-08-28,1595.1999999999998,1574.3999999999999,4020.1999999999994
2018-08-29,1806.6000000000004,1485.1999999999998,4255.200000000001
2018-08-30,1881.5999999999997,1690.8,4576.099999999999
2018-08-31,1164.0000000000002,1186.7,2971.5000000000005
2018-09-01,856.9000000000001,1280.5,2594.6999999999994
2018-09-02,487.2999999999999,921.4000000000002,1668.2
2018-09-03,1402.4,1907.7,4057.3999999999996
2018-09-04,1283.0,1468.5,3435.5
2018-09-05,1257.7000000000005,1343.9,3272.4
2018-09-06,2157.9999999999995,1701.2,5010.0
2018-09-07,2360.5,1937.9000000000003,5557.700000000001
2018-09-08,1528.1000000000001,1425.4999999999998,3768.5999999999995
2018-09-09,1043.5000000000002,1012.0,2611.7
2018-09-10,1433.8,1140.3,3338.4999999999995
2018-09-11,1294.4999999999998,904.2,2888.8999999999996
2018-09-12,2058.8,1366.3000000000002,4523.2
2018-09-13,2933.7500000000005,1968.1999999999998,6465.850000000002
2018-09-14,1767.0,1503.2000000000003,4212.5
2018-09-15,1510.2999999999997,1393.7999999999997,3709.7
2018-09-16,917.5,1018.0,2424.9999999999995
2018-09-17,1322.5701492537314,421.00689655172414,3036.723880597015
2018-09-18,1517.528358208955,596.3113300492611,3565.3373134328353
2018-09-19,1518.1014925373136,777.9073891625616,3657.038805970148
2018-09-20,1518.674626865672,959.5034482758621,3748.7402985074623
2018-09-21,1519.2477611940299,1141.0995073891622,3840.441791044775
2018-09-22,1519.8208955223881,1322.6955665024625,3932.143283582089
2018-09-23,1520.3940298507464,1504.2916256157641,4023.8447761194025
2018-09-24,1520.9671641791044,1685.8876847290637,4115.546268656716
2018-09-25,1517.3955223880598,1951.7965517241373,4293.283582089552
2018-09-26,3088.500000000001,2816.1,7551.200000000001
2018-09-27,3413.4999999999995,2971.7000000000003,8205.699999999999
2018-09-28,1156.1,1288.4,3061.2000000000003
2018-09-29,2553.7000000000003,2351.8000000000006,6267.700000000001
2018-09-30,1643.1,1580.1999999999998,4099.7
2018-10-01,1939.5000000000002,1597.9999999999998,4572.099999999999
2018-10-02,1870.6999999999998,1594.4999999999995,4462.799999999999
2018-10-03,2796.6000000000004,2085.3999999999996,6373.599999999999
2018-10-04,2123.5,1562.7,4818.700000000001
2018-10-05,1418.5090909090911,1766.1923076923076,3906.6909090909094
2018-10-06,1157.3909090909092,1470.6076923076926,3193.0090909090904
2018-10-07,1597.8,1641.7,4091.7999999999997
2018-10-08,2203.0,1999.5999999999997,5377.7
2018-10-09,1395.8,1733.4,3873.9999999999995
2018-10-10,888.1875,1462.1874999999998,2824.5624999999995
2018-10-11,902.9499999999999,1568.79,2953.9700000000003
2018-10-12,1174.1499999999999,1728.63,3529.4900000000007
2018-10-13,1445.35,1888.47,4105.010000000001
2018-10-14,1716.5499999999997,2048.31,4680.53
2018-10-15,1689.5624999999998,1973.2624999999998,4563.887500000002
2018-10-16,1075.6,1290.1000000000001,2939.2
2018-10-17,2304.6999999999994,2179.2,5713.200000000001
2018-10-18,975.2000000000003,1363.0,2859.2
2018-10-19,4077.6,2801.3,9053.4
2018-10-20,2974.1000000000004,2302.7999999999997,6863.300000000001
2018-10-21,1837.4,1674.8,4492.199999999999
2018-10-22,2003.7,1792.6,4864.800000000001
2018-10-23,2317.7999999999997,1907.8,5461.5
2018-10-24,3023.4,2110.3,6745.9000000000015
2018-10-25,2613.9,2104.2,6111.4
2018-10-26,2134.999999999999,1886.2999999999997,5159.599999999999
2018-10-27,1232.4,1152.2,3041.7999999999993
2018-10-28,919.6999999999999,1046.1,2456.6
2018-10-29,1421.35,1493.15,3672.55
2018-10-30,2082.4000000000005,1692.4000000000005,4885.699999999999
2018-10-31,1129.0,1270.3999999999999,3001.2
2018-11-01,2798.2,2073.1,6363.9000000000015
2018-11-02,3721.999999999999,2735.099999999999,8441.800000000001
2018-11-03,667.0999999999998,1273.3999999999999,2296.3
2018-11-04,293.6,754.5,1204.9
2018-11-05,1695.4,1275.6999999999998,3875.0000000000005
2018-11-06,561.5999999999999,861.9000000000001,1723.0000000000002
2018-11-07,810.5,984.3,2226.2000000000003
2018-11-08,510.0,1037.8000000000002,1819.6000000000001
2018-11-09,427.9000000000001,787.1,1442.8000000000002
2018-11-10,922.9000000000001,1392.6000000000004,2807.7999999999997
2018-11-11,834.6999999999997,1275.9999999999998,2555.8
2018-11-12,1164.0000000000002,1479.7000000000003,3264.2
2018-11-13,1777.6000000000004,1970.3999999999996,4696.200000000001
2018-11-14,1158.5999999999997,1476.0,3252.1
2018-11-15,603.6,981.4000000000001,1907.6000000000004
2018-11-16,464.50000000000006,819.4000000000001,1531.8000000000002
2018-11-17,493.4,1113.7,1870.0000000000002
