MeasurementDateGMT,City of London - The Aldgate School: Nitric Oxide (ug/m3),City of London - The Aldgate School: Nitrogen Dioxide (ug/m3),City of London - The Aldgate School: Oxides of Nitrogen (ug/m3),City of London - The Aldgate School: PM10 Particulate (ug/m3),City of London - The Aldgate School: PM2.5 Particulate (ug/m3)
2019-11-09,258.2,782.7999999999998,1179.3,432.9512195121951,213.0
2019-11-10,286.1,775.1,1214.1,272.19512195121956,176.75
2019-11-11,153.3,837.6999999999999,1073.4,273.8536585365854,164.75
2019-11-12,167.9,850.0999999999998,1107.8999999999999,282.0,148.0
2019-11-13,350.8,987.4000000000002,1525.6,332.0,164.0
2019-11-14,225.2,1010.9999999999999,1356.3,311.0,139.0
2019-11-15,188.3000000000001,654.3000000000001,943.0,434.0,278.0
2019-11-16,467.00000000000006,971.4000000000001,1687.5999999999997,459.0,314.0
2019-11-17,1047.1999999999998,1215.5,2821.2999999999993,645.0,582.0
2019-11-18,272.3,886.8,1304.6000000000004,340.0,130.0
2019-11-19,1200.1,1472.1000000000001,3312.4999999999995,582.0,403.0
2019-11-20,150.79999999999998,882.3,1113.8999999999999,375.0,227.0
2019-11-21,441.20000000000005,906.3999999999997,1583.2000000000003,640.0,465.75
2019-11-22,151.49999999999997,905.6999999999999,1138.0000000000002,342.0,201.75
2019-11-23,347.7,971.0,1504.3,537.0,341.0
2019-11-24,761.9000000000001,849.8999999999999,2018.6000000000004,557.0,342.0
2019-11-25,165.4,780.9999999999999,1034.8000000000002,373.0,137.0
2019-11-26,68.19999999999999,659.0999999999999,764.3,450.0,101.0
2019-11-27,175.89999999999998,966.4000000000001,1236.0999999999995,355.0,181.0
2019-11-28,291.40000000000003,832.8000000000003,1279.6,447.0,214.0
2019-11-29,468.19999999999993,1027.0,1745.3,499.0,269.0
2019-11-30,973.4999999999999,1350.9999999999998,2843.600000000001,540.0,424.0
2019-12-01,85.3,571.7,702.0000000000001,286.0,148.0
2019-12-02,1105.6000000000001,1464.7,3159.7,532.0,387.0
2019-12-03,798.1,1542.8000000000002,2766.2999999999997,529.0,351.0
2019-12-04,1798.6000000000001,1551.8999999999999,4309.4,630.0,560.0
