MeasurementDateGMT,Greenwich - Plumstead High Street: Nitric Oxide (ug/m3),Greenwich - Plumstead High Street: Nitrogen Dioxide (ug/m3),Greenwich - Plumstead High Street: Oxides of Nitrogen (ug/m3),Greenwich - Plumstead High Street: Ozone (ug/m3),Greenwich - Plumstead High Street: PM10 Particulate (ug/m3),Greenwich - Plumstead High Street: PM2.5 Particulate (ug/m3)
2019-07-15,102.0,330.4,487.0,833.2999999999997,336.20869565217396,130.2
2019-07-16,253.99999999999997,694.3999999999999,1083.9,1120.3,333.63542082169926,206.89999999999998
2019-07-17,256.4,615.4000000000001,1008.5999999999997,1309.8000000000002,331.06214599122455,224.70000000000002
2019-07-18,303.34999999999997,625.3999999999999,1090.5,771.1999999999997,328.48887116074985,195.6
2019-07-19,262.7,418.6999999999999,821.3999999999999,673.8999999999999,325.9155963302752,133.6
2019-07-20,225.39999999999998,421.2,766.8000000000001,691.5999999999997,323.3423214998005,116.60000000000001
2019-07-21,153.4,321.7999999999999,557.1000000000003,758.0999999999997,320.76904666932586,132.5
2019-07-22,282.49999999999994,451.5,884.6999999999999,581.5,318.1957718388512,194.99999999999997
2019-07-23,386.70000000000005,990.3,1582.7,867.1999999999998,315.6224970083765,334.99999999999994
2019-07-24,291.44999999999993,853.6999999999999,1300.3499999999995,1018.7999999999997,313.04922217790187,384.6538461538461
2019-07-25,345.1,1304.2,1833.6,982.2999999999998,310.47594734742717,318.94437869822485
2019-07-26,391.09999999999997,835.3999999999999,1434.6999999999998,588.7999999999998,307.9026725169525,278.72662721893494
2019-07-27,285.5,727.5000000000002,1165.6,712.6999999999998,305.3293976864779,238.508875739645
2019-07-28,264.3,583.4000000000001,988.6999999999999,742.0999999999997,302.75612285600323,198.29112426035505
2019-07-29,262.70000000000005,629.3000000000001,1032.3000000000002,914.4999999999997,300.18284802552853,158.07337278106507
2019-07-30,166.59999999999997,359.6500000000001,615.3500000000001,1118.7499999999998,297.6095731950539,117.85562130177516
2019-07-31,239.8,474.7000000000001,841.8999999999999,807.8999999999996,295.0362983645792,115.04615384615389
2019-08-01,231.80000000000004,584.5999999999999,939.5,972.8999999999997,292.4630235341045,225.60000000000005
2019-08-02,72.79999999999998,394.40000000000003,506.1000000000001,1132.3999999999999,289.88974870362983,275.0
2019-08-03,252.20000000000002,736.7,1123.7000000000003,801.6999999999997,287.31647387315513,258.99999999999994
2019-08-04,143.3,549.0999999999999,768.8999999999997,950.3999999999997,284.7431990426805,264.70000000000005
2019-08-05,188.0,439.0,727.1,931.6999999999997,282.16992421220584,172.64999999999998
2019-08-06,158.20000000000002,287.29999999999995,529.3,957.8999999999996,279.5966493817312,185.4
2019-08-07,189.2,425.30000000000007,715.3,907.3999999999996,277.0233745512565,172.1
2019-08-08,283.5,565.0,999.9000000000001,844.0999999999997,274.45009972078174,205.20000000000002
2019-08-09,165.29999999999998,355.3,608.6000000000001,870.8999999999997,271.8768248903071,307.50000000000006
2019-08-10,64.7,154.5,253.99999999999997,1257.2,269.30355005983245,188.90000000000003
2019-08-11,68.1,207.09999999999994,311.8,1152.1,266.73027522935774,177.00000000000003
2019-08-12,325.09999999999997,743.1,1240.8999999999999,628.3999999999997,264.1570003988831,208.60000000000002
2019-08-13,298.29999999999995,710.6,1168.1,884.6999999999997,261.58372556840845,159.20000000000002
2019-08-14,205.0,406.09999999999997,720.1999999999998,825.0999999999997,259.0104507379338,184.95
