MeasurementDateGMT,Croydon - Norbury Manor: PM2.5 Particulate (ug/m3)
2019-02-19,182.0
2019-02-20,231.0
2019-02-21,316.0
2019-02-22,358.0
2019-02-23,570.0
2019-02-24,773.0
2019-02-25,781.0
2019-02-26,658.0
2019-02-27,891.0
2019-02-28,505.0
2019-03-01,366.0
2019-03-02,172.0
2019-03-03,104.0
2019-03-04,111.0
2019-03-05,118.0
2019-03-06,155.0
2019-03-07,140.0
2019-03-08,118.0
2019-03-09,197.0
2019-03-10,112.0
2019-03-11,124.0
2019-03-12,111.0
2019-03-13,187.0
2019-03-14,103.0
2019-03-15,72.0
2019-03-16,110.0
2019-03-17,98.5
2019-03-18,277.0
2019-03-19,226.0
2019-03-20,175.0
2019-03-21,152.0
2019-03-22,223.0
2019-03-23,266.0
2019-03-24,291.0
2019-03-25,189.0
2019-03-26,330.0
2019-03-27,305.0
2019-03-28,374.0
2019-03-29,541.0
2019-03-30,771.0
2019-03-31,520.0
2019-04-01,232.0
2019-04-02,385.0
2019-04-03,292.0
2019-04-04,150.0
2019-04-05,243.0
2019-04-06,310.0
2019-04-07,926.0
2019-04-08,886.0
2019-04-09,685.0
2019-04-10,239.0
2019-04-11,232.0
2019-04-12,272.0
2019-04-13,255.0
2019-04-14,420.0
2019-04-15,653.0
2019-04-16,1023.0
2019-04-17,906.0
2019-04-18,920.0
2019-04-19,581.0
2019-04-20,610.0
2019-04-21,622.0
2019-04-22,984.0
2019-04-23,701.0
2019-04-24,398.0
2019-04-25,95.0
2019-04-26,108.0
2019-04-27,143.0
2019-04-28,136.0
2019-04-29,249.0
2019-04-30,321.0
2019-05-01,245.0
2019-05-02,157.0
2019-05-03,187.0
2019-05-04,157.0
2019-05-05,204.0
2019-05-06,149.0
2019-05-07,196.0
2019-05-08,160.0
2019-05-09,183.0
2019-05-10,160.0
2019-05-11,268.0
2019-05-12,204.0
2019-05-13,132.0
2019-05-14,166.0
2019-05-15,287.0
2019-05-16,239.0
2019-05-17,273.0
2019-05-18,375.0
2019-05-19,417.0
2019-05-20,298.0
2019-05-21,167.0
2019-05-22,157.0
2019-05-23,156.0
2019-05-24,238.0
2019-05-25,115.0
2019-05-26,101.0
2019-05-27,113.0
2019-05-28,63.0
2019-05-29,127.0
2019-05-30,166.0
2019-05-31,111.0
2019-06-01,137.0
2019-06-02,142.0
2019-06-03,136.0
2019-06-04,169.0
2019-06-05,122.0
2019-06-06,102.0
2019-06-07,148.0
2019-06-08,115.0
2019-06-09,105.0
2019-06-10,155.0
2019-06-11,88.0
2019-06-12,109.0
2019-06-13,117.0
2019-06-14,127.0
2019-06-15,124.0
2019-06-16,109.0
2019-06-17,100.0
2019-06-18,179.0
2019-06-19,213.5
2019-06-20,102.0
2019-06-21,117.0
2019-06-22,134.0
2019-06-23,385.0
2019-06-24,331.0
2019-06-25,321.0
2019-06-26,182.0
2019-06-27,139.0
2019-06-28,192.0
