MeasurementDateGMT,Bexley - Belvedere West FDMS: PM10 Particulate (ug/m3)
2018-04-12,759.7000000000002
2018-04-13,548.9
2018-04-14,844.3
2018-04-15,623.3
2018-04-16,305.2
2018-04-17,261.9
2018-04-18,475.79999999999995
2018-04-19,994.6000000000001
2018-04-20,703.3999999999999
2018-04-21,985.9999999999998
2018-04-22,804.6
2018-04-23,209.7
2018-04-24,230.5
2018-04-25,177.2
2018-04-26,220.9
2018-04-27,335.19999999999993
2018-04-28,272.90000000000003
2018-04-29,199.15000000000003
2018-04-30,271.1
2018-05-01,215.70000000000002
2018-05-02,193.90000000000003
2018-05-03,319.59999999999997
2018-05-04,413.8999999999999
2018-05-05,601.8
2018-05-06,783.8000000000001
2018-05-07,939.2
2018-05-08,831.0
2018-05-09,334.0
2018-05-10,248.50000000000003
2018-05-11,366.4
2018-05-12,308.29999999999995
2018-05-13,391.69999999999993
2018-05-14,267.8
2018-05-15,350.99999999999994
2018-05-16,450.8
2018-05-17,363.6000000000001
2018-05-18,362.5000000000001
2018-05-19,501.90000000000003
2018-05-20,562.0000000000001
2018-05-21,689.5000000000001
2018-05-22,533.1999999999999
2018-05-23,497.0999999999999
2018-05-24,618.5
2018-05-25,647.4
2018-05-26,976.9000000000002
2018-05-27,944.8000000000001
2018-05-28,910.9999999999999
2018-05-29,757.7000000000002
2018-05-30,551.1999999999999
2018-05-31,749.1999999999999
2018-06-01,493.70000000000005
2018-06-02,284.40000000000003
2018-06-03,352.04999999999995
2018-06-04,401.8
2018-06-05,313.1
2018-06-06,437.84999999999997
2018-06-07,377.6000000000001
2018-06-08,362.9999999999999
2018-06-09,346.3
2018-06-10,307.8
2018-06-11,304.70000000000005
2018-06-12,276.1
2018-06-13,267.5
2018-06-14,294.29999999999995
2018-06-15,273.20000000000005
2018-06-16,220.20000000000002
2018-06-17,213.69999999999996
2018-06-18,245.99999999999994
2018-06-19,184.0
2018-06-20,164.32500000000002
2018-06-21,145.72500000000002
2018-06-22,252.39999999999995
2018-06-23,246.7
2018-06-24,418.5
2018-06-25,386.4
2018-06-26,355.1
2018-06-27,389.9
2018-06-28,406.19999999999993
2018-06-29,368.29999999999995
2018-06-30,313.3
2018-07-01,372.1
2018-07-02,307.7
2018-07-03,276.75
2018-07-04,324.2
2018-07-05,508.90000000000003
2018-07-06,591.6500000000001
2018-07-07,643.7000000000003
2018-07-08,369.80000000000007
2018-07-09,341.40000000000003
2018-07-10,239.10000000000002
2018-07-11,301.40000000000003
2018-07-12,383.00000000000006
2018-07-13,335.09999999999997
2018-07-14,296.70000000000005
2018-07-15,313.00000000000006
2018-07-16,326.9
2018-07-17,244.69999999999996
2018-07-18,246.49999999999997
2018-07-19,288.0
2018-07-20,327.80000000000007
2018-07-21,416.6
2018-07-22,302.2
2018-07-23,246.6
2018-07-24,297.69999999999993
2018-07-25,436.2
2018-07-26,783.9
2018-07-27,464.09999999999997
2018-07-28,307.1
2018-07-29,179.79999999999995
2018-07-30,193.49999999999997
2018-07-31,229.40000000000003
2018-08-01,250.5
2018-08-02,287.9
2018-08-03,359.49999999999994
2018-08-04,252.2
2018-08-05,256.49999999999994
2018-08-06,420.70000000000005
2018-08-07,356.8999999999999
2018-08-08,207.3
2018-08-09,250.70000000000005
2018-08-10,186.4
2018-08-11,212.99999999999997
2018-08-12,199.7
2018-08-13,252.59999999999997
2018-08-14,315.20000000000005
2018-08-15,226.29999999999998
2018-08-16,259.0
2018-08-17,298.4
2018-08-18,218.54999999999998
2018-08-19,169.7
2018-08-20,230.97500000000002
2018-08-21,219.625
2018-08-22,269.1
2018-08-23,285.3
2018-08-24,229.65000000000003
2018-08-25,200.1
2018-08-26,232.89999999999995
2018-08-27,213.59999999999997
2018-08-28,285.9
2018-08-29,329.3
2018-08-30,333.70000000000005
2018-08-31,452.50000000000006
2018-09-01,383.84999999999997
2018-09-02,491.19999999999993
2018-09-03,513.7
2018-09-04,432.50000000000006
2018-09-05,329.7999999999999
2018-09-06,364.40000000000003
2018-09-07,205.84999999999997
2018-09-08,203.4
2018-09-09,225.9
2018-09-10,227.00000000000003
2018-09-11,218.6
2018-09-12,213.20000000000002
2018-09-13,331.79999999999995
2018-09-14,194.10000000000002
2018-09-15,280.8
2018-09-16,260.40000000000003
2018-09-17,264.70000000000005
2018-09-18,274.50000000000006
2018-09-19,303.00000000000006
2018-09-20,283.59999999999997
2018-09-21,165.70000000000002
2018-09-22,200.9
2018-09-23,220.3
2018-09-24,208.7
2018-09-25,374.75
2018-09-26,301.45000000000005
2018-09-27,313.1000000000001
2018-09-28,233.20000000000002
2018-09-29,320.29999999999995
2018-09-30,289.4
2018-10-01,178.8
2018-10-02,228.40000000000003
2018-10-03,236.79999999999998
2018-10-04,292.09999999999997
2018-10-05,457.09999999999997
2018-10-06,249.69999999999996
2018-10-07,230.5500000000001
2018-10-08,216.1
2018-10-09,288.90000000000003
2018-10-10,1033.5
2018-10-11,333.6
2018-10-12,228.60000000000002
2018-10-13,307.00000000000006
2018-10-14,155.39999999999998
2018-10-15,341.59999999999997
2018-10-16,441.6
2018-10-17,302.59999999999997
2018-10-18,279.8
2018-10-19,368.20000000000005
2018-10-20,571.3
2018-10-21,400.1
2018-10-22,284.29999999999995
2018-10-23,272.09999999999997
2018-10-24,332.0
2018-10-25,344.49999999999994
2018-10-26,188.6
2018-10-27,120.99999999999999
2018-10-28,120.0
2018-10-29,154.60000000000002
2018-10-30,246.20000000000002
2018-10-31,311.4
2018-11-01,324.49999999999994
2018-11-02,404.59999999999997
2018-11-03,405.70000000000005
2018-11-04,531.6
2018-11-05,998.4
2018-11-06,443.1
2018-11-07,197.89999999999998
2018-11-08,227.59999999999997
2018-11-09,280.59999999999997
2018-11-10,222.5
2018-11-11,191.89999999999998
2018-11-12,199.6
2018-11-13,230.29999999999998
2018-11-14,297.09999999999997
2018-11-15,502.30000000000007
2018-11-16,336.09999999999997
2018-11-17,571.1
2018-11-18,405.3999999999999
2018-11-19,182.9
2018-11-20,351.2999999999999
2018-11-21,524.9
2018-11-22,1037.3
2018-11-23,774.8999999999999
2018-11-24,586.0999999999999
2018-11-25,414.6000000000001
2018-11-26,322.3999999999999
2018-11-27,353.70000000000005
2018-11-28,197.30000000000004
2018-11-29,191.90000000000003
2018-11-30,208.4
2018-12-01,154.0
2018-12-02,135.4
2018-12-03,234.70000000000002
2018-12-04,364.5
2018-12-05,240.89999999999995
2018-12-06,174.50000000000006
2018-12-07,183.7
2018-12-08,209.49999999999997
2018-12-09,177.70000000000002
2018-12-10,230.39999999999998
2018-12-11,511.00000000000006
2018-12-12,362.59999999999997
2018-12-13,490.40000000000003
2018-12-14,526.1999999999999
2018-12-15,430.49999999999994
2018-12-16,193.8
2018-12-17,211.25
2018-12-18,201.50000000000003
2018-12-19,146.79999999999998
2018-12-20,172.0
2018-12-21,242.50000000000003
2018-12-22,237.89999999999998
2018-12-23,168.70000000000002
2018-12-24,419.09999999999997
2018-12-25,451.40000000000003
2018-12-26,349.9
2018-12-27,808.3
2018-12-28,607.8000000000001
2018-12-29,273.1
2018-12-30,289.6
2018-12-31,240.20000000000002
2019-01-01,243.00000000000003
2019-01-02,209.00000000000006
2019-01-03,340.30000000000007
2019-01-04,578.5
2019-01-05,514.6
2019-01-06,523.6000000000001
2019-01-07,330.5
2019-01-08,243.39999999999995
2019-01-09,268.5
2019-01-10,648.0999999999999
2019-01-11,433.09999999999997
2019-01-12,205.9
2019-01-13,196.00000000000003
2019-01-14,231.9
2019-01-15,197.09999999999997
2019-01-16,198.10000000000002
2019-01-17,197.9
2019-01-18,328.2
2019-01-19,391.20000000000005
2019-01-20,638.8000000000001
2019-01-21,810.6
2019-01-22,244.8
2019-01-23,338.0
2019-01-24,627.1000000000001
2019-01-25,481.4
2019-01-26,192.0
2019-01-27,179.55
2019-01-28,241.00000000000003
2019-01-29,267.0
2019-01-30,288.90000000000003
2019-01-31,510.59999999999997
2019-02-01,368.3
2019-02-02,281.7
2019-02-03,291.0
2019-02-04,212.5
2019-02-05,300.9
2019-02-06,223.59999999999997
2019-02-07,161.9
2019-02-08,211.19999999999996
2019-02-09,209.30000000000004
2019-02-10,121.05
2019-02-11,242.99999999999997
2019-02-12,279.3
