MeasurementDateGMT,Enfield - Bush Hill Park: Nitric Oxide (ug/m3),Enfield - Bush Hill Park: Nitrogen Dioxide (ug/m3),Enfield - Bush Hill Park: Oxides of Nitrogen (ug/m3)
2018-02-22,124.8,913.7,1095.8
2018-02-23,306.29999999999995,984.0000000000001,1443.1999999999998
2018-02-24,172.4,844.6999999999998,1100.7999999999997
2018-02-25,93.2,612.5000000000001,749.3000000000002
2018-02-26,105.5,603.6999999999999,759.4999999999999
2018-02-27,178.89999999999998,937.4,1202.2
2018-02-28,204.50000000000003,852.8999999999997,1157.7
2018-03-01,148.75,704.2500000000001,925.4999999999998
2018-03-02,158.20000000000002,886.6000000000001,1120.2
2018-03-03,181.10000000000005,1041.4,1308.6
2018-03-04,187.9,1170.0,1446.5
2018-03-05,196.70000000000002,1063.1,1353.8
2018-03-06,537.3000000000001,1209.1,2021.1999999999998
2018-03-07,471.29999999999995,1207.6000000000001,1918.6000000000001
2018-03-08,98.8,727.9000000000001,872.4
2018-03-09,694.8999999999999,1456.4999999999998,2507.8999999999996
2018-03-10,129.7,836.5,1026.9
2018-03-11,355.34999999999985,982.95,1517.8499999999997
2018-03-12,122.0,776.6999999999999,956.1
2018-03-13,251.60000000000002,872.9,1249.5
2018-03-14,211.04999999999998,977.9500000000004,1292.0000000000002
2018-03-15,168.8,1046.4,1294.6000000000001
2018-03-16,188.89999999999998,851.5000000000001,1132.2
2018-03-17,67.10000000000001,436.80000000000007,535.6
2018-03-18,86.3,485.19999999999993,613.2
2018-03-19,77.30000000000001,527.3000000000001,640.5
2018-03-20,47.10000000000001,456.1,523.8
2018-03-21,408.8,795.1,1414.1
2018-03-22,27.2,409.50000000000006,446.59999999999997
2018-03-23,67.50000000000001,549.0,647.0999999999998
2018-03-24,112.6,763.3000000000001,927.9000000000002
2018-03-25,67.69999999999999,673.8,771.4000000000001
2018-03-26,68.64999999999999,811.5,908.5999999999999
2018-03-27,79.09999999999998,603.5,719.1
2018-03-28,77.2,834.9000000000001,945.5000000000001
2018-03-29,292.40000000000003,1015.8,1454.6999999999996
2018-03-30,100.69999999999999,832.6000000000001,979.0999999999999
2018-03-31,55.7,431.5,512.7
2018-04-01,63.4,467.99999999999994,560.8
2018-04-02,100.6,662.5,810.2
2018-04-03,66.2,492.19999999999993,588.7000000000002
2018-04-04,76.3,513.7,625.5000000000001
2018-04-05,57.2,433.80000000000007,517.2
2018-04-06,143.1,964.8000000000002,1175.7
2018-04-07,153.30000000000004,880.4,1107.1
2018-04-08,72.39999999999999,634.8,739.4999999999999
2018-04-09,84.20000000000002,673.0000000000001,795.6
2018-04-10,75.7,691.9000000000001,801.3000000000001
2018-04-11,62.0,497.20000000000005,588.0999999999998
2018-04-12,61.900000000000006,381.94999999999993,473.49999999999994
2018-04-13,131.2,755.8000000000001,948.3000000000001
2018-04-14,110.80000000000001,778.7000000000002,938.5
2018-04-15,87.5,578.8,704.0999999999999
2018-04-16,58.699999999999996,481.59999999999997,562.6999999999999
2018-04-17,70.80000000000001,490.2999999999999,587.9
2018-04-18,90.19999999999997,719.9,844.4
2018-04-19,300.80000000000007,1166.4,1608.6999999999998
2018-04-20,87.30000000000001,803.6999999999999,920.5999999999999
2018-04-21,80.2,829.5,934.8
2018-04-22,38.5,340.40000000000003,385.3
2018-04-23,32.7,281.3,315.70000000000005
2018-04-24,54.800000000000004,332.3,399.4
2018-04-25,25.05,194.75,216.95
2018-04-26,32.2,313.8,346.2
2018-04-27,119.9,964.0000000000001,1125.9
2018-04-28,28.599999999999994,295.70000000000005,325.50000000000006
2018-04-29,25.9,192.7,220.10000000000002
2018-04-30,26.8,245.79999999999998,275.2
2018-05-01,77.7,488.8,594.3
2018-05-02,85.80000000000001,564.7,682.3
2018-05-03,92.50000000000001,591.4,721.6
2018-05-04,74.9,825.2000000000002,926.2999999999998
2018-05-05,115.6,691.7,857.4000000000002
2018-05-06,37.79999999999999,698.2,746.1000000000001
2018-05-07,42.29999999999999,727.5999999999999,782.5999999999999
2018-05-08,216.7,808.0,1130.7
2018-05-09,52.599999999999994,410.04999999999995,485.85
2018-05-10,20.8,384.2,414.29999999999995
2018-05-11,113.40000000000002,716.4,893.8
2018-05-12,56.69999999999999,667.4000000000001,768.2
2018-05-13,25.900000000000002,325.7,392.99999999999994
2018-05-14,26.7,245.59999999999997,324.40000000000003
2018-05-15,21.300000000000004,203.5,284.09999999999997
2018-05-16,25.6,144.3,241.99999999999997
2018-05-17,33.50000000000001,182.79999999999998,302.6
2018-05-18,64.3,348.00000000000006,523.0
2018-05-19,93.1,474.39999999999986,703.3
2018-05-20,89.0,441.49999999999994,673.9000000000001
2018-05-21,51.49999999999999,461.19999999999993,646.4000000000001
2018-05-22,15.600000000000003,155.8,243.5
2018-05-23,16.4,196.89999999999998,222.50000000000006
2018-05-24,28.549999999999997,362.79999999999995,406.8
2018-05-25,53.300000000000004,639.4,720.8999999999999
2018-05-26,24.5,409.8999999999999,447.80000000000007
2018-05-27,33.5,555.3,606.4
2018-05-28,17.1,315.19999999999993,340.69999999999993
