MeasurementDateGMT,Camden - Bloomsbury: Nitric Oxide (ug/m3),Camden - Bloomsbury: Nitrogen Dioxide (ug/m3),Camden - Bloomsbury: Oxides of Nitrogen (ug/m3),Camden - Bloomsbury: Ozone (ug/m3),Camden - Bloomsbury: PM10 Particulate (ug/m3),Camden - Bloomsbury: PM2.5 Particulate (ug/m3),Camden - Bloomsbury: Sulphur Dioxide (ug/m3)
2018-10-06,202.20000000000005,758.2,1067.8,685.1000000000001,332.3999999999999,221.40000000000006,26.099999999999994
2018-10-07,148.30000000000004,792.0000000000001,1019.0,662.6,234.20000000000002,107.8,45.800000000000004
2018-10-08,83.90000000000003,731.0999999999999,859.8999999999999,772.1000000000001,212.4,105.60000000000001,85.10000000000001
2018-10-09,137.70000000000002,977.1,1188.2,830.2000000000002,338.3,203.4,110.6
2018-10-10,927.6000000000001,1703.0999999999997,3125.4999999999995,220.39999999999998,1052.4,826.7999999999998,51.199999999999996
2018-10-11,79.5,660.9999999999998,782.7,989.1999999999999,358.7,195.60000000000002,84.6
2018-10-12,46.9,433.4000000000001,505.4,1257.6000000000004,311.7,115.00000000000001,80.3
2018-10-13,42.599999999999994,447.9,512.8,1199.8,299.1,162.70000000000005,35.0
2018-10-14,122.60000000000001,579.8000000000001,768.0,931.8000000000001,140.6,90.29999999999998,43.5
2018-10-15,322.5,905.7,1400.3999999999999,366.99999999999994,283.20000000000005,183.20000000000002,66.2
2018-10-16,144.70000000000002,660.3,882.5000000000001,687.8,451.99999999999994,317.8,72.4
2018-10-17,424.3,1002.9999999999999,1654.2,421.29999999999984,307.8,197.79999999999998,45.20000000000001
2018-10-18,292.5,909.1000000000001,1357.6,436.29999999999995,353.8,206.5,91.8
2018-10-19,545.4000000000001,1379.6999999999998,2215.7,307.1,431.40000000000003,274.29999999999995,73.69999999999999
2018-10-20,1451.9,1508.8999999999996,3735.2999999999997,283.00000000000006,725.8999999999996,542.1999999999999,74.40000000000002
2018-10-21,270.9000000000001,965.5999999999998,1380.8,447.20000000000005,443.9,325.9,74.0
2018-10-22,423.8,1044.2,1694.1,527.1999999999999,358.5,165.20000000000002,40.8
