MeasurementDateGMT,Redbridge - Ley Street: Nitric Oxide (ug/m3),Redbridge - Ley Street: Nitrogen Dioxide (ug/m3),Redbridge - Ley Street: Oxides of Nitrogen (ug/m3),Redbridge - Ley Street: Ozone (ug/m3),Redbridge - Ley Street: PM10 Particulate (ug/m3),Redbridge - Ley Street: PM2.5 Particulate (ug/m3)
2020-05-20,170.90000000000003,541.4999999999998,803.0999999999999,1566.1000000000001,287.0,205.0
2020-05-21,283.83448275862065,685.710344827586,1120.1241379310343,1273.8586206896553,354.0,254.5
2020-05-22,316.6655172413793,433.48965517241373,918.9758620689654,1237.941379310345,520.0,225.5
2020-05-23,12.7,88.8,108.1,1261.2,415.0,151.0
2020-05-24,16.8,245.60000000000002,271.4,1134.7,351.0,217.0
2020-05-25,28.599999999999998,426.50000000000006,469.90000000000003,1197.2,339.0,207.0
2020-05-26,232.1,582.9000000000001,938.6000000000001,1199.3,324.0,167.0
2020-05-27,190.7,380.09999999999997,672.6000000000001,1303.7000000000003,310.0,157.0
2020-05-28,35.6,187.1,241.70000000000002,1346.3,239.0,114.0
2020-05-29,309.80000000000007,398.20000000000016,872.8,1256.8000000000002,286.0,102.0
2020-05-30,28.799999999999997,240.50000000000003,284.6,1548.4,360.0,175.0
2020-05-31,20.799999999999997,186.7,218.80000000000007,1495.4000000000003,312.0,144.0
2020-06-01,390.2000000000001,415.0,1013.2000000000002,1317.8000000000002,308.0,110.0
2020-06-02,583.0000000000001,588.4,1482.1000000000004,1295.8,344.0,142.0
2020-06-03,326.9999999999999,526.8,1028.1999999999998,1181.6000000000001,367.0,189.0
2020-06-04,354.79999999999984,415.4,959.8000000000001,1081.9,192.0,77.0
2020-06-05,532.8000000000001,479.7,1296.7,1010.3,155.0,31.0
2020-06-06,37.5,313.5,370.99999999999994,867.1000000000003,189.0,85.0
2020-06-07,30.4,268.3,314.90000000000003,784.9,196.0,97.0
2020-06-08,396.2,445.5,1053.6,943.5999999999999,263.0,120.0
2020-06-09,399.7,527.7,1140.5000000000002,1113.7999999999997,233.0,115.0
2020-06-10,76.7,441.4,559.0,1039.1999999999998,321.0,171.0
2020-06-11,374.70000000000005,450.70000000000005,1025.1999999999998,1035.8,314.0,158.0
2020-06-12,281.59999999999997,512.5,944.1,1073.0,472.0,293.0
2020-06-13,41.9,354.0,417.5,1227.5,286.0,138.0
2020-06-14,25.999999999999996,275.6,315.50000000000006,1357.7000000000003,286.0,176.0
2020-06-15,395.40000000000003,615.1,1221.6999999999998,1017.7,252.0,117.0
2020-06-16,83.8,435.3,564.1,1238.8000000000002,276.0,140.0
2020-06-17,221.8,600.7,941.2,994.9,287.0,183.0
2020-06-18,113.29999999999998,350.70000000000005,524.5,1359.8999999999999,169.0,73.0
2020-06-19,68.7,246.49999999999997,351.5,1254.6999999999998,194.0,126.0
2020-06-20,27.799999999999997,196.79999999999998,239.0,1157.3999999999999,212.0,84.0
2020-06-21,17.999999999999996,135.60000000000002,162.60000000000002,1106.2,197.0,125.0
2020-06-22,253.40000000000003,355.4000000000001,744.4000000000002,1113.6,393.0,158.0
2020-06-23,115.99999999999999,384.2,562.9000000000001,1367.8,454.0,221.0
2020-06-24,192.3,576.0000000000001,870.6000000000003,2115.2,501.0,296.0
