MeasurementDateGMT,Westminster - Marylebone Road FDMS: PM10 Particulate (ug/m3),Westminster - Marylebone Road FDMS: PM2.5 Particulate (ug/m3)
2019-02-25,1314.7,1087.0
2019-02-26,1479.6000000000001,1127.3999999999999
2019-02-27,1647.2999999999997,1319.9
2019-02-28,967.4999999999999,797.0000000000001
2019-03-01,798.6,624.6
2019-03-02,542.5000000000001,341.1
2019-03-03,348.5,228.9
2019-03-04,456.1000000000001,246.00000000000003
2019-03-05,523.8999999999999,275.00000000000006
2019-03-06,505.1000000000001,324.8
2019-03-07,391.25000000000006,239.19999999999996
2019-03-08,529.1999999999999,331.0
2019-03-09,662.8000000000002,361.00000000000006
2019-03-10,297.90000000000003,225.7
2019-03-11,506.0,254.69999999999996
2019-03-12,402.90000000000003,258.40000000000003
2019-03-13,528.1000000000001,291.4
2019-03-14,400.1,282.50000000000006
2019-03-15,348.0,247.4
2019-03-16,391.19999999999993,256.5
2019-03-17,267.75,197.0
2019-03-18,498.3,316.1
2019-03-19,703.5,489.20000000000005
2019-03-20,588.4,405.09999999999997
2019-03-21,629.4000000000001,443.09999999999997
2019-03-22,628.1,501.7999999999999
2019-03-23,558.8,401.8999999999999
2019-03-24,511.5999999999999,345.4
2019-03-25,398.0,250.00000000000003
2019-03-26,711.9,444.8
2019-03-27,476.69999999999993,324.3
2019-03-28,747.8000000000001,541.1
2019-03-29,1150.9,824.9000000000001
2019-03-30,1362.1000000000001,1134.0000000000002
2019-03-31,748.7999999999998,548.4
2019-04-01,619.7,335.40000000000003
2019-04-02,747.6,573.3
2019-04-03,473.0,355.6
2019-04-04,433.09999999999997,278.59999999999997
2019-04-05,550.5,390.19999999999993
2019-04-06,451.70000000000005,382.09999999999997
2019-04-07,1084.4,1046.1000000000001
2019-04-08,1154.3999999999999,1066.4999999999998
2019-04-09,899.8,775.4000000000001
2019-04-10,452.80000000000007,294.59999999999997
2019-04-11,482.59999999999997,313.0
2019-04-12,459.59999999999997,365.74999999999994
2019-04-13,432.7999999999999,365.2999999999999
2019-04-14,607.6999999999999,521.05
2019-04-15,1048.2,862.7
2019-04-16,1384.4,1172.8
2019-04-17,1485.7999999999997,1236.6
2019-04-18,1362.8000000000002,1157.6000000000001
2019-04-19,928.0999999999999,747.5999999999999
2019-04-20,896.1999999999999,723.5000000000002
2019-04-21,948.2999999999998,809.1999999999998
2019-04-22,1373.1000000000001,1204.1
2019-04-23,1054.3999999999999,780.4000000000002
2019-04-24,902.3000000000001,644.4000000000001
2019-04-25,410.0,265.0
2019-04-26,510.6,294.0
2019-04-27,474.5000000000001,287.40000000000003
2019-04-28,284.90000000000003,223.4
2019-04-29,542.7,437.8999999999999
2019-04-30,768.8,600.3
2019-05-01,683.1,547.9
2019-05-02,351.20000000000005,312.79999999999995
2019-05-03,413.2499999999999,328.80000000000007
2019-05-04,290.7,159.59999999999997
2019-05-05,525.6,285.6
2019-05-06,340.79999999999995,248.95000000000002
2019-05-07,562.0,403.25
2019-05-08,502.0,367.9
2019-05-09,719.13125,491.36875
2019-05-10,747.275,496.32500000000005
2019-05-11,698.0749999999998,411.125
2019-05-12,648.8750000000001,325.92500000000007
2019-05-13,497.24375,272.55625
2019-05-14,452.69999999999993,319.29999999999995
2019-05-15,792.7,536.0999999999999
2019-05-16,583.9000000000002,399.70000000000005
2019-05-17,483.09999999999997,397.8
2019-05-18,608.6,537.3499999999999
2019-05-19,569.4999999999999,577.1999999999999
2019-05-20,517.5,475.2
2019-05-21,354.9,270.0
2019-05-22,510.3,345.2
2019-05-23,534.7,358.65000000000003
2019-05-24,416.75,342.49999999999994
2019-05-25,300.1999999999999,287.5999999999999
2019-05-26,375.69999999999993,333.95000000000005
2019-05-27,396.2999999999999,279.6
2019-05-28,224.79999999999998,209.19999999999996
2019-05-29,478.79999999999995,356.80000000000007
2019-05-30,501.1999999999999,374.54999999999995
2019-05-31,416.3,360.79999999999995
2019-06-01,461.99999999999994,392.1375
2019-06-02,436.00000000000006,405.8125
2019-06-03,549.8,365.1
2019-06-04,581.5,432.09999999999997
2019-06-05,472.30000000000007,307.85
2019-06-06,468.4,204.49999999999997
2019-06-07,443.79999999999995,225.70000000000002
2019-06-08,436.1000000000001,166.3
2019-06-09,423.29999999999984,184.39999999999995
2019-06-10,254.6875,132.4227272727273
2019-06-11,209.21249999999995,79.62727272727271
2019-06-12,292.79999999999995,163.49999999999997
2019-06-13,448.29999999999995,240.49999999999997
2019-06-14,518.6999999999999,209.7
2019-06-15,527.3000000000001,184.89999999999998
2019-06-16,412.3999999999999,168.4
2019-06-17,491.1000000000001,216.1
2019-06-18,516.9,263.00000000000006
2019-06-19,594.8000000000002,326.00000000000006
2019-06-20,492.3999999999999,223.7
2019-06-21,450.0,190.69999999999996
2019-06-22,449.4,198.60000000000002
2019-06-23,725.5999999999999,449.0
2019-06-24,913.3,569.6000000000001
2019-06-25,582.2999999999998,364.49999999999994
2019-06-26,367.0,202.59999999999997
2019-06-27,471.6000000000001,208.79999999999995
2019-06-28,672.7,276.1
