MeasurementDateGMT,Wandsworth - Wandsworth Town Hall: Nitric Oxide (ug/m3),Wandsworth - Wandsworth Town Hall: Nitrogen Dioxide (ug/m3),Wandsworth - Wandsworth Town Hall: Oxides of Nitrogen (ug/m3),Wandsworth - Wandsworth Town Hall: Ozone (ug/m3)
2018-04-16,217.09999999999997,592.1,925.1000000000001,1202.6999999999998
2018-04-17,177.60000000000002,528.1,800.4999999999999,1235.7999999999997
2018-04-18,346.6,977.5999999999999,1508.6999999999998,951.5999999999998
2018-04-19,759.0,1570.8,2734.9,1142.9
2018-04-20,715.0,1400.4,2496.7000000000003,785.0000000000001
2018-04-21,214.6,1112.6,1442.0999999999997,1196.4
2018-04-22,114.4,621.0,796.5000000000001,1489.9
2018-04-23,162.70000000000002,455.6000000000001,704.8,1220.3999999999999
2018-04-24,154.0,408.20000000000005,643.3,1016.9000000000001
2018-04-25,195.19999999999996,471.5000000000001,771.0,1137.7000000000003
2018-04-26,184.39999999999998,506.4,788.7,1087.9
2018-04-27,312.0,1025.1,1503.1999999999996,585.6999999999999
2018-04-28,645.6000000000001,1243.8000000000004,2233.6,527.5999999999999
2018-04-29,329.4,694.9000000000002,1199.7999999999997,1011.5
2018-04-30,557.6999999999999,1009.6999999999998,1864.6000000000001,747.4
2018-05-01,248.5,704.1,1085.0000000000002,902.5000000000001
2018-05-02,338.7,922.9,1441.8000000000002,831.1999999999999
2018-05-03,433.8999999999999,979.5,1644.8,739.7999999999998
2018-05-04,419.9000000000001,1138.0000000000002,1781.7999999999997,828.1999999999999
2018-05-05,384.0,1402.5000000000002,1990.6999999999996,1064.0
2018-05-06,252.1,1465.1999999999998,1851.4,1224.3999999999999
2018-05-07,265.4,1691.4,2098.5,1283.7
2018-05-08,427.9,1393.7999999999997,2050.4,1014.8000000000001
2018-05-09,254.99999999999997,702.2000000000002,1093.1000000000004,1072.6
2018-05-10,477.6,991.1999999999998,1723.9,1007.9
2018-05-11,159.0,712.3000000000001,956.3000000000002,1166.3
2018-05-12,187.5,888.4000000000001,1176.1000000000001,815.7000000000002
2018-05-13,396.19999999999993,1098.0,1705.2,632.6999999999999
2018-05-14,650.8000000000001,1183.3,2181.4999999999995,914.0999999999999
2018-05-15,638.95,1382.6500000000003,2362.2000000000007,1072.35
2018-05-16,612.7000000000002,998.1000000000001,1937.8,885.2
2018-05-17,575.6000000000001,963.4,1845.4,899.1999999999999
2018-05-18,628.8000000000001,1227.8999999999999,2192.4,736.5
2018-05-19,291.9,1018.9000000000002,1466.5000000000005,887.2
2018-05-20,152.6,771.2999999999998,1005.6999999999999,1048.9
2018-05-21,529.3000000000001,1564.6000000000004,2376.3999999999996,788.6999999999998
2018-05-22,537.5000000000001,1151.1000000000001,1975.1,1203.1000000000001
2018-05-23,597.7,1124.4999999999998,2041.2999999999995,1151.9999999999998
2018-05-24,648.7000000000002,1229.3000000000002,2224.0000000000005,628.8999999999997
2018-05-25,418.70000000000005,1296.0,1937.5,754.1000000000001
2018-05-26,201.00000000000006,1001.7000000000002,1310.0000000000002,1605.8
2018-05-27,112.3,796.9,969.3000000000001,1452.9999999999998
2018-05-28,324.59999999999997,1100.2,1597.6000000000004,1131.9999999999998
2018-05-29,562.9000000000001,1221.9999999999998,2085.2,1213.0
2018-05-30,450.2,1161.1000000000001,1851.2000000000005,805.4
2018-05-31,371.1000000000001,1198.5,1767.2999999999997,1020.7
2018-06-01,175.6,791.2000000000002,1060.3,1139.1999999999998
2018-06-02,142.70000000000002,635.1999999999999,853.9,1266.0
2018-06-03,93.79999999999998,714.3999999999999,858.5,1440.7000000000003
2018-06-04,499.6,1068.6,1834.6999999999998,1036.65
2018-06-05,498.29999999999995,893.8000000000001,1657.4999999999998,1145.6999999999998
2018-06-06,549.6,1030.3,1873.1,1004.2999999999997
2018-06-07,460.6,1070.8999999999999,1777.1,882.5000000000003
2018-06-08,517.1999999999999,1063.8000000000002,1857.1,989.5000000000001
2018-06-09,228.8,742.8000000000001,1094.2,1353.6000000000001
2018-06-10,172.20000000000007,637.5000000000001,901.6999999999997,1257.6999999999998
2018-06-11,327.8,757.1999999999999,1260.0000000000002,1102.7999999999997
2018-06-12,597.5999999999999,951.1000000000001,1867.4,743.4000000000002
2018-06-13,269.3999999999999,675.9000000000001,1088.5999999999997,1143.7
2018-06-14,287.4,682.3000000000002,1123.1999999999998,1002.5
2018-06-15,331.79999999999995,881.9000000000002,1390.8000000000002,1014.9
2018-06-16,78.00000000000001,328.59999999999997,448.6000000000001,1241.8
2018-06-17,53.59999999999999,200.89999999999998,283.0,1171.0000000000002
2018-06-18,137.5,345.0,555.8000000000001,1067.1000000000001
2018-06-19,206.60000000000002,335.40000000000003,652.5,654.1999999999999
2018-06-20,257.3,373.20000000000005,767.9999999999998,473.0
2018-06-21,552.4000000000002,819.9,1667.1,1164.9000000000003
2018-06-22,523.7,852.3000000000001,1654.6000000000001,1028.0000000000002
2018-06-23,359.6,880.6999999999999,1431.5,1207.1
2018-06-24,191.30000000000004,768.0000000000001,1060.6000000000004,1582.8000000000004
2018-06-25,213.80000000000004,921.5,1249.0,1933.6999999999998
2018-06-26,215.80000000000004,823.9999999999999,1154.6,1418.0999999999997
2018-06-27,299.8,727.5,1187.0,1147.8000000000002
2018-06-28,411.0,852.3,1481.6000000000004,1249.1
2018-06-29,475.4,933.4999999999998,1663.1999999999998,1220.1000000000001
2018-06-30,294.69999999999993,755.1,1207.4,1551.0999999999997
2018-07-01,234.29999999999998,1085.7,1445.3000000000002,1871.9000000000003
2018-07-02,278.5,892.5000000000001,1319.2,1803.8
2018-07-03,227.49999999999994,710.3000000000001,1058.8999999999999,1532.7
2018-07-04,207.09999999999997,772.6999999999999,1090.3,1279.2
2018-07-05,243.29999999999995,1100.1,1473.0,1417.0999999999997
2018-07-06,468.4,1507.5,2225.6,1356.2
2018-07-07,222.79999999999998,1151.3,1492.8999999999999,1641.5
2018-07-08,196.4,1023.5000000000001,1324.6999999999996,1545.3000000000002
2018-07-09,371.30000000000007,1087.6000000000004,1656.8999999999996,1020.0
2018-07-10,599.8,818.8,1739.0,836.3999999999995
2018-07-11,566.7000000000002,902.9000000000001,1771.7000000000003,883.3999999999996
2018-07-12,406.9000000000001,975.8000000000001,1599.6,1033.9999999999998
2018-07-13,312.8500000000001,927.0500000000001,1406.0499999999997,1209.6500000000003
2018-07-14,85.09999999999995,589.3000000000001,719.9,1841.9000000000003
2018-07-15,130.3,744.0,943.6999999999999,1796.8000000000004
2018-07-16,230.9,805.0999999999999,1159.1999999999996,1479.6000000000004
2018-07-17,156.39999999999995,407.1000000000001,647.1,1150.1
2018-07-18,144.2,597.1000000000001,817.9000000000001,1178.2
2018-07-19,194.90000000000003,953.3,1251.8999999999999,1175.3
2018-07-20,143.10000000000005,880.8000000000001,1100.2,1377.9999999999998
2018-07-21,124.7,784.5999999999999,975.6999999999999,1895.7
2018-07-22,143.00000000000006,761.9,980.9,1301.6000000000001
2018-07-23,105.50000000000003,579.3,741.0,1407.9
2018-07-24,106.10000000000001,559.1,721.5999999999999,1576.5000000000002
2018-07-25,350.8000000000002,948.4,1486.5,1481.8000000000002
2018-07-26,145.5,929.1999999999997,1151.8999999999999,2028.1
2018-07-27,178.0,843.0000000000002,1116.1,1671.7500000000002
2018-07-28,37.999999999999986,241.60000000000002,299.20000000000005,1407.3999999999996
2018-07-29,45.99999999999998,226.10000000000005,296.6,985.8999999999999
2018-07-30,131.7,339.00000000000006,540.9000000000002,733.9000000000001
2018-07-31,146.0,499.59999999999997,723.1,1133.1000000000001
2018-08-01,122.99999999999997,516.8999999999999,705.6,1251.9
2018-08-02,125.75,646.2500000000001,838.9999999999998,1258.0
2018-08-03,390.80000000000007,1102.3,1701.7,1244.3
2018-08-04,332.09999999999997,804.4999999999999,1314.1,1212.3500000000001
2018-08-05,36.7,498.7,555.1000000000001,1667.0
2018-08-06,99.70000000000002,793.6999999999998,945.9000000000001,2078.9500000000007
2018-08-07,54.100000000000016,678.7500000000001,761.7499999999999,1972.8
2018-08-08,72.69999999999997,407.70000000000005,519.8000000000001,1282.2000000000003
2018-08-09,370.9000000000001,933.2,1502.0,393.5000000000001
2018-08-10,142.1,614.7,833.0999999999999,724.0000000000001
2018-08-11,66.10000000000001,537.9000000000001,638.9999999999999,911.8999999999999
2018-08-12,2.6999999999999993,386.40000000000003,390.40000000000003,1097.1
2018-08-13,304.4,869.3999999999999,1336.5,608.3
2018-08-14,242.60000000000005,804.4,1176.4,786.4
2018-08-15,49.50000000000001,429.3,505.0000000000001,1079.5999999999997
2018-08-16,240.59999999999997,651.9,1020.3000000000001,640.6999999999998
2018-08-17,209.39999999999998,665.3000000000001,986.0,715.0000000000002
2018-08-18,61.75000000000001,433.2,527.9499999999999,882.0000000000001
2018-08-19,92.4,445.3999999999999,586.6999999999999,737.0999999999999
2018-08-20,195.60000000000005,642.8,942.4999999999999,671.5999999999999
2018-08-21,133.20000000000005,663.7,868.6,967.8000000000001
2018-08-22,127.5,582.5,777.8000000000001,605.1000000000001
2018-08-23,295.9000000000001,652.8000000000001,1106.5000000000002,802.9
2018-08-24,218.20000000000005,625.9000000000001,960.3000000000001,880.7000000000002
2018-08-25,432.59999999999997,944.0999999999999,1607.0,551.2
2018-08-26,135.1,589.4999999999999,796.6999999999999,650.8
