MeasurementDateGMT,Sutton - Beddington Lane north: Nitric Oxide (ug/m3),Sutton - Beddington Lane north: Nitrogen Dioxide (ug/m3),Sutton - Beddington Lane north: Oxides of Nitrogen (ug/m3),Sutton - Beddington Lane north: PM10 Particulate (ug/m3),Sutton - Beddington Lane north: PM2.5 Particulate (ug/m3)
2018-09-24,940.6,992.9000000000001,2434.7000000000003,503.0,225.0
2018-09-25,1320.8999999999994,1292.9,3318.6999999999994,718.0,278.0
2018-09-26,1061.9,1218.9,2847.0000000000005,693.0,309.0
2018-09-27,1152.9,1328.7,3096.4,892.0,450.0
2018-09-28,44.900000000000006,402.8999999999999,471.6,303.0,163.0
2018-09-29,849.3999999999999,1042.4,2345.4,633.0,297.0
2018-09-30,175.39999999999995,600.7,868.6000000000001,356.0,245.0
2018-10-01,544.8000000000001,824.1999999999998,1659.5000000000002,473.0,181.0
2018-10-02,315.4,549.6,1033.3,381.0,150.0
2018-10-03,863.1,924.2000000000002,2247.2000000000003,603.0,272.0
2018-10-04,742.4999999999999,797.8000000000001,1937.1499999999999,632.0,280.5
2018-10-05,771.8999999999997,1124.9,2308.9000000000005,798.0,449.0
2018-10-06,195.60000000000002,571.5999999999999,871.1999999999998,399.0,292.0
2018-10-07,247.2,659.3000000000002,1038.8,335.0,192.0
2018-10-08,590.3000000000002,924.1,1829.5000000000005,647.0,223.0
2018-10-09,740.8000000000002,1315.7,2451.1,786.0,312.0
2018-10-10,245.60000000000005,1049.3,1426.0999999999997,912.0,695.0
2018-10-11,389.3,967.8000000000002,1564.7,821.0,314.0
2018-10-12,447.6,1225.8999999999999,1912.3999999999999,730.0,265.0
2018-10-13,268.20000000000005,865.8,1276.7,476.0,247.0
2018-10-14,64.59999999999998,382.4,481.49999999999994,184.0,180.0
2018-10-15,139.7,737.8999999999999,952.3000000000001,362.0,457.0
2018-10-16,642.8,897.2,1882.6999999999996,785.5,420.5
2018-10-17,796.8,1130.3999999999999,2351.899999999999,491.0,315.0
2018-10-18,79.30000000000001,596.3000000000001,717.5999999999999,385.0,286.0
2018-10-19,2011.8999999999999,1312.0,4397.400000000001,838.0,443.0
2018-10-20,1152.3,1035.1000000000001,2802.4000000000005,859.0,553.0
2018-10-21,484.80000000000007,694.5000000000001,1437.8,510.0,408.0
2018-10-22,717.4999999999999,837.9999999999999,1938.2,505.0,269.0
2018-10-23,522.8999999999999,990.5999999999999,1792.4,679.0,311.0
2018-10-24,899.9000000000001,1027.1999999999998,2407.7,741.0,356.0
2018-10-25,778.2,1020.3,2213.4999999999995,686.0,341.0
2018-10-26,465.4000000000001,858.9,1572.5,467.0,190.0
2018-10-27,218.40000000000003,605.8000000000001,940.8999999999997,213.0,151.0
2018-10-28,41.1,379.50000000000006,442.8,135.0,130.0
2018-10-29,382.1000000000001,717.2999999999997,1303.1000000000001,178.0,122.0
2018-10-30,516.2999999999998,857.8,1649.3999999999999,481.5,225.0
2018-10-31,638.7000000000002,1120.7,2100.2999999999997,773.0,298.0
2018-11-01,1153.5,1225.6000000000001,2994.4,484.0,354.0
2018-11-02,1369.5000000000002,1274.5000000000002,3374.4,855.0,435.0
2018-11-03,361.1,1038.1000000000001,1591.9000000000005,636.0,310.0
2018-11-04,205.60000000000002,723.9000000000001,1038.8999999999999,549.0,433.0
2018-11-05,682.0000000000001,932.4000000000001,1977.9,1011.0,715.0
2018-11-06,749.4999999999999,984.8000000000001,2134.2000000000007,868.0,481.0
2018-11-07,451.5,723.5999999999999,1416.1,318.0,230.0
2018-11-08,485.19999999999993,975.3000000000003,1719.1999999999998,745.0,263.0
2018-11-09,396.5999999999999,771.5,1379.1,550.0,262.0
2018-11-10,422.70000000000005,916.3,1564.0000000000002,410.0,261.0
2018-11-11,186.9,568.2,854.9000000000001,325.0,216.0
2018-11-12,693.5,1251.8000000000002,2315.0,377.0,271.0
2018-11-13,514.1,944.3000000000001,1732.3999999999994,709.0,284.0
2018-11-14,746.0000000000001,1338.3999999999999,2482.2999999999997,771.0,337.0
2018-11-15,777.0500000000002,996.8,2188.5499999999997,996.5,564.5
2018-11-16,165.60000000000002,698.6,952.6,330.0,290.0
2018-11-17,156.60000000000002,934.9,1174.9999999999998,562.0,479.0
2018-11-18,100.60000000000002,743.6999999999999,897.9999999999999,495.0,333.0
2018-11-19,31.7,428.00000000000006,476.8999999999999,226.0,109.0
2018-11-20,91.89999999999999,735.4,876.6999999999999,337.0,283.0
2018-11-21,758.1,1095.7000000000003,2258.1,691.3125,506.0
