MeasurementDateGMT,Croydon - Purley Way A23: Nitric Oxide (ug/m3),Croydon - Purley Way A23: Nitrogen Dioxide (ug/m3),Croydon - Purley Way A23: Oxides of Nitrogen (ug/m3)
2018-12-26,364.59999999999997,704.2,1263.1000000000001
2018-12-27,2255.8000000000006,921.0,4380.099999999999
2018-12-28,1540.6999999999998,1039.2000000000003,3401.7
2018-12-29,521.0,677.4000000000001,1475.9999999999998
2018-12-30,487.8999999999999,663.3000000000001,1411.9
2018-12-31,511.9,700.5,1485.3
2019-01-01,254.20000000000002,515.5,905.3
2019-01-02,913.9,1305.3999999999999,2706.7999999999997
2019-01-03,903.9999999999999,1219.8,2606.2999999999997
2019-01-04,1459.8000000000002,1352.4999999999998,3590.7999999999997
2019-01-05,668.7,1053.9999999999998,2079.7000000000003
2019-01-06,666.0999999999999,1028.6,2050.4
2019-01-07,599.0999999999999,731.1999999999999,1649.6
2019-01-08,794.5999999999999,960.1,2178.1
2019-01-09,1066.4,1181.6,2816.8999999999996
2019-01-10,2074.0,1260.8,4441.2
2019-01-11,1911.6000000000004,1345.8,4277.2
2019-01-12,427.40000000000003,589.4,1244.8999999999999
2019-01-13,238.49999999999997,368.80000000000007,734.5999999999998
2019-01-14,680.6000000000001,904.1999999999998,1947.7000000000003
2019-01-15,610.1999999999999,679.5000000000001,1615.0000000000002
2019-01-16,437.20000000000005,554.3000000000001,1224.7
2019-01-17,1082.6,1040.1,2700.2999999999997
2019-01-18,924.5,927.1000000000001,2345.0
2019-01-19,266.0,463.59999999999997,871.9
2019-01-20,1338.4,1202.7,3254.5
2019-01-21,2256.8500000000004,1271.6000000000001,4731.7
2019-01-22,1212.5000000000002,1274.3000000000002,3133.2999999999997
2019-01-23,1840.7,1411.3999999999999,4234.099999999999
2019-01-24,2685.0,1600.7000000000003,5717.600000000001
2019-01-25,1311.3000000000002,1190.0000000000002,3200.6000000000004
2019-01-26,282.1000000000001,416.1,848.6999999999997
2019-01-27,241.0,351.50000000000006,721.3000000000001
2019-01-28,1015.2999999999998,1110.7,2667.4
2019-01-29,830.6,1080.4000000000003,2353.7000000000003
2019-01-30,1909.8500000000004,1284.55,4213.05
2019-01-31,1030.6,895.9999999999999,2476.9
2019-02-01,643.0999999999999,815.8,1801.8
2019-02-02,718.0000000000001,973.0000000000001,2074.0
2019-02-03,747.1000000000001,933.2,2078.5
2019-02-04,546.3999999999999,641.3,1479.1
2019-02-05,905.1,908.4000000000001,2296.3999999999996
2019-02-06,915.0000000000001,960.8000000000001,2363.7000000000003
2019-02-07,443.5999999999999,502.19999999999993,1182.4
2019-02-08,229.10000000000002,264.1,615.4
2019-02-09,261.20000000000005,321.6000000000001,721.8
2019-02-10,314.80000000000007,517.0,999.8
2019-02-11,1554.3999999999996,1300.0,3683.0999999999995
2019-02-12,942.9,1000.8500000000001,2446.3500000000004
2019-02-13,754.2,870.0999999999999,2026.3999999999999
2019-02-14,1706.1,1075.1000000000004,3691.2999999999997
2019-02-15,1245.3999999999996,1279.8,3189.8999999999996
2019-02-16,637.1,979.3000000000001,1956.4
2019-02-17,304.59999999999997,618.8,1085.9000000000003
2019-02-18,737.9,848.9000000000002,1980.1999999999998
2019-02-19,660.6999999999998,662.5999999999999,1675.6000000000004
2019-02-20,520.2999999999998,573.3999999999999,1370.8
2019-02-21,708.4999999999999,796.0000000000001,1882.3999999999999
2019-02-22,1042.0,921.9,2519.7999999999997
2019-02-23,1204.5000000000002,952.1,2799.0
2019-02-24,993.9000000000002,918.6999999999999,2442.4999999999995
2019-02-25,2177.6,1292.3,4631.2
2019-02-26,2177.2,1260.7000000000003,4598.599999999999
2019-02-27,2145.100000000001,1405.3,4694.400000000001
2019-02-28,644.0,904.1999999999998,1891.1999999999998
2019-03-01,867.5,994.5,2325.7000000000003
2019-03-02,342.90000000000003,463.29999999999995,988.8000000000001
2019-03-03,116.49999999999999,152.20000000000002,330.5000000000001
2019-03-04,507.09999999999997,476.00000000000006,1253.2000000000003
2019-03-05,513.1,611.6999999999999,1398.1999999999998
2019-03-06,391.99999999999994,497.40000000000003,1098.4999999999998
2019-03-07,360.50000000000006,385.29999999999995,937.9
2019-03-08,560.9999999999999,603.6,1463.5999999999997
