MeasurementDateGMT,Camden - Coopers Lane: PM10 Particulate (ug/m3)
2019-04-08,1018.9000000000004
2019-04-09,834.8
2019-04-10,378.3000000000001
2019-04-11,332.2
2019-04-12,388.90000000000003
2019-04-13,377.9
2019-04-14,498.7
2019-04-15,917.1000000000001
2019-04-16,1184.3
2019-04-17,1329.6
2019-04-18,1212.6
2019-04-19,970.7
2019-04-20,765.8999999999999
2019-04-21,845.1000000000001
2019-04-22,1250.9
2019-04-23,834.2000000000003
2019-04-24,667.1
2019-04-25,204.5
2019-04-26,221.10000000000002
2019-04-27,209.6
2019-04-28,214.50000000000003
2019-04-29,426.4000000000001
2019-04-30,567.7
2019-05-01,479.0
2019-05-02,244.99999999999997
2019-05-03,274.3
2019-05-04,194.00000000000003
2019-05-05,292.8
2019-05-06,181.4
2019-05-07,332.09999999999997
2019-05-08,255.0
2019-05-09,281.1
2019-05-10,302.0
2019-05-11,366.3
2019-05-12,229.8
2019-05-13,280.6000000000001
2019-05-14,304.6
2019-05-15,514.8000000000001
2019-05-16,412.1
2019-05-17,379.40000000000003
2019-05-18,456.6
2019-05-19,479.1000000000001
2019-05-20,381.1000000000001
2019-05-21,235.6
2019-05-22,242.20000000000002
2019-05-23,259.79999999999995
2019-05-24,279.59999999999997
2019-05-25,187.64999999999998
2019-05-26,163.4
2019-05-27,186.49999999999997
2019-05-28,91.60000000000001
2019-05-29,250.40000000000003
2019-05-30,216.5
2019-05-31,160.89999999999998
2019-06-01,172.61764705882354
2019-06-02,204.84705882352944
2019-06-03,226.53176470588235
2019-06-04,248.2164705882353
2019-06-05,269.9011764705882
2019-06-06,291.58588235294116
2019-06-07,313.2705882352941
2019-06-08,334.95529411764704
2019-06-09,356.64
2019-06-10,378.32470588235293
2019-06-11,400.0094117647059
2019-06-12,421.69411764705876
2019-06-13,443.37882352941176
2019-06-14,465.06352941176465
2019-06-15,486.7482352941176
2019-06-16,508.43294117647054
2019-06-17,530.1176470588235
2019-06-18,551.8023529411764
2019-06-19,564.4623529411765
2019-06-20,390.4000000000001
2019-06-21,340.49999999999994
2019-06-22,303.6
2019-06-23,613.9000000000002
2019-06-24,618.4999999999999
2019-06-25,521.0
2019-06-26,396.90000000000003
2019-06-27,338.7
2019-06-28,455.40000000000003
2019-06-29,531.1399999999999
2019-06-30,241.21000000000006
2019-07-01,178.8
2019-07-02,237.20000000000002
2019-07-03,297.7000000000001
2019-07-04,298.90000000000003
2019-07-05,312.09999999999997
2019-07-06,207.0
2019-07-07,267.59999999999997
2019-07-08,285.1999999999999
2019-07-09,302.0
2019-07-10,353.09999999999997
2019-07-11,201.6
2019-07-12,174.6
2019-07-13,227.39999999999998
2019-07-14,198.59999999999997
2019-07-15,172.49999999999994
2019-07-16,299.4
2019-07-17,352.7
2019-07-18,262.0
2019-07-19,202.6
2019-07-20,163.80000000000004
2019-07-21,189.9
2019-07-22,239.5883495145631
2019-07-23,235.6660194174757
2019-07-24,226.71844660194174
2019-07-25,217.77087378640778
2019-07-26,224.2563106796116
2019-07-27,204.2
2019-07-28,178.2
2019-07-29,263.2
2019-07-30,251.4
2019-07-31,201.4
2019-08-01,282.1
2019-08-02,355.59999999999997
2019-08-03,298.40000000000003
2019-08-04,302.20000000000005
2019-08-05,241.89999999999998
2019-08-06,253.89999999999998
2019-08-07,201.15
2019-08-08,194.5
2019-08-09,310.0
2019-08-10,303.65000000000003
2019-08-11,228.99999999999997
2019-08-12,211.40000000000003
2019-08-13,164.70000000000002
2019-08-14,151.40000000000003
2019-08-15,194.89999999999998
2019-08-16,187.80000000000004
2019-08-17,222.49999999999997
2019-08-18,184.3
2019-08-19,202.09999999999994
2019-08-20,245.94999999999996
2019-08-21,280.5
2019-08-22,260.25
2019-08-23,329.4
2019-08-24,683.8999999999997
2019-08-25,829.1999999999999
2019-08-26,674.85
2019-08-27,706.8
2019-08-28,207.09999999999997
2019-08-29,183.0
2019-08-30,236.39999999999998
2019-08-31,195.60000000000002
2019-09-01,141.55
2019-09-02,213.59999999999997
2019-09-03,186.90000000000003
2019-09-04,136.8
2019-09-05,231.49999999999997
2019-09-06,229.70000000000002
2019-09-07,196.4
2019-09-08,193.0
2019-09-09,245.7
2019-09-10,326.40000000000003
2019-09-11,175.39999999999995
2019-09-12,193.90000000000003
2019-09-13,226.8
2019-09-14,296.00000000000006
2019-09-15,234.00000000000003
2019-09-16,273.5
2019-09-17,237.7
2019-09-18,315.4000000000001
2019-09-19,351.90000000000003
2019-09-20,464.6999999999999
2019-09-21,490.19999999999993
2019-09-22,303.6
2019-09-23,170.39999999999998
2019-09-24,148.29999999999998
2019-09-25,118.99999999999999
2019-09-26,191.20000000000002
2019-09-27,196.6
2019-09-28,151.5
2019-09-29,107.2
2019-09-30,160.40000000000003
2019-10-01,168.80000000000004
2019-10-02,165.60000000000002
2019-10-03,348.30000000000007
2019-10-04,324.00000000000006
2019-10-05,280.0
2019-10-06,176.10000000000002
2019-10-07,176.75
2019-10-08,313.49999999999994
2019-10-09,193.20000000000005
2019-10-10,246.89999999999995
2019-10-11,186.29999999999995
2019-10-12,158.1
2019-10-13,169.3
2019-10-14,276.3500000000001
2019-10-15,192.7
2019-10-16,231.20000000000002
2019-10-17,189.60000000000002
2019-10-18,216.30000000000004
2019-10-19,222.10000000000002
2019-10-20,261.0
2019-10-21,165.70000000000002
2019-10-22,321.1000000000001
2019-10-23,639.1
2019-10-24,498.2
2019-10-25,191.49999999999997
2019-10-26,194.10000000000002
2019-10-27,229.00000000000006
2019-10-28,324.7
2019-10-29,239.90000000000003
2019-10-30,409.09999999999997
2019-10-31,736.6000000000001
2019-11-01,310.80000000000007
2019-11-02,182.9
2019-11-03,233.39999999999995
2019-11-04,272.9
2019-11-05,323.19999999999993
2019-11-06,475.0999999999999
2019-11-07,177.60000000000002
2019-11-08,316.9
2019-11-09,331.3
2019-11-10,317.7
2019-11-11,217.0
2019-11-12,150.8
2019-11-13,208.09999999999997
2019-11-14,205.20000000000002
2019-11-15,294.3
2019-11-16,382.8
2019-11-17,578.3
2019-11-18,194.4
2019-11-19,587.7
2019-11-20,337.6
2019-11-21,659.4000000000001
2019-11-22,255.49999999999997
2019-11-23,412.6
2019-11-24,432.20000000000005
2019-11-25,201.7
2019-11-26,221.5
2019-11-27,192.4
2019-11-28,248.89999999999992
2019-11-29,331.09999999999997
2019-11-30,455.3
2019-12-01,182.6
2019-12-02,528.1999999999999
2019-12-03,408.70000000000005
2019-12-04,611.6999999999999
2019-12-05,478.6
2019-12-06,126.60000000000001
2019-12-07,172.9
2019-12-08,187.59999999999994
2019-12-09,194.95000000000005
2019-12-10,230.0
2019-12-11,204.2
2019-12-12,161.60000000000005
2019-12-13,182.95000000000002
2019-12-14,217.2
2019-12-15,166.6
2019-12-16,220.10000000000002
2019-12-17,250.1
2019-12-18,266.09999999999997
2019-12-19,310.20000000000005
2019-12-20,146.5
2019-12-21,165.50000000000003
2019-12-22,187.4
2019-12-23,236.10000000000002
2019-12-24,235.80000000000007
2019-12-25,323.99999999999994
2019-12-26,220.0
2019-12-27,339.7
2019-12-28,380.90000000000003
2019-12-29,391.3
2019-12-30,499.09999999999997
2019-12-31,575.4
2020-01-01,818.5999999999999
2020-01-02,210.99999999999997
2020-01-03,200.30000000000004
2020-01-04,215.49999999999997
2020-01-05,123.0
2020-01-06,229.4
2020-01-07,281.1
2020-01-08,404.75
2020-01-09,167.97142857142856
2020-01-10,198.5785714285714
2020-01-11,251.00000000000003
2020-01-12,132.2
