MeasurementDateGMT,Kensington and Chelsea - North Ken FDMS: PM10 Particulate (ug/m3)
2018-04-19,748.0999999999999
2018-04-20,638.0999999999999
2018-04-21,868.6999999999999
2018-04-22,553.6999999999999
2018-04-23,187.29999999999998
2018-04-24,202.60000000000002
2018-04-25,188.50000000000003
2018-04-26,241.59999999999997
2018-04-27,292.5
2018-04-28,158.79999999999995
2018-04-29,157.60000000000002
2018-04-30,249.10000000000002
2018-05-01,202.0
2018-05-02,144.20000000000002
2018-05-03,278.4
2018-05-04,356.0
2018-05-05,540.4000000000001
2018-05-06,696.1999999999999
2018-05-07,736.4
2018-05-08,672.6999999999998
2018-05-09,352.1000000000001
2018-05-10,236.09999999999994
2018-05-11,331.6
2018-05-12,265.79999999999995
2018-05-13,348.9000000000001
2018-05-14,275.69999999999993
2018-05-15,377.9
2018-05-16,422.3000000000001
2018-05-17,372.00000000000006
2018-05-18,358.40000000000003
2018-05-19,468.2
2018-05-20,544.9999999999999
2018-05-21,660.4
2018-05-22,524.3
2018-05-23,557.1999999999999
2018-05-24,646.9
2018-05-25,550.4999999999999
2018-05-26,827.9000000000001
2018-05-27,564.1
2018-05-28,795.1999999999999
2018-05-29,463.3
2018-05-30,522.1
2018-05-31,794.8999999999999
2018-06-01,480.5
2018-06-02,197.9
2018-06-03,223.0
2018-06-04,360.40000000000003
2018-06-05,344.29999999999995
2018-06-06,455.79999999999995
2018-06-07,390.0
2018-06-08,366.99999999999994
2018-06-09,388.1000000000001
2018-06-10,366.29999999999995
2018-06-11,263.30000000000007
2018-06-12,277.90000000000003
2018-06-13,237.1
2018-06-14,272.9
2018-06-15,310.7
2018-06-16,201.30000000000004
2018-06-17,179.80000000000007
2018-06-18,214.50000000000003
2018-06-19,116.6
2018-06-20,184.50000000000003
2018-06-21,218.20000000000002
2018-06-22,272.09999999999997
2018-06-23,243.1
2018-06-24,256.1
2018-06-25,317.1
2018-06-26,376.70000000000005
2018-06-27,391.4000000000001
2018-06-28,434.99999999999994
2018-06-29,363.19999999999993
2018-06-30,321.9
2018-07-01,400.40000000000003
2018-07-02,361.90000000000003
2018-07-03,290.5
2018-07-04,413.0000000000001
2018-07-05,530.6999999999999
2018-07-06,511.5
2018-07-07,582.3000000000001
2018-07-08,319.29999999999995
2018-07-09,346.69999999999993
2018-07-10,244.9
2018-07-11,292.00000000000006
2018-07-12,393.49999999999994
2018-07-13,403.70000000000005
2018-07-14,348.00000000000006
2018-07-15,271.0999999999999
2018-07-16,297.79999999999995
2018-07-17,207.8
2018-07-18,209.49999999999994
2018-07-19,318.0000000000001
2018-07-20,325.0
2018-07-21,417.20000000000005
2018-07-22,284.30000000000007
2018-07-23,263.80000000000007
2018-07-24,300.4
2018-07-25,328.4000000000001
2018-07-26,571.1999999999999
2018-07-27,424.0000000000001
2018-07-28,271.90000000000003
2018-07-29,133.60000000000002
2018-07-30,148.59999999999997
2018-07-31,162.29999999999998
2018-08-01,199.9
2018-08-02,209.70000000000002
2018-08-03,256.09999999999997
2018-08-04,206.0
2018-08-05,247.6
2018-08-06,309.5
2018-08-07,332.6
2018-08-08,193.7
2018-08-09,203.4
2018-08-10,149.6
2018-08-11,153.59999999999997
2018-08-12,130.4
2018-08-13,190.30000000000004
2018-08-14,204.8
2018-08-15,222.59999999999997
2018-08-16,191.9
2018-08-17,215.29999999999998
2018-08-18,225.3
2018-08-19,193.10000000000002
2018-08-20,157.4
2018-08-21,154.99999999999997
2018-08-22,228.30000000000004
