MeasurementDateGMT,Richmond Upon Thames - Castelnau: Nitric Oxide (ug/m3),Richmond Upon Thames - Castelnau: Nitrogen Dioxide (ug/m3),Richmond Upon Thames - Castelnau: Oxides of Nitrogen (ug/m3),Richmond Upon Thames - Castelnau: PM10 Particulate (ug/m3)
2018-03-12,515.2,1028.4999999999998,1816.0,238.60000000000002
2018-03-13,661.5,972.3000000000001,1985.9999999999998,369.3999999999999
2018-03-14,260.6000000000001,700.3000000000001,1100.0999999999997,381.09999999999997
2018-03-15,422.3999999999999,960.0000000000001,1607.7,314.70000000000005
2018-03-16,641.9,953.2,1937.2,470.1
2018-03-17,154.2,577.2,813.9000000000001,418.3
2018-03-18,139.8,603.1000000000001,816.3999999999997,644.4
2018-03-19,217.7,659.4000000000001,993.4000000000001,516.2999999999998
2018-03-20,362.2,900.8000000000002,1455.8,404.09999999999997
2018-03-21,426.79999999999995,1088.6,1743.0000000000002,464.0999999999999
2018-03-22,112.2,532.0,704.1999999999998,409.2
2018-03-23,254.10000000000008,596.9999999999999,986.6000000000003,466.7
2018-03-24,480.1,1007.6999999999999,1743.8000000000002,625.4999999999999
2018-03-25,471.9,1016.8999999999997,1740.7,778.1000000000001
2018-03-26,449.59999999999997,1089.0,1778.3,379.30000000000007
2018-03-27,303.8999999999999,748.1999999999999,1214.1000000000001,240.29999999999998
2018-03-28,332.8,928.1999999999998,1438.7,194.80000000000004
2018-03-29,686.8500000000001,1007.8000000000002,2060.6500000000005,296.1
2018-03-30,220.49999999999997,868.8000000000001,1207.1000000000001,249.79999999999995
