MeasurementDateGMT,NO,NO2,NOX,O3,PM10,PM25
2020-10-11,574.14,806.17,1686.66,477.81,242.4,154.91
2020-10-18,683.49,941.49,1989.47,386.3,297.51,202.13
2020-10-25,352.76,755.72,1296.49,558.5,275.7,173.16
2020-11-01,332.22,654.44,1163.76,677.44,254.0,133.17
2020-11-08,1426.49,1103.16,3290.5,239.16,847.03,719.65
2020-11-15,378.28,746.74,1326.62,470.0,425.37,182.92
2020-11-22,427.73,746.45,1402.38,609.17,347.76,128.34
2020-11-29,981.22,1061.16,2565.76,161.64,690.57,478.07
2020-12-06,763.41,1035.06,2205.66,267.01,417.73,241.76
2020-12-13,829.15,1019.6,2290.94,257.74,470.61,285.32
2020-12-20,353.72,763.31,1305.68,602.01,316.1,154.8
2020-12-27,308.87,636.11,1109.57,733.14,214.53,101.03
2021-01-03,607.93,852.74,1784.8,357.97,417.1,263.01
2021-01-10,709.31,836.19,1923.77,346.46,397.53,235.94
2021-01-17,618.06,958.65,1906.25,520.2,328.99,191.44
2021-01-24,378.43,768.48,1348.84,755.16,289.0,183.48
2021-01-31,502.96,916.21,1687.32,580.01,321.69,185.47
2021-02-07,417.73,868.4,1508.91,675.94,360.76,200.24
2021-02-14,202.48,710.22,1020.67,1167.34,347.01,213.83
2021-02-21,275.54,688.97,1111.45,1040.62,436.07,209.51
2021-02-28,697.26,1010.78,2079.97,591.17,578.37,350.93
2021-03-07,531.87,849.05,1664.52,623.01,667.31,514.73
2021-03-14,482.21,759.26,1498.59,971.71,466.99,267.24
2021-03-21,570.4,904.02,1778.43,814.38,434.86,227.01
2021-03-28,412.88,748.59,1381.67,970.14,465.75,276.34
2021-04-04,627.58,936.85,1899.11,1046.37,608.86,383.75
2021-04-11,433.52,713.4,1378.01,1137.59,340.29,144.77
2021-04-18,536.44,1009.02,1831.48,869.67,421.56,246.67
2021-04-25,241.27,765.04,1135.02,1041.13,637.59,430.22
2021-05-02,380.34,876.12,1459.23,902.84,506.05,334.56
2021-05-09,349.46,597.75,1133.76,860.2,305.39,172.13
2021-05-16,265.36,670.8,1077.76,700.99,359.9,230.6
2021-05-23,374.79,659.86,1234.58,854.25,270.39,188.31
2021-05-30,321.62,729.1,1222.42,1040.51,356.43,293.99
2021-06-06,306.5,751.77,1221.71,978.0,489.75,404.02
2021-06-13,441.2,631.88,1308.55,837.79,384.21,271.87
2021-06-20,348.94,666.92,1201.86,850.6,408.0,196.84
2021-06-27,353.03,606.24,1147.54,974.99,408.0,212.6
2021-07-04,299.83,409.47,869.17,659.87,277.67,172.97
