MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-08-11,1388.7,1614.1,3743.18,397.25,209.0
2018-08-12,846.05,1195.55,2492.78,331.0,189.5
2018-08-13,1377.9,1406.02,3518.75,504.25,283.0
2018-08-14,1547.0,1440.02,3812.3,480.75,246.0
2018-08-15,1494.0,1461.08,3751.62,433.75,271.0
2018-08-16,1774.12,1477.26,4197.71,423.25,244.5
2018-08-17,1873.82,1586.12,4459.15,523.62,268.0
2018-08-18,916.25,1154.68,2559.35,414.0,255.75
2018-08-19,671.28,881.25,1910.4,356.0,259.0
2018-08-20,1673.2,1443.12,4008.72,414.5,253.0
2018-08-21,1888.92,1691.18,4587.75,386.5,216.0
2018-08-22,1621.5,1434.52,3920.62,441.06,244.0
2018-08-23,1159.87,1158.42,2936.75,435.19,225.5
2018-08-24,1028.18,1184.47,2761.2,417.5,217.0
2018-08-25,826.52,1089.75,2356.98,343.25,228.0
2018-08-26,907.12,1141.95,2532.8,327.0,238.5
2018-08-27,369.93,732.82,1300.1,337.75,192.5
2018-08-28,1750.78,1485.25,4169.75,454.75,220.5
2018-08-29,1276.22,1407.75,3364.42,540.95,267.5
2018-08-30,1434.1,1347.17,3546.3,791.55,229.0
2018-08-31,1817.62,1657.06,4444.03,720.0,286.5
2018-09-01,1402.9,1735.78,3887.03,650.0,362.73
2018-09-02,1028.5,1754.15,3331.32,693.75,371.12
2018-09-03,1975.94,2247.83,5277.55,896.0,388.47
2018-09-04,703.05,1181.92,2259.63,715.25,334.82
2018-09-05,667.52,1039.18,2062.88,659.75,301.6
2018-09-06,918.6,1283.32,2692.05,660.0,333.0
2018-09-07,816.38,1258.45,2509.88,529.25,208.5
2018-09-08,861.62,1330.62,2651.75,382.75,183.5
2018-09-09,424.07,965.28,1615.52,399.0,193.5
2018-09-10,1057.36,1275.14,2896.66,573.0,211.5
2018-09-11,1037.69,1165.41,2756.54,499.25,250.5
2018-09-12,1153.64,1188.32,2957.22,613.25,168.5
2018-09-13,2469.29,1871.65,5657.75,763.88,325.0
2018-09-14,1326.06,1533.07,3566.45,526.0,218.71
2018-09-15,1005.4,1331.48,2873.1,542.0,212.09
2018-09-16,621.05,1119.92,2072.35,443.5,246.5
2018-09-17,1332.62,1640.8,3684.52,499.84,249.91
2018-09-18,872.43,1166.88,2504.35,539.66,261.04
2018-09-19,952.28,1123.82,2583.88,672.75,206.0
2018-09-20,1064.62,1179.4,2811.78,712.25,202.5
2018-09-21,724.1,1035.55,2145.85,517.75,175.5
2018-09-22,1328.28,1418.72,3455.43,475.5,227.5
2018-09-23,388.6,748.7,1344.65,355.0,166.0
2018-09-24,1895.6,1588.43,4494.85,688.0,216.75
2018-09-25,3435.47,2185.38,7452.95,822.0,344.5
2018-09-26,2000.2,2225.98,5292.8,756.75,300.82
2018-09-27,2168.93,2198.07,5523.48,897.75,263.18
2018-09-28,1161.6,1229.97,3011.35,654.25,191.0
2018-09-29,1924.78,1881.12,4832.3,825.0,273.5
2018-09-30,671.2,1157.83,2186.9,490.0,225.5
2018-10-01,809.43,1088.1,2329.12,729.75,156.75
2018-10-02,949.97,1089.4,2546.1,443.25,159.0
2018-10-03,2015.92,1471.52,4562.75,587.75,213.5
2018-10-04,2122.53,1418.72,4673.32,586.5,306.0
2018-10-05,3317.45,2227.6,7313.98,918.0,570.0
2018-10-06,663.35,1016.33,2033.58,466.0,252.0
2018-10-07,895.48,1176.32,2549.27,437.25,166.0
2018-10-08,1434.45,1575.2,3775.05,434.0,193.0
2018-10-09,2207.5,2002.93,5387.92,569.25,270.0
2018-10-10,3387.58,2433.85,7627.98,1281.25,862.5
2018-10-11,1658.93,1536.98,4080.55,608.75,278.5
2018-10-12,1075.38,1159.98,2809.08,540.0,203.0
2018-10-13,848.65,1088.92,2390.38,460.75,220.5
2018-10-14,407.15,797.42,1422.1,267.5,145.5
2018-10-15,1891.1,1442.02,4342.05,601.0,259.0
2018-10-16,1933.6,1547.1,4511.85,697.52,356.5
2018-10-17,2913.05,1938.8,6405.18,536.9,320.0
2018-10-18,1650.9,1466.15,3997.42,547.67,256.0
2018-10-19,2446.93,1982.8,5734.85,658.66,352.0
2018-10-20,3236.6,2107.75,7070.58,934.73,602.5
2018-10-21,1036.88,1417.5,3007.3,598.98,366.0
2018-10-22,1324.22,1369.55,3400.2,581.14,226.0
2018-10-23,1381.9,1454.62,3573.9,601.27,241.5
2018-10-24,1832.27,1523.72,4333.65,461.45,314.0
2018-10-25,1903.83,1717.52,4636.85,477.27,291.0
2018-10-26,1093.8,1474.98,3151.8,322.35,173.0
2018-10-27,454.48,859.85,1556.45,278.67,115.5
2018-10-28,716.18,1071.55,2169.53,290.74,134.75
2018-10-29,1125.33,1304.65,3029.92,360.32,176.64
2018-10-30,1256.22,1228.05,3154.4,384.14,247.11
2018-10-31,3749.95,2196.05,7945.85,461.71,292.0
2018-11-01,2736.85,1842.62,6039.2,417.28,321.0
2018-11-02,3065.4,2234.7,6934.72,489.86,347.5
2018-11-03,1339.1,1629.75,3682.82,418.68,299.0
2018-11-04,1317.65,1445.48,3465.77,471.0,378.0
2018-11-05,4577.8,1910.17,8929.45,852.32,895.5
2018-11-06,2503.17,1567.28,5404.85,503.15,437.0
2018-11-07,1373.43,1275.9,3381.82,388.97,161.5
2018-11-08,1963.81,1750.7,4762.0,442.04,218.5
2018-11-09,2065.28,1624.48,4791.08,453.12,245.75
2018-11-10,1262.7,1525.6,3461.77,473.69,266.5
2018-11-11,785.62,1241.05,2445.4,407.51,177.0
