MeasurementDateGMT, PM10 Particulate (ug/m3), Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3)
2018-11-10,1063.56,1927.7,1534.9,4490.3
2018-11-11,2382.78,1446.1,1301.6,3519.1
2018-11-12,4761.91,2400.1,1783.2,5463.4
2018-11-13,7141.04,1566.6,1438.7,3840.8
2018-11-14,9013.47,3325.6,1943.4,7042.5
2018-11-15,6089.11,3412.6,1743.7,6976.4
2018-11-16,2014.22,1268.0,1284.6,3228.3
2018-11-17,971.0,675.6,1269.6,2305.7
2018-11-18,899.0,293.6,1059.9,1509.8
2018-11-19,483.0,309.1,807.7,1281.7
2018-11-20,559.0,797.0,1142.8,2365.4
2018-11-21,1007.0,1972.4,1687.6,4711.7
2018-11-22,1743.0,5108.6,2316.4,10149.7
2018-11-23,1368.0,1514.5,1558.0,3880.0
2018-11-24,1095.0,629.4,1291.5,2256.0
2018-11-25,873.0,264.0,919.9,1324.6
2018-11-26,789.0,421.5,1086.6,1732.4
2018-11-27,769.0,2563.8,1740.8,5672.2
2018-11-28,514.0,1625.0,1410.1,3901.8
2018-11-29,525.0,1361.2,1238.3,3325.0
2018-11-30,761.0,1642.8,1490.9,4010.0
2018-12-01,501.0,1399.5,1355.7,3501.4
2018-12-02,204.0,773.0,828.6,2013.9
2018-12-03,625.0,664.7,1027.1,2046.4
2018-12-04,861.0,2472.4,1917.9,5709.2
2018-12-05,510.0,2341.3,1498.2,5088.3
2018-12-06,351.0,1233.1,1232.9,3123.8
2018-12-07,291.0,701.4,887.3,1962.7
2018-12-08,671.0,327.4,554.6,1056.8
2018-12-09,429.0,243.1,585.7,958.4
2018-12-10,639.0,1062.2,1440.1,3068.5
2018-12-11,1199.0,4125.1,2283.3,8608.7
2018-12-12,869.0,1252.2,1526.0,3445.7
2018-12-13,955.0,1215.2,1428.9,3292.3
2018-12-14,1397.0,3903.4,2146.9,8132.2
2018-12-15,780.0,1104.5,1083.5,2777.3
2018-12-16,703.0,2718.7,1932.7,6101.3
2018-12-17,782.0,1981.5,1502.1,4540.2
2018-12-18,770.0,2083.4,1421.1,4616.1
2018-12-19,501.0,2178.6,1697.9,5038.7
2018-12-20,606.0,1569.9,1382.3,3788.9
2018-12-21,566.0,649.6,799.0,1795.1
2018-12-22,712.0,528.7,794.7,1605.2
2018-12-23,375.0,713.7,930.8,2025.6
2018-12-24,946.0,2437.0,1753.8,5490.6
2018-12-25,809.0,2359.3,1526.9,5144.4
2018-12-26,701.0,2260.2,1554.6,5020.3
2018-12-27,1187.0,3405.9,1745.7,6968.1
2018-12-28,846.0,1528.8,1458.8,3803.0
2018-12-29,403.0,542.0,903.2,1733.8
2018-12-30,387.0,455.4,889.9,1587.8
2018-12-31,318.0,488.7,917.7,1666.8
2019-01-01,433.0,175.6,568.9,838.2
2019-01-02,690.0,127.2,838.6,1033.4
2019-01-03,608.0,1109.0,1630.5,3330.9
2019-01-04,975.0,1615.4,1820.4,4297.2
2019-01-05,768.0,419.2,1093.4,1736.1
2019-01-06,725.0,577.3,1170.5,2055.4
2019-01-07,528.0,461.7,893.5,1601.7
2019-01-08,742.0,246.7,820.2,1198.5
2019-01-09,635.5,132.5,833.5,1036.8
2019-01-10,959.0,1919.7,1798.8,4742.8
2019-01-11,894.0,1523.8,1667.4,4004.1
2019-01-12,322.0,338.1,694.9,1213.1
2019-01-13,334.0,191.4,411.3,705.0
2019-01-14,603.0,380.7,983.6,1567.9
2019-01-15,383.5,1073.9,1298.7,2945.6
2019-01-16,313.0,1497.8,1384.3,3681.3
2019-01-17,575.0,996.0,1337.1,2864.1
2019-01-18,1128.0,3337.5,2210.5,7327.8
2019-01-19,943.0,818.1,1131.9,2386.5
2019-01-20,1129.0,1293.9,1605.6,3589.5
2019-01-21,1463.0,3912.0,2135.9,8133.8
2019-01-22,491.0,1259.2,1561.3,3492.1
2019-01-23,830.0,1134.6,1457.3,3197.5
2019-01-24,1012.0,2875.2,2206.7,6615.4
2019-01-25,644.0,1287.5,1448.0,3421.9
