MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), Ozone (ug/m3)
2018-08-04,419.88,833.32,1477.29,341.55,1212.35
2018-08-05,220.62,672.1,1010.65,392.37,1667.0
2018-08-06,395.87,1117.88,1724.82,556.84,2078.95
2018-08-07,395.5,1112.46,1719.3,575.88,1972.8
2018-08-08,355.45,669.53,1214.92,388.34,1282.2
2018-08-09,709.4,1024.92,2112.77,418.89,393.5
2018-08-10,508.09,794.05,1573.4,317.57,724.0
2018-08-11,424.4,752.95,1403.73,355.81,911.9
2018-08-12,263.84,573.93,978.63,305.21,1097.1
2018-08-13,503.8,855.49,1628.2,370.55,608.3
2018-08-14,512.98,864.98,1651.45,353.1,786.4
2018-08-15,351.67,643.74,1182.62,405.37,1079.6
2018-08-16,559.11,766.84,1623.85,404.01,640.7
2018-08-17,564.26,803.38,1668.43,412.92,715.0
2018-08-18,312.88,592.8,1072.48,407.49,882.0
2018-08-19,271.04,501.75,917.22,343.72,737.1
2018-08-20,471.99,741.94,1465.02,344.67,671.6
2018-08-21,382.39,731.37,1317.49,337.59,967.8
2018-08-22,374.95,683.64,1258.04,383.45,605.1
2018-08-23,436.83,700.65,1369.9,295.68,802.9
2018-08-24,433.51,707.9,1372.5,318.74,880.7
2018-08-25,623.76,927.75,1883.94,322.11,551.2
2018-08-26,344.21,705.33,1233.08,324.41,650.8
2018-08-27,260.22,542.41,941.51,259.64,890.1
2018-08-28,624.92,1076.27,2034.24,393.03,747.0
2018-08-29,710.76,1141.66,2231.54,374.38,391.0
2018-08-30,978.31,1328.08,2827.81,507.61,453.6
2018-08-31,812.37,1295.96,2541.7,585.07,701.9
2018-09-01,503.7,1158.18,1930.22,589.64,1159.8
2018-09-02,347.74,1134.19,1667.26,617.18,1389.8
2018-09-03,728.15,1699.95,2816.07,693.85,865.1
2018-09-04,579.44,1262.07,2150.67,552.42,800.0
2018-09-05,553.4,1135.94,1984.32,479.77,841.5
2018-09-06,613.36,1017.72,1958.21,475.38,684.3
2018-09-07,569.96,949.79,1823.71,337.07,832.1
2018-09-08,365.14,811.51,1371.02,330.01,860.2
2018-09-09,220.72,654.59,992.82,353.06,1162.5
2018-09-10,325.92,654.22,1153.48,421.79,1098.4
2018-09-11,343.11,668.83,1194.87,444.96,931.5
2018-09-12,1068.1,1364.72,3002.18,350.58,510.9
2018-09-13,1093.38,1194.02,2870.85,452.81,428.9
2018-09-14,466.28,891.1,1606.01,330.03,802.2
2018-09-15,403.0,804.6,1422.82,431.05,919.1
2018-09-16,237.23,676.03,1039.69,406.83,1196.1
2018-09-17,355.07,846.54,1409.34,440.0,1462.9
2018-09-18,304.93,595.9,1082.98,449.91,1367.2
2018-09-19,317.05,586.89,1090.4,541.9,1278.1
2018-09-20,316.5,563.2,1062.58,589.98,1310.7
2018-09-21,344.7,579.19,1119.19,301.25,1276.4
2018-09-22,472.43,895.23,1628.51,341.13,692.4
2018-09-23,455.03,926.99,1630.55,223.99,646.9
2018-09-24,1243.37,1359.36,3268.72,366.68,282.6
2018-09-25,1512.47,1452.52,3773.53,545.58,453.1
2018-09-26,1013.25,1557.7,3111.6,543.82,571.1
2018-09-27,1216.55,1685.36,3551.53,574.19,587.3
2018-09-28,711.78,1134.29,2225.77,444.38,667.7
2018-09-29,1083.7,1462.4,3124.23,574.58,476.3
2018-09-30,492.16,1020.87,1775.67,357.28,573.3
2018-10-01,718.64,1029.03,2130.93,317.3,623.8
2018-10-02,510.1,853.18,1635.52,375.19,668.8
2018-10-03,944.03,1147.6,2595.02,536.02,268.7
2018-10-04,646.96,864.12,1855.91,434.94,402.85
2018-10-05,832.72,1351.72,2627.48,752.36,436.5
2018-10-06,575.54,1050.98,1931.87,434.85,590.6
2018-10-07,540.34,1011.65,1840.24,320.19,677.5
2018-10-08,565.74,995.73,1863.05,339.6,846.7
2018-10-09,911.31,1404.64,2801.86,511.02,657.5
2018-10-10,984.87,1639.72,3149.81,1119.79,437.1
2018-10-11,318.91,689.65,1178.8,447.08,1194.1
2018-10-12,258.49,509.0,904.86,405.76,1361.3
2018-10-13,238.52,530.05,895.86,443.16,1320.3
2018-10-14,410.86,859.57,1489.7,232.44,902.8
2018-10-15,1077.32,1293.48,2945.26,435.59,269.0
2018-10-16,574.22,826.83,1707.5,551.61,784.1
2018-10-17,981.23,1312.61,2817.09,428.51,308.95
2018-10-18,847.65,1261.72,2561.65,434.88,455.6
2018-10-19,2863.62,1891.01,6282.27,676.18,20.47
2018-10-20,2666.98,1768.66,5858.68,801.4,165.4
2018-10-21,2039.99,1494.27,4622.75,478.18,309.75
2018-10-22,1976.82,1505.44,4536.95,440.39,454.1
2018-10-23,1751.75,1397.85,4084.28,467.03,598.45
2018-10-24,1732.01,1423.71,4079.9,510.18,742.8
2018-10-25,1555.68,1328.95,3714.58,457.04,887.15
2018-10-26,1261.38,1207.24,3141.43,255.54,1031.5
2018-10-27,992.1,1025.86,2547.31,191.46,1175.85
2018-10-28,853.52,1015.0,2323.78,204.77,1320.2
2018-10-29,869.59,1156.1,2489.56,270.35,1135.63
2018-10-30,706.8,959.38,2043.18,289.07,395.5
2018-10-31,1270.11,1406.72,3354.25,482.95,366.4
2018-11-01,1320.86,1395.31,3420.52,394.42,18.9
2018-11-02,1646.64,1645.62,4170.26,613.06,161.4
2018-11-03,466.86,1170.71,1886.65,543.94,694.1
2018-11-04,389.49,896.05,1493.37,551.37,752.2
2018-11-05,1825.49,1275.6,4074.85,1142.4,-6.5
2018-11-06,664.01,949.46,1967.36,548.02,416.0
2018-11-07,361.3,675.66,1229.56,227.91,963.2
2018-11-08,416.28,930.69,1569.5,349.3,901.4
2018-11-09,459.38,801.74,1506.01,382.78,826.4
2018-11-10,488.04,966.11,1714.35,450.51,927.8
2018-11-11,335.06,813.86,1327.57,323.91,957.7
2018-11-12,539.05,1005.87,1832.21,404.14,779.6
2018-11-13,565.51,1063.29,1930.22,471.17,868.7
2018-11-14,926.01,1209.54,2629.42,561.98,526.1
2018-11-15,989.11,1060.13,2576.77,740.7,249.3
2018-11-16,899.13,944.66,2323.18,474.34,93.0
2018-11-17,735.19,1153.27,2280.83,688.19,93.7
2018-11-18,559.26,1143.26,2000.83,570.48,391.0
2018-11-19,588.47,953.68,1855.95,312.57,640.6
2018-11-20,876.16,1177.25,2520.66,370.71,321.2
2018-11-21,1228.15,1336.97,3220.12,666.89,172.0
2018-11-22,3654.56,1886.01,7489.48,1317.67,-83.4
2018-11-23,1448.4,1510.6,3731.58,1089.44,-93.2
2018-11-24,868.63,1403.09,2735.06,824.17,90.5
2018-11-25,665.82,1177.51,2198.23,596.5,272.3
2018-11-26,1197.41,1465.05,3300.87,427.7,184.8
2018-11-27,896.89,1255.52,2630.45,482.28,282.4
2018-11-28,375.31,864.04,1439.45,313.22,1232.15
2018-11-29,330.38,771.12,1277.75,356.52,1510.2
2018-11-30,676.33,1234.06,2271.34,477.65,1086.0
2018-12-01,411.92,950.96,1582.41,318.16,1164.1
2018-12-02,229.01,575.72,927.41,172.53,1305.7
2018-12-03,532.73,1051.68,1868.44,406.16,961.0
2018-12-04,1458.26,1623.88,3860.07,495.73,155.2
2018-12-05,699.34,1084.39,2156.77,368.21,616.8
2018-12-06,436.51,927.97,1597.22,306.34,1109.4
2018-12-07,411.25,801.57,1432.44,267.94,1392.8
2018-12-08,237.42,547.53,911.9,401.35,1555.3
2018-12-09,343.61,817.41,1344.18,213.62,1007.5
2018-12-10,1004.77,1479.76,3020.39,407.56,312.5
2018-12-11,1915.91,1721.19,4658.97,773.12,98.0
2018-12-12,611.75,1222.67,2160.77,613.34,549.7
2018-12-13,977.59,1312.73,2811.74,630.27,113.55
2018-12-14,1784.7,1632.4,4369.4,840.72,58.2
2018-12-15,396.18,807.98,1415.34,535.29,617.1
2018-12-16,570.02,1253.6,2127.62,379.99,822.6
2018-12-17,757.42,1232.48,2393.89,447.17,749.7
2018-12-18,353.63,806.24,1348.6,423.1,1102.5
2018-12-19,606.94,1211.36,2142.16,320.01,1017.1
2018-12-20,503.88,1046.2,1818.83,394.29,1185.3
2018-12-21,344.38,744.89,1273.11,464.31,1292.0
2018-12-22,435.74,931.28,1599.72,415.9,1103.7
2018-12-23,419.47,968.68,1611.91,261.42,747.2
2018-12-24,1633.52,1656.43,4161.44,604.39,203.3
2018-12-25,1107.94,1277.3,2976.08,566.59,135.6
2018-12-26,571.96,1143.45,2020.39,504.21,242.2
2018-12-27,2929.28,1826.54,6318.12,968.82,-48.9
2018-12-28,1435.08,1475.66,3675.91,721.74,3.65
2018-12-29,522.22,1021.36,1822.37,409.42,637.8
2018-12-30,466.08,1064.19,1778.79,289.59,414.5
2018-12-31,443.64,1065.28,1745.43,253.34,725.4
2019-01-01,336.66,932.9,1449.14,403.37,856.4
2019-01-02,666.22,1432.5,2454.15,494.12,618.9
2019-01-03,926.02,1744.94,3164.88,497.32,492.6
2019-01-04,1312.57,1916.41,3928.66,703.23,58.9
2019-01-05,705.2,1522.08,2603.23,650.48,236.8
2019-01-06,650.71,1453.01,2450.7,655.13,212.9
2019-01-07,475.53,1106.25,1835.25,573.58,700.2
2019-01-08,619.45,1290.08,2239.96,625.79,607.7
2019-01-09,714.05,1409.98,2504.95,390.09,473.7
2019-01-10,1800.58,1880.18,4641.13,844.42,39.9
2019-01-11,1463.89,1831.51,4075.97,667.98,74.5
2019-01-12,436.05,1042.32,1710.86,312.78,784.1
2019-01-13,225.6,651.66,997.33,284.59,1113.3
2019-01-14,667.14,1350.53,2373.71,428.03,616.2
2019-01-15,548.56,1177.76,2018.73,352.5,862.8
2019-01-16,585.56,1132.92,2030.98,306.27,942.2
2019-01-17,971.09,1610.37,3099.29,382.89,404.2
2019-01-18,1182.24,1669.92,3482.74,654.98,490.9
2019-01-19,483.03,1040.07,1780.66,667.48,708.85
2019-01-20,1341.66,1828.85,3886.06,919.01,126.5
2019-01-21,2187.22,1835.79,5189.52,1078.3,251.75
2019-01-22,1037.2,1662.53,3253.03,414.95,540.2
2019-01-23,1590.18,1881.88,4319.82,507.41,335.2
2019-01-24,2447.05,2272.26,6024.34,842.12,-57.7
2019-01-25,1233.21,1658.49,3549.49,575.93,140.4
2019-01-26,316.09,802.77,1287.57,381.51,1146.7
2019-01-27,312.55,685.64,1164.89,305.14,1036.4
2019-01-28,1071.23,1579.8,3222.42,507.06,513.9
2019-01-29,1069.55,1826.47,3466.54,616.4,313.3
2019-01-30,1613.96,1903.7,4378.14,491.04,281.9
2019-01-31,2008.8,1759.1,4839.46,722.84,365.9
2019-02-01,953.85,1474.64,2936.97,431.88,435.5
2019-02-02,650.99,1167.27,2165.36,405.83,562.8
2019-02-03,683.16,1266.36,2313.87,480.43,583.0
2019-02-04,934.12,1260.76,2692.81,387.3,657.6
2019-02-05,882.38,1314.03,2667.26,457.54,391.3
2019-02-06,771.83,1306.41,2489.58,469.99,656.4
2019-02-07,426.98,814.22,1469.23,393.86,1358.1
2019-02-08,404.98,740.68,1361.48,395.61,1389.1
2019-02-09,321.33,629.07,1121.73,445.64,1493.8
2019-02-10,377.54,913.38,1492.25,207.59,962.9
2019-02-11,1172.73,1690.78,3488.92,455.14,340.1
2019-02-12,952.37,1559.36,3019.61,584.33,567.9
2019-02-13,848.53,1387.98,2689.09,704.97,585.1
2019-02-14,1886.36,1969.22,4861.59,1003.91,155.3
2019-02-15,1614.55,2002.53,4478.05,1205.07,212.0
2019-02-16,722.95,1526.34,2635.03,974.31,406.5
2019-02-17,343.68,1016.9,1543.78,860.62,1095.6
2019-02-18,680.58,1324.96,2368.53,679.77,921.7
2019-02-19,578.13,1126.62,2013.13,535.99,1149.4
2019-02-20,555.3,1080.29,1931.58,573.54,1089.1
