MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2019-02-24,1030.3,1469.7,3049.8,922.05
2019-02-25,1330.25,1934.75,3974.6,1007.8
2019-02-26,1405.65,2045.95,4200.7,1132.7
2019-02-27,2731.15,2356.8,6544.45,1443.55
2019-02-28,1039.35,1288.05,2881.7,769.7
2019-03-01,618.7,1088.8,2037.8,703.2
2019-03-02,309.85,640.15,1115.0,388.85
2019-03-03,146.85,427.55,652.6,272.3
2019-03-04,362.7,588.4,1144.75,251.0
2019-03-05,349.85,707.7,1244.25,282.25
2019-03-06,205.75,534.85,849.95,306.95
2019-03-07,321.85,522.85,1016.35,168.0
2019-03-08,498.7,811.0,1575.7,259.45
2019-03-09,285.85,611.55,1049.3,420.55
2019-03-10,179.1,447.4,721.8,139.6
2019-03-11,278.6,552.65,979.75,293.65
2019-03-12,226.55,523.15,870.65,216.4
2019-03-13,221.8,394.95,734.9,318.85
2019-03-14,237.55,480.3,844.2,266.9
2019-03-15,304.65,497.25,964.3,177.25
2019-03-16,146.35,305.5,529.85,246.5
2019-03-17,289.4,489.15,933.05,122.55
2019-03-18,707.25,1021.3,2106.05,366.3
2019-03-19,556.35,1122.55,1975.5,411.95
2019-03-20,448.95,783.7,1471.75,286.55
2019-03-21,506.45,788.0,1564.35,379.1
2019-03-22,429.55,816.7,1475.4,384.35
2019-03-23,135.78,658.85,867.08,433.5
2019-03-24,309.8,736.6,1211.65,446.45
2019-03-25,256.15,702.6,1095.85,393.35
2019-03-26,800.15,1267.15,2494.5,569.8
2019-03-27,595.7,1210.45,2123.95,430.95
2019-03-28,398.15,1319.7,1930.45,643.2
2019-03-29,899.2,1521.05,2899.8,901.45
2019-03-30,901.6,1287.4,2670.1,1117.2
2019-03-31,47.77,265.83,339.2,657.55
2019-04-01,102.2,568.0,724.45,496.15
2019-04-02,820.45,1209.35,2467.35,559.0
2019-04-03,707.2,1137.4,2221.85,363.4
2019-04-04,164.8,701.7,954.45,239.75
2019-04-05,83.7,519.95,648.15,336.5
2019-04-06,62.35,332.65,428.25,390.15
2019-04-07,128.5,389.85,586.9,919.25
2019-04-08,534.8,966.15,1786.1,994.45
2019-04-09,106.7,524.65,688.5,799.05
2019-04-10,66.25,296.8,398.45,418.0
2019-04-11,86.35,462.95,595.35,347.8
2019-04-12,75.5,449.75,565.35,358.25
2019-04-13,92.3,456.9,598.65,342.85
2019-04-14,87.05,505.1,638.8,463.8
2019-04-15,119.25,684.5,867.45,830.3
2019-04-16,465.6,1195.05,1908.6,1224.39
2019-04-17,221.9,836.1,1176.4,1224.06
2019-04-18,147.4,685.65,911.7,1175.56
2019-04-19,126.85,666.95,861.9,988.61
2019-04-20,92.9,566.9,709.55,918.51
2019-04-21,64.35,607.5,706.55,894.26
2019-04-22,68.65,827.95,933.25,1026.72
2019-04-23,139.85,917.1,1132.05,846.17
2019-04-24,238.45,812.75,1178.3,713.02
2019-04-25,175.75,485.1,754.4,415.27
2019-04-26,315.45,653.1,1136.9,389.42
2019-04-27,231.75,383.3,738.95,330.77
2019-04-28,149.8,400.95,630.95,299.12
2019-04-29,128.22,616.22,812.92,359.5
2019-04-30,220.7,951.85,1289.95,608.6
2019-05-01,407.2,930.45,1555.25,592.7
2019-05-02,275.7,612.65,1035.15,336.2
2019-05-03,324.85,661.3,1159.15,336.8
2019-05-04,142.7,337.45,556.05,298.55
2019-05-05,250.5,671.0,1054.85,432.1
2019-05-06,263.1,670.15,1073.3,317.25
2019-05-07,339.6,807.85,1328.85,456.05
2019-05-08,299.1,735.8,1194.2,305.7
2019-05-09,457.5,772.0,1473.55,374.7
2019-05-10,477.45,796.18,1528.2,391.5
2019-05-11,225.45,601.35,947.1,353.7
2019-05-12,145.75,537.4,760.9,295.1
2019-05-13,160.75,474.75,721.2,321.05
2019-05-14,89.68,373.57,510.82,351.6
2019-05-15,111.2,488.85,659.2,600.0
2019-05-16,89.02,359.92,496.1,532.85
2019-05-17,110.55,419.05,588.95,458.7
2019-05-18,315.2,747.8,1231.25,473.1
2019-05-19,184.55,599.75,882.4,518.4
2019-05-20,265.65,654.25,1061.35,478.15
2019-05-21,246.85,582.2,960.65,346.55
2019-05-22,263.05,786.4,1189.9,348.75
2019-05-23,316.75,918.35,1404.2,379.2
2019-05-24,305.4,637.3,1105.45,385.05
2019-05-25,251.25,479.3,864.45,281.75
2019-05-26,246.45,389.05,767.0,278.05
2019-05-27,229.35,418.25,770.0,286.45
2019-05-28,268.85,602.6,1015.1,175.7
2019-05-29,350.85,819.95,1358.15,281.7
2019-05-30,265.9,383.9,791.95,274.75
2019-05-31,347.25,552.25,1084.95,218.1
2019-06-01,307.95,674.85,1147.35,330.0
2019-06-02,178.5,479.55,753.2,328.75
2019-06-03,260.5,499.5,898.55,391.6
2019-06-04,209.0,782.6,1103.05,432.25
2019-06-05,284.8,552.9,989.55,292.15
2019-06-06,279.25,625.05,1053.4,278.35
2019-06-07,118.83,581.4,763.48,322.45
2019-06-08,263.6,434.75,839.0,200.4
2019-06-09,247.35,572.65,951.9,275.85
2019-06-10,200.25,493.0,799.85,212.25
2019-06-11,232.55,383.6,740.2,222.15
2019-06-12,213.25,555.1,881.8,203.85
2019-06-13,290.7,664.3,1110.0,225.45
2019-06-14,236.45,489.8,852.35,266.4
2019-06-15,220.3,534.1,872.0,259.7
2019-06-16,163.45,388.75,639.55,243.25
2019-06-17,198.2,440.75,745.0,294.85
2019-06-18,336.15,914.0,1429.25,387.3
2019-06-19,384.85,689.25,1279.65,477.95
2019-06-20,299.3,473.85,932.75,281.65
2019-06-21,395.5,682.95,1289.75,329.9
2019-06-22,195.85,536.45,836.6,310.05
2019-06-23,50.25,361.05,438.25,583.85
2019-06-24,303.75,866.7,1332.0,749.12
2019-06-25,136.55,482.85,692.35,490.98
2019-06-26,63.8,194.35,292.8,300.8
2019-06-27,56.1,195.8,281.65,343.9
2019-06-28,69.9,257.4,364.9,488.1
2019-06-29,139.65,644.65,858.9,618.25
2019-06-30,200.05,352.3,659.1,288.3
2019-07-01,253.8,380.5,769.55,216.25
2019-07-02,165.0,399.65,652.75,287.15
2019-07-03,106.7,392.0,555.6,328.95
2019-07-04,266.65,621.8,1030.65,326.85
2019-07-05,337.15,744.0,1260.7,413.6
2019-07-06,237.45,428.7,792.7,255.95
2019-07-07,91.3,318.35,458.3,265.1
2019-07-08,203.7,579.6,891.75,333.75
2019-07-09,314.35,718.05,1200.05,417.15
2019-07-10,362.95,818.8,1375.1,432.72
2019-07-11,342.95,629.3,1154.95,357.6
2019-07-12,224.1,383.95,727.15,317.01
2019-07-13,149.95,342.6,572.4,329.61
2019-07-14,72.05,223.2,333.65,325.87
2019-07-15,117.3,357.6,537.9,324.23
2019-07-16,303.65,704.7,1170.55,404.64
2019-07-17,304.55,702.8,1169.35,448.4
2019-07-18,376.48,599.55,1176.6,346.51
2019-07-19,345.95,616.3,1146.65,364.07
2019-07-20,293.25,444.75,894.4,311.83
2019-07-21,231.15,425.25,779.65,322.18
2019-07-22,289.65,512.95,957.45,382.29
2019-07-23,240.7,616.25,985.05,430.34
2019-07-24,373.6,862.8,1435.65,583.52
2019-07-25,199.45,994.95,1301.1,659.14
