MeasurementDateGMT, PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3), Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3)
2018-06-20,438.21,137.1,353.92,351.33,894.0,530.7
2018-06-21,355.41,141.4,268.32,442.65,854.05,1463.1
2018-06-22,425.76,191.4,386.52,640.15,1232.78,1382.1
2018-06-23,402.51,204.8,210.48,569.28,891.62,1570.1
2018-06-24,398.11,274.1,170.25,632.25,893.79,1847.4
2018-06-25,492.39,297.3,184.93,726.92,1010.74,2091.9
2018-06-26,537.82,259.9,181.79,683.71,962.95,1546.3
2018-06-27,508.9,273.7,288.62,669.48,1112.27,1400.4
2018-06-28,530.26,329.3,270.73,591.6,1006.87,1709.5
2018-06-29,443.85,282.5,266.08,607.3,1015.43,1671.5
2018-06-30,424.49,241.0,129.68,444.55,643.28,1976.6
2018-07-01,533.59,326.8,109.85,677.0,845.4,2398.8
2018-07-02,453.14,212.2,214.82,662.25,992.27,2160.7
2018-07-03,391.39,177.4,159.73,483.52,728.45,1947.1
2018-07-04,514.26,285.6,265.48,659.53,1066.45,1741.6
2018-07-05,631.22,414.8,312.35,917.88,1397.1,1910.1
2018-07-06,640.21,414.0,311.62,1013.2,1491.13,1964.9
2018-07-07,619.58,425.1,151.4,793.98,1026.02,1924.2
2018-07-08,426.41,341.7,121.75,664.32,851.18,1870.1
2018-07-09,504.58,160.01,334.78,845.47,1358.68,1368.8
2018-07-10,351.88,120.42,340.87,484.2,1006.6,1250.0
2018-07-11,399.42,217.22,331.76,559.12,1067.67,1350.85
2018-07-12,520.12,299.21,353.82,813.6,1355.68,1352.7
2018-07-13,483.14,331.8,262.83,771.7,1174.95,1523.1
2018-07-14,444.79,303.4,148.12,543.28,771.6,1994.4
2018-07-15,378.55,264.6,198.7,681.35,986.05,1956.7
2018-07-16,515.1,248.5,321.52,791.03,1283.97,1695.1
2018-07-17,542.82,140.1,248.25,417.92,798.55,1351.4
2018-07-18,413.85,168.2,264.65,523.18,928.88,1410.1
2018-07-19,469.34,221.9,240.15,731.53,1099.6,1366.9
2018-07-20,463.51,261.3,193.5,669.65,966.13,1737.2
2018-07-21,517.83,370.0,172.45,685.75,950.22,2107.0
2018-07-22,357.03,255.5,141.05,519.08,735.55,1450.1
2018-07-23,540.21,205.4,213.6,518.9,846.5,1510.7
2018-07-24,571.45,220.7,182.42,463.25,743.05,1640.1
2018-07-25,569.66,251.8,304.83,778.02,1245.5,1582.5
2018-07-26,749.75,427.9,152.82,758.65,993.23,1961.8
2018-07-27,666.01,323.6,251.23,804.62,1189.82,1548.1
2018-07-28,637.85,173.0,64.68,205.8,305.0,1333.7
2018-07-29,208.14,113.8,58.3,166.88,256.18,962.7
2018-07-30,287.27,133.2,164.12,263.5,515.48,747.6
2018-07-31,282.79,151.6,190.3,391.1,683.08,1161.2
2018-08-01,360.99,171.8,249.85,489.05,872.22,1158.6
2018-08-02,376.79,204.7,225.76,561.04,907.34,1190.25
2018-08-03,440.15,232.0,377.5,866.38,1445.5,1317.4
2018-08-04,307.55,189.8,180.85,538.72,815.9,1244.5
2018-08-05,330.25,216.7,98.7,438.52,589.4,1495.6
2018-08-06,449.24,277.4,211.3,746.25,1070.25,1925.7
2018-08-07,512.15,294.0,200.68,754.3,1061.97,1730.3
2018-08-08,330.59,137.2,193.25,402.43,698.6,1304.2
2018-08-09,328.9,205.5,504.0,828.35,1600.98,450.1
2018-08-10,236.95,130.9,233.9,498.25,856.97,738.8
2018-08-11,250.21,155.3,200.05,444.25,750.78,836.4
2018-08-12,231.39,141.9,64.38,235.32,333.85,1082.6
2018-08-13,297.86,154.1,244.7,508.5,883.38,782.1
2018-08-14,286.55,170.2,290.58,597.25,1042.9,884.5
2018-08-15,336.04,167.2,154.57,337.25,574.38,1109.2
2018-08-16,299.06,161.3,223.62,444.3,786.92,733.0
2018-08-17,320.3,163.9,290.77,497.22,943.1,759.1
2018-08-18,317.42,203.2,112.85,278.25,451.22,933.3
2018-08-19,275.55,175.9,81.1,261.67,385.88,750.8
2018-08-20,285.15,161.2,250.68,489.7,874.1,720.3
2018-08-21,278.42,159.7,206.85,500.5,817.5,952.5
2018-08-22,355.53,172.9,236.54,443.05,805.79,612.4
2018-08-23,265.08,158.3,195.65,388.48,688.27,810.3
2018-08-24,290.46,123.9,239.6,446.28,813.72,915.7
2018-08-25,232.2,138.4,265.62,535.75,942.68,769.6
2018-08-26,232.84,145.8,133.73,385.85,591.0,652.3
2018-08-27,199.26,125.8,112.82,329.4,502.55,824.8
2018-08-28,287.91,180.0,328.7,655.25,1159.4,727.6
2018-08-29,315.02,228.3,395.95,773.05,1379.98,600.85
2018-08-30,405.36,219.3,592.3,888.79,1796.99,706.1
2018-08-31,421.62,283.8,584.85,890.53,1787.32,728.3
2018-09-01,410.16,268.8,352.5,742.92,1283.2,1196.3
2018-09-02,475.58,352.6,250.88,781.65,1166.25,1346.7
2018-09-03,569.51,409.4,497.3,1231.8,1994.28,1268.7
2018-09-04,445.86,302.5,359.0,807.43,1358.05,1234.4
2018-09-05,432.81,282.7,367.8,736.6,1300.62,1383.0
2018-09-06,451.59,262.4,403.75,738.85,1357.55,902.3
2018-09-07,284.71,158.3,304.15,694.2,1160.25,891.5
2018-09-08,250.15,162.2,124.7,415.55,606.33,991.2
2018-09-09,267.46,168.8,70.25,350.2,457.9,1286.7
2018-09-10,365.19,187.0,189.7,386.74,677.59,1195.45
2018-09-11,352.72,195.9,118.02,305.58,486.82,1104.4
2018-09-12,313.35,157.5,906.9,881.5,2271.7,813.6
2018-09-13,373.96,213.25,1000.85,860.58,2396.85,478.9
2018-09-14,270.14,148.1,248.85,578.1,959.68,851.6
2018-09-15,332.75,187.0,203.95,445.38,758.35,962.4
2018-09-16,334.78,183.7,66.33,295.45,397.43,1351.3
2018-09-17,364.81,201.0,139.62,451.18,665.27,1576.7
2018-09-18,451.25,208.9,120.4,259.82,444.68,1493.7
2018-09-19,446.88,220.9,127.13,246.52,441.38,1333.8
2018-09-20,461.84,214.8,109.9,215.58,384.45,1404.2
2018-09-21,207.16,145.8,195.67,365.4,665.2,1259.8
2018-09-22,278.69,179.1,255.08,621.08,1012.22,851.2
2018-09-23,207.62,153.5,206.02,597.48,913.5,931.8
2018-09-24,339.96,190.2,1060.22,984.35,2610.05,519.9
2018-09-25,384.6,264.0,1232.35,954.8,2844.42,554.8
2018-09-26,413.18,246.6,590.46,1023.85,1929.3,671.8
2018-09-27,521.45,293.7,834.97,1189.88,2470.35,661.0
2018-09-28,409.48,159.7,386.8,719.78,1312.73,1036.5
2018-09-29,464.44,259.2,878.98,1113.2,2460.78,495.2
2018-09-30,339.7,230.6,313.75,684.2,1165.35,820.6
2018-10-01,289.69,159.0,370.9,633.45,1201.88,945.6
2018-10-02,276.23,118.9,249.6,506.13,888.48,1041.1
2018-10-03,374.95,198.0,818.95,802.45,2058.1,544.0
2018-10-04,353.66,219.3,305.42,476.22,944.58,477.2
2018-10-05,567.35,357.0,522.78,897.5,1698.9,502.5
2018-10-06,328.91,234.5,383.0,765.18,1353.12,833.2
2018-10-07,293.15,155.4,358.55,772.42,1322.22,764.0
2018-10-08,276.88,150.7,456.32,689.15,1388.52,942.4
2018-10-09,364.7,207.7,765.88,864.4,2038.7,877.2
2018-10-10,873.14,653.7,1007.98,1439.98,3000.22,474.0
2018-10-11,353.69,232.0,124.78,395.05,586.3,1250.6
2018-10-12,319.44,160.7,76.78,237.08,355.22,1455.5
2018-10-13,322.01,224.2,71.1,274.15,383.3,1427.6
2018-10-14,152.73,137.6,173.12,484.51,750.02,1274.4
2018-10-15,215.06,243.0,282.67,704.83,1138.36,576.3
2018-10-16,360.22,341.3,407.39,695.86,1321.11,843.5
2018-10-17,402.92,212.8,711.01,1035.29,2126.15,428.5
2018-10-18,423.79,241.8,648.8,937.08,1931.75,772.0
2018-10-19,567.12,297.3,1954.1,1348.82,4344.95,338.2
2018-10-20,618.6,430.57,1371.5,942.95,3045.82,320.0
2018-10-21,440.86,378.2,471.3,738.05,1460.55,475.1
2018-10-22,443.06,250.31,992.78,983.65,2506.2,821.8
2018-10-23,407.35,149.49,475.13,818.18,1546.6,621.4
2018-10-24,459.67,130.69,864.98,949.55,2275.5,422.8
2018-10-25,409.11,117.45,573.68,852.85,1732.55,765.9
2018-10-26,266.6,108.33,344.8,750.05,1278.6,976.6
2018-10-27,202.86,112.9,286.13,566.05,1003.32,1019.6
2018-10-28,187.7,102.3,220.08,581.67,919.33,1091.8
2018-10-29,297.05,110.8,653.52,901.02,1903.2,822.4
2018-10-30,285.08,204.9,428.4,700.4,1357.43,578.8
2018-10-31,407.18,304.6,1224.42,1038.85,2916.35,439.1
2018-11-01,366.48,265.0,1048.61,1112.94,2720.65,141.9
2018-11-02,581.78,244.0,1781.52,1287.12,4018.67,245.2
2018-11-03,389.55,264.5,369.02,736.68,1302.57,886.1
2018-11-04,502.7,441.9,176.73,556.35,827.45,921.3
2018-11-05,1040.16,756.8,1803.48,1178.55,3943.9,54.9
2018-11-06,499.62,366.0,783.59,657.62,1859.53,478.4
2018-11-07,197.65,109.1,142.64,342.71,561.5,1075.8
2018-11-08,339.18,142.9,197.75,565.8,869.15,1045.0
2018-11-09,362.24,161.9,343.08,545.88,1072.15,995.6
2018-11-10,316.31,133.8,238.8,547.52,914.53,1158.9
2018-11-11,242.76,92.7,142.02,424.92,643.0,1159.7
2018-11-12,301.01,109.0,231.42,556.98,911.78,1047.0
2018-11-13,378.33,130.5,327.78,676.12,1178.68,1184.7
2018-11-14,445.31,175.7,752.7,836.5,1990.52,786.8
2018-11-15,554.85,434.8,808.08,808.37,2047.35,250.9
2018-11-16,384.46,299.9,466.07,769.59,1484.03,136.8
2018-11-17,541.31,480.0,368.05,1010.1,1574.25,159.7
2018-11-18,490.71,342.3,312.35,942.53,1421.3,572.4
2018-11-19,279.18,129.3,443.45,729.75,1409.75,892.6
2018-11-20,334.86,275.3,650.48,944.18,1941.72,517.8
2018-11-21,456.59,448.0,716.72,993.0,2092.0,202.7
2018-11-22,1002.72,989.6,3534.78,1474.2,6893.98,-2.5
2018-11-23,820.53,841.8,976.75,1239.68,2737.18,16.8
2018-11-24,643.67,612.4,547.8,1153.4,1993.33,236.1
2018-11-25,542.96,455.5,379.75,850.42,1432.85,413.6
2018-11-26,442.4,278.5,889.42,1074.2,2437.98,402.0
2018-11-27,374.41,284.0,449.4,849.2,1538.38,351.5
2018-11-28,233.23,110.9,159.6,429.6,674.3,1295.1
2018-11-29,280.44,130.1,136.32,352.25,561.28,1483.8
2018-11-30,352.56,126.5,366.45,742.19,1303.91,1210.5
2018-12-01,220.76,94.9,171.6,451.65,714.52,1267.5
2018-12-02,163.24,73.9,128.68,324.75,522.22,1261.0
2018-12-03,320.41,172.4,358.62,731.34,1281.2,1098.0
2018-12-04,392.19,189.2,1331.73,1304.18,3346.18,156.1
2018-12-05,267.71,144.6,344.42,694.97,1223.25,746.4
2018-12-06,241.52,98.6,388.37,618.72,1214.72,1180.6
2018-12-07,235.32,89.3,270.52,537.97,953.15,1401.3
2018-12-08,319.79,152.4,137.02,366.38,576.15,1582.7
2018-12-09,195.14,104.45,226.82,615.95,963.75,1239.5
2018-12-10,375.76,179.47,737.1,1196.71,2327.07,459.4
2018-12-11,590.98,366.03,1938.0,1425.95,4397.6,139.0
2018-12-12,391.71,326.8,225.28,867.38,1212.72,633.8
2018-12-13,428.02,386.9,590.25,1087.88,1992.68,220.7
2018-12-14,626.3,491.88,1653.98,1322.52,3858.45,108.6
2018-12-15,389.05,321.77,113.12,519.08,692.75,742.2
2018-12-16,264.52,99.1,333.43,744.85,1256.18,1129.6
2018-12-17,308.16,108.05,611.17,904.6,1842.0,894.4
2018-12-18,299.05,151.7,125.0,383.93,575.75,1300.6
2018-12-19,217.87,84.9,325.2,673.82,1172.6,1283.9
2018-12-20,297.72,110.2,372.4,670.3,1241.4,1381.1
2018-12-21,383.84,179.1,192.82,448.4,744.05,1434.8
2018-12-22,347.83,154.4,263.58,676.5,1080.75,1219.7
2018-12-23,218.23,99.4,226.48,636.5,983.62,929.4
2018-12-24,511.67,423.9,1598.8,1254.95,3708.48,328.0
2018-12-25,472.69,409.6,1155.35,931.8,2703.38,268.6
2018-12-26,403.79,356.9,489.85,741.0,1492.22,334.9
2018-12-27,755.11,787.0,2870.8,1207.27,5609.28,3.5
2018-12-28,574.82,581.2,1274.68,1039.3,2993.65,56.0
2018-12-29,342.54,241.1,455.8,773.62,1472.32,631.4
2018-12-30,275.66,204.9,244.32,717.18,1091.8,603.8
2018-12-31,252.06,176.9,218.4,598.53,933.27,1160.9
2019-01-01,281.98,187.8,159.65,560.93,805.85,1168.4
2019-01-02,350.25,184.8,441.55,985.08,1661.98,1097.6
2019-01-03,500.79,248.1,568.12,1158.78,2029.55,1081.6
2019-01-04,758.24,614.6,785.47,1317.95,2522.38,467.8
2019-01-05,549.76,513.1,348.92,1050.23,1585.4,590.4
2019-01-06,527.81,395.5,335.05,1003.2,1517.2,475.6
2019-01-07,405.69,313.7,289.05,767.5,1210.53,844.1
2019-01-08,568.41,235.2,465.65,841.38,1555.28,1045.1
2019-01-09,435.94,214.8,527.09,990.45,1798.49,822.1
2019-01-10,781.0,576.0,1309.88,1372.82,3381.4,134.9
2019-01-11,566.2,438.7,840.02,1251.15,2539.4,287.5
2019-01-12,271.52,136.1,174.83,625.1,893.0,963.0
2019-01-13,302.29,135.9,89.82,373.38,510.88,1301.7
2019-01-14,460.42,183.1,443.98,876.55,1557.18,1015.5
2019-01-15,331.18,142.8,435.2,835.28,1502.6,991.3
2019-01-16,264.73,130.1,338.38,700.15,1218.8,1165.5
2019-01-17,391.72,183.2,685.42,1092.8,2143.32,714.3
2019-01-18,455.5,287.5,822.5,1074.53,2335.85,550.0
2019-01-19,408.94,322.5,141.02,563.65,779.9,918.0
2019-01-20,755.51,665.7,1083.97,1304.72,2966.75,329.5
2019-01-21,950.06,820.0,1875.42,1199.53,4075.25,335.5
2019-01-22,343.64,207.1,875.4,1204.4,2546.6,764.5
2019-01-23,442.83,395.3,1540.93,1346.1,3708.65,609.5
2019-01-24,712.7,710.8,2400.07,1594.68,5274.83,10.0
2019-01-25,464.41,373.3,801.28,1169.47,2399.65,260.5
