MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2019-01-18,1855.69,1555.51,4400.8,692.38
2019-01-19,630.95,879.7,1847.02,500.25
2019-01-20,1730.48,1525.32,4178.55,854.0
2019-01-21,2958.05,1635.05,6170.85,1013.25
2019-01-22,1570.66,1532.7,3940.89,408.12
2019-01-23,1870.78,1518.65,4387.75,501.75
2019-01-24,3859.0,2080.65,7997.98,840.5
2019-01-25,1564.25,1416.78,3814.75,490.0
2019-01-26,398.1,650.17,1260.58,244.25
2019-01-27,306.48,470.88,941.03,311.5
2019-01-28,1627.45,1462.78,3958.42,653.75
2019-01-29,1931.75,1841.25,4803.42,617.75
2019-01-30,2746.58,1894.38,6106.2,556.25
2019-01-31,2261.72,1393.78,4861.5,619.25
2019-02-01,656.42,1088.4,2094.75,368.0
2019-02-02,583.85,884.92,1780.15,470.25
2019-02-03,971.38,1208.97,2698.22,446.38
2019-02-04,1061.22,1041.65,2668.73,298.5
2019-02-05,1170.58,1148.53,2943.22,354.0
2019-02-06,1133.95,1282.22,3021.0,413.5
2019-02-07,482.33,750.6,1490.29,380.75
2019-02-08,323.95,537.25,1033.75,321.0
2019-02-09,342.52,570.2,1095.5,371.75
2019-02-10,514.68,891.5,1680.32,192.25
2019-02-11,1876.15,1568.4,4445.14,599.0
2019-02-12,1135.8,1373.84,3115.47,563.38
2019-02-13,1426.0,1392.2,3578.88,669.75
2019-02-14,3325.45,1958.0,7056.95,1012.0
2019-02-15,3421.92,2040.65,7287.7,1140.75
2019-02-16,1204.85,1383.65,3231.05,799.0
2019-02-17,563.35,960.48,1824.42,782.0
2019-02-18,834.05,1229.68,2508.48,470.25
2019-02-19,750.1,1076.58,2226.78,526.0
2019-02-20,698.2,1038.66,2109.33,510.12
2019-02-21,873.55,1269.23,2608.77,680.25
2019-02-22,1566.07,1448.0,3849.35,744.5
2019-02-23,1559.22,1495.33,3885.85,893.25
2019-02-24,2254.2,1679.13,5135.4,1035.25
2019-02-25,3438.45,2196.9,7469.2,1212.5
2019-02-26,3668.22,2286.2,7910.52,1300.38
2019-02-27,3654.6,2174.3,7777.78,1506.25
2019-02-28,1056.15,1389.25,3008.6,752.0
2019-03-01,1324.48,1472.93,3503.8,874.75
2019-03-02,483.6,768.6,1510.3,491.0
2019-03-03,214.75,439.25,768.52,365.0
2019-03-04,544.89,788.66,1624.0,305.0
2019-03-05,578.12,904.3,1791.05,410.0
2019-03-06,419.45,655.42,1298.68,455.5
2019-03-07,407.95,628.18,1253.3,369.75
2019-03-08,713.85,939.75,2034.38,383.25
2019-03-09,415.45,736.2,1373.12,544.75
2019-03-10,288.0,553.42,995.15,292.0
2019-03-11,566.13,798.5,1666.52,489.5
2019-03-12,448.18,712.78,1399.92,272.5
2019-03-13,463.7,660.97,1371.85,524.0
2019-03-14,457.38,733.95,1435.32,403.25
2019-03-15,363.55,537.85,1095.15,289.25
2019-03-16,245.6,409.75,786.38,351.52
2019-03-17,401.65,689.1,1305.25,356.74
2019-03-18,1266.07,1400.16,3341.56,559.99
2019-03-19,925.2,1160.07,2578.7,576.25
2019-03-20,673.82,1036.25,2069.33,526.25
2019-03-21,1229.97,1191.32,3077.23,607.5
2019-03-22,815.42,1084.42,2334.45,555.25
2019-03-23,606.95,1056.2,1986.82,585.75
2019-03-24,757.48,1190.72,2351.8,620.0
2019-03-25,634.1,947.55,1919.8,535.5
2019-03-26,1608.13,1683.6,4149.58,821.25
2019-03-27,1631.25,1727.1,4228.08,699.01
2019-03-28,1769.53,1855.65,4568.98,803.87
2019-03-29,2134.18,1912.82,5185.35,1003.89
2019-03-30,1448.52,1510.1,3731.18,1004.37
2019-03-31,215.85,667.27,998.45,875.85
2019-04-01,572.58,1051.65,1929.9,710.14
2019-04-02,1314.72,1444.92,3460.8,683.12
2019-04-03,1589.5,1581.15,4018.5,568.25
2019-04-04,514.4,897.45,1686.1,360.75
2019-04-05,408.8,841.24,1468.13,504.5
2019-04-06,395.9,924.55,1531.4,574.12
2019-04-07,470.6,822.68,1544.48,1113.0
2019-04-08,1435.05,1566.65,3767.1,1254.5
2019-04-09,706.65,1232.03,2315.28,991.0
2019-04-10,360.72,747.68,1300.58,530.75
2019-04-11,709.68,1076.57,2164.7,503.5
2019-04-12,1109.22,1301.23,3002.3,574.5
2019-04-13,484.18,1030.6,1773.2,415.75
2019-04-14,412.95,898.75,1531.32,525.25
2019-04-15,352.85,943.88,1484.85,898.88
2019-04-16,1565.5,1919.8,4320.22,1488.25
2019-04-17,1210.4,1581.6,3437.6,1371.0
2019-04-18,600.55,1432.55,2353.32,1309.0
2019-04-19,756.82,1483.98,2644.3,943.25
2019-04-20,626.02,1297.05,2256.58,878.0
2019-04-21,340.72,1266.47,1788.95,920.0
2019-04-22,316.4,1397.52,1882.55,1156.75
2019-04-23,811.62,1871.0,3115.68,1234.25
2019-04-24,644.55,1103.98,2092.28,844.0
2019-04-25,429.55,855.4,1514.1,378.25
2019-04-26,580.58,895.85,1785.78,439.5
2019-04-27,336.92,593.75,1110.27,475.25
2019-04-28,343.35,630.62,1157.1,377.25
2019-04-29,908.39,1257.85,2650.64,573.5
2019-04-30,821.35,1290.3,2549.78,648.75
2019-05-01,951.38,1340.2,2798.95,652.75
2019-05-02,978.38,1126.68,2626.92,477.0
2019-05-03,1032.9,1135.55,2719.52,536.75
2019-05-04,308.35,495.65,968.48,384.0
2019-05-05,428.5,825.72,1482.52,470.0
2019-05-06,503.52,928.4,1700.6,373.0
2019-05-07,696.28,1092.58,2160.2,462.62
2019-05-08,538.7,899.72,1725.58,458.0
2019-05-09,1144.18,1245.2,2999.5,537.0
2019-05-10,922.35,1248.28,2662.35,497.5
2019-05-11,728.7,1050.9,2168.32,564.5
2019-05-12,597.6,933.2,1849.78,380.25
2019-05-13,763.82,1017.5,2188.55,427.0
2019-05-14,482.12,891.78,1630.8,476.5
2019-05-15,532.02,1079.12,1894.72,656.75
2019-05-16,465.72,961.4,1675.5,581.38
2019-05-17,671.87,1087.65,2117.92,643.75
2019-05-18,925.55,1282.32,2701.65,642.25
2019-05-19,1064.65,1365.9,2998.28,687.5
2019-05-20,864.68,1247.78,2573.43,590.75
2019-05-21,803.82,1214.32,2446.88,478.0
2019-05-22,870.45,1328.57,2663.58,468.0
2019-05-23,691.62,1281.47,2341.9,447.25
2019-05-24,869.3,1213.12,2545.9,546.0
2019-05-25,536.4,860.48,1682.75,407.75
2019-05-26,302.2,479.1,942.3,344.0
2019-05-27,346.52,581.88,1112.92,400.5
2019-05-28,777.82,955.6,2147.82,389.75
2019-05-29,724.49,956.97,2068.33,422.5
2019-05-30,641.44,808.53,1793.1,481.12
2019-05-31,667.06,818.56,1841.94,330.0
2019-06-01,572.17,951.08,1828.43,361.25
2019-06-02,275.82,604.12,1026.8,384.25
2019-06-03,417.18,672.92,1312.3,425.5
2019-06-04,732.85,1011.32,2135.02,514.25
2019-06-05,516.67,790.88,1583.18,358.5
2019-06-06,548.15,865.62,1706.3,370.75
2019-06-07,561.54,961.1,1822.24,434.0
2019-06-08,314.3,484.35,966.12,307.5
2019-06-09,466.78,787.72,1502.98,410.5
2019-06-10,715.25,958.45,2055.28,330.5
2019-06-11,745.45,831.38,1974.18,366.75
2019-06-12,878.55,1158.05,2504.95,385.0
2019-06-13,524.85,807.08,1611.9,357.0
2019-06-14,486.56,767.01,1512.78,414.25
2019-06-15,416.68,734.65,1373.52,378.25
2019-06-16,295.5,504.35,957.55,336.75
2019-06-17,475.85,777.02,1506.43,379.0
2019-06-18,1025.58,1364.6,2936.98,488.5
2019-06-19,933.8,1128.75,2560.72,587.25
2019-06-20,575.83,756.18,1639.3,355.75
2019-06-21,756.48,967.3,2127.1,405.25
2019-06-22,481.12,846.82,1584.4,392.25
2019-06-23,221.92,884.38,1224.7,866.5
2019-06-24,833.5,1256.23,2534.2,849.75
2019-06-25,714.82,1036.82,2132.75,645.0
2019-06-26,353.83,679.5,1222.2,511.25
2019-06-27,341.45,548.43,1072.0,548.5
2019-06-28,373.4,625.04,1197.55,702.88
2019-06-29,352.75,1032.12,1572.8,699.25
2019-06-30,307.2,532.83,1003.82,412.64
2019-07-01,554.5,690.25,1540.4,345.11
