MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3)
2019-01-15,1253.1,1590.2,3511.3,365.4,505.2
2019-01-16,875.3,1334.9,2676.5,622.5,345.3
2019-01-17,1148.2,1329.5,3090.1,512.3,420.3
2019-01-18,1123.9,1421.3,3144.7,437.1,636.3
2019-01-19,437.9,968.3,1639.8,577.4,597.3
2019-01-20,619.5,1205.9,2155.4,211.4,731.3
2019-01-21,1970.6,1545.0,4566.3,188.3,1173.8
2019-01-22,1463.6,1654.4,3898.8,377.7,573.3
2019-01-23,762.8,1128.3,2298.7,608.0,435.4
2019-01-24,2703.2,1919.7,6064.3,44.3,856.6
2019-01-25,2229.5,1684.9,5103.8,67.5,620.3
2019-01-26,768.8,1285.7,2464.9,670.7,353.7
2019-01-27,808.0,1047.7,2286.8,754.2,328.0
2019-01-28,1742.4,1440.6,4112.4,433.4,595.1
2019-01-29,1322.0,1522.4,3548.7,383.1,632.2
2019-01-30,2209.3,1665.5,5052.6,214.4,513.9
2019-01-31,2194.0,1431.2,4795.8,377.4,722.1
2019-02-01,478.9,839.9,1574.4,844.2,390.1
2019-02-02,387.4,676.8,1271.5,919.5,366.1
2019-02-03,1174.5,1275.4,3076.0,423.4,571.6
2019-02-04,1295.1,1225.3,3211.1,558.4,441.9
2019-02-05,905.8,1138.7,2527.8,413.2,415.3
2019-02-06,1074.2,1287.6,2935.0,425.8,557.05
2019-02-07,883.6,1131.7,2486.6,824.1,517.3
2019-02-08,499.8,976.0,1742.2,1050.4,390.9
2019-02-09,540.6,965.3,1794.3,1115.3,504.1
2019-02-10,845.4,1167.7,2464.6,696.8,232.3
2019-02-11,1218.4,1229.4,3097.4,555.4,394.4
2019-02-12,1428.3,1537.5,3727.3,313.8,577.7
2019-02-13,940.9,1299.6,2742.1,488.9,639.3
2019-02-14,1528.7,1479.0,3823.0,208.7,875.0
2019-02-15,1655.6,1524.3,4063.0,273.0,1009.3
2019-02-16,809.4,1343.8,2584.4,418.4,858.8
2019-02-17,415.3,1137.0,1773.9,753.0,825.5
2019-02-18,768.8,1285.5,2464.9,676.4,591.3
2019-02-19,1011.9,1376.3,2927.9,664.5,669.7
2019-02-20,789.2,1196.3,2407.0,739.7,591.0
2019-02-21,967.1,1420.0,2903.1,579.4,726.8
2019-02-22,1567.6,1470.4,3874.6,225.3,941.0
2019-02-23,1067.6,1218.6,2855.5,261.8,974.6
2019-02-24,1432.6,1532.1,3728.7,162.8,1052.2
2019-02-25,2236.8,1914.9,5345.0,110.7,1324.4
2019-02-26,2693.0,2172.5,6301.9,102.1,1508.2
2019-02-27,2842.9,2292.5,6651.7,126.8,1608.4
2019-02-28,1337.2,1808.8,3859.1,394.6,832.8
2019-03-01,1316.1,1414.1,3432.1,424.5,801.9
2019-03-02,581.4,1048.2,1939.4,934.3,515.2
2019-03-03,322.4,817.7,1308.7,1309.0,330.1
2019-03-04,1041.3,1282.5,2879.0,777.2,379.5
2019-03-05,868.6,1285.6,2616.7,952.5,444.8
2019-03-06,483.5,916.6,1658.2,1098.4,442.3
2019-03-07,776.7,1131.1,2322.7,928.1,334.4
2019-03-08,1276.1,1437.9,3394.9,632.0,435.5
2019-03-09,777.4,1317.4,2509.1,919.8,555.8
2019-03-10,552.7,1088.0,1935.0,1087.9,218.7
2019-03-11,1040.7,1340.7,2936.2,869.5,469.3
2019-03-12,676.3,1164.2,2201.9,1090.5,326.6
2019-03-13,884.0,1235.0,2589.0,930.7,504.4
2019-03-14,899.3,1393.6,2773.2,905.4,423.7
2019-03-15,867.9,1211.7,2542.0,750.0,310.2
2019-03-16,437.5,883.0,1553.7,1323.8,330.9
2019-03-17,919.4,1303.3,2713.5,820.9,197.8
2019-03-18,1675.4,1696.8,4265.4,395.0,470.1
2019-03-19,1463.5,1674.3,3918.7,291.0,568.7
2019-03-20,1292.4,1626.5,3608.4,447.8,437.8
2019-03-21,1288.9,1368.1,3344.4,365.5,489.4
2019-03-22,1171.2,1376.0,3171.6,506.4,502.8
2019-03-23,598.2,1108.1,2025.1,836.1,543.1
2019-03-24,801.2,1413.0,2640.8,791.9,503.0
2019-03-25,533.9,1011.5,1830.0,1213.6,417.8
2019-03-26,1233.4,1631.0,3521.8,683.6,736.0
2019-03-27,711.2,1346.8,2437.6,835.7,501.8
2019-03-28,770.4,1542.4,2723.1,803.0,640.8
2019-03-29,1211.8,1827.7,3685.5,541.6,1099.5
2019-03-30,1167.1,1612.8,3406.6,764.6,1209.8
2019-03-31,262.9,742.9,1145.9,1500.2,710.9
2019-04-01,464.5,1004.0,1716.2,1181.4,578.4
2019-04-02,1401.3,1765.8,3914.2,415.6,661.5
2019-04-03,859.9,1411.2,2729.5,772.8,442.5
2019-04-04,392.1,1024.2,1625.3,1222.2,335.0
2019-04-05,415.3,1028.5,1665.1,1249.1,459.0
2019-04-06,409.7,820.5,1448.8,1236.0,415.8
2019-04-07,275.1,673.6,1095.7,861.9,919.9
2019-04-08,810.3,1400.5,2643.0,616.0,1014.6
2019-04-09,396.2,921.8,1529.7,1150.2,824.7
