MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-09-13,1523.66,802.31,3138.69,311.19
2018-09-14,232.45,648.19,1004.34,330.98
2018-09-15,180.11,485.88,762.14,350.78
2018-09-16,43.15,408.55,474.89,370.57
2018-09-17,76.86,646.99,764.92,390.36
2018-09-18,62.96,353.0,449.48,410.15
2018-09-19,61.18,308.31,402.2,371.79
2018-09-20,74.23,365.02,478.62,308.05
2018-09-21,128.52,305.61,502.39,198.9
2018-09-22,121.38,489.84,676.01,275.4
2018-09-23,220.54,423.86,762.19,227.4
2018-09-24,1227.8,855.09,2737.26,352.8
2018-09-25,1417.59,1122.61,3296.26,386.0
2018-09-26,1658.1,1390.96,3933.55,439.1
2018-09-27,1161.11,1325.56,3106.08,514.0
2018-09-28,303.26,588.3,1053.6,263.3
2018-09-29,1192.44,1068.45,2897.08,546.0
2018-09-30,752.19,666.54,1820.21,426.6
2018-10-01,298.12,577.61,1035.05,274.6
2018-10-02,203.78,418.26,730.81,225.7
2018-10-03,1316.79,785.14,2804.3,355.3
2018-10-04,511.6,728.89,1513.67,329.1
2018-10-05,1365.07,1194.81,3288.27,728.2
2018-10-06,610.39,445.46,1381.36,346.9
2018-10-07,398.21,628.34,1238.95,337.8
2018-10-08,685.73,1091.95,2144.5,220.0
2018-10-09,1062.22,1167.61,2797.51,376.7
2018-10-10,1254.34,1216.08,3140.37,1015.2
2018-10-11,459.91,792.64,1498.73,329.6
2018-10-12,330.38,604.59,1111.9,241.1
2018-10-13,216.31,523.5,855.78,252.5
2018-10-14,184.9,449.35,733.42,157.7
2018-10-15,368.9,606.61,1172.46,218.7
2018-10-16,332.65,645.51,1155.49,355.05
2018-10-17,538.88,846.78,1672.56,271.06
2018-10-18,671.63,835.55,1865.21,458.94
2018-10-19,2087.66,1115.8,4316.95,626.3
2018-10-20,2360.66,1122.17,4741.7,800.95
2018-10-21,995.52,735.04,2261.64,537.2
2018-10-22,798.36,835.21,2059.45,397.8
2018-10-23,403.29,703.11,1321.49,372.1
2018-10-24,436.64,768.25,1437.59,409.6
2018-10-25,636.14,800.96,1776.32,397.9
2018-10-26,291.04,631.94,1078.19,212.3
2018-10-27,193.81,371.88,668.88,151.6
2018-10-28,125.78,341.65,534.91,175.15
2018-10-29,370.41,634.82,1203.1,163.5
2018-10-30,353.75,636.08,1178.56,282.8
2018-10-31,2096.96,1151.9,4366.81,613.7
2018-11-01,840.2,924.55,2212.66,436.15
2018-11-02,2850.85,1257.53,5628.94,658.9
2018-11-03,851.78,916.68,2222.94,480.6
2018-11-04,181.89,697.14,975.96,538.7
2018-11-05,1676.34,842.36,3413.05,1303.7
2018-11-06,1045.19,688.25,2290.94,821.6
2018-11-07,171.44,510.14,773.16,189.95
2018-11-08,312.02,839.04,1317.46,345.7
2018-11-09,369.65,616.4,1183.05,347.3
2018-11-10,232.61,743.79,1100.16,237.24
2018-11-11,115.9,602.91,780.75,177.62
2018-11-12,291.06,876.41,1322.89,174.54
2018-11-13,239.04,835.1,1201.71,266.51
2018-11-14,542.64,972.55,1804.69,365.6
2018-11-15,803.86,795.97,2028.44,627.1
2018-11-16,579.46,602.33,1490.6,435.3
2018-11-17,551.4,817.06,1662.59,650.7
2018-11-18,251.74,647.52,1033.52,463.9
2018-11-19,296.41,535.52,989.98,229.3
2018-11-20,389.22,632.12,1228.9,328.3
2018-11-21,1248.6,877.4,2792.02,696.4
2018-11-22,2429.64,1017.14,4742.5,1207.7
2018-11-23,992.66,934.94,2456.98,945.4
2018-11-24,338.16,800.05,1318.68,627.6
2018-11-25,190.54,519.3,811.29,483.4
2018-11-26,538.86,791.39,1617.66,354.75
2018-11-27,788.15,840.98,2049.66,474.4
2018-11-28,247.84,842.68,1222.25,193.7
2018-11-29,114.49,498.1,673.76,190.2
2018-11-30,165.34,736.76,990.28,268.5
