MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-07-13,144.37,563.51,785.34,376.6,200.4
2018-07-14,173.7,705.38,972.14,399.85,243.9
2018-07-15,183.42,782.9,1064.58,444.4,256.1
2018-07-16,237.6,835.57,1200.53,436.4,228.9
2018-07-17,235.28,695.64,1056.92,328.45,127.0
2018-07-18,344.6,915.0,1443.66,393.45,164.8
2018-07-19,216.88,797.02,1129.91,425.55,203.0
2018-07-20,245.71,853.09,1229.9,472.8,260.6
2018-07-21,182.54,836.66,1116.59,546.2,366.5
2018-07-22,206.11,799.07,1115.29,402.7,261.1
2018-07-23,279.17,802.44,1230.83,416.5,211.14
2018-07-24,273.17,814.61,1233.83,388.47,201.81
2018-07-25,162.94,676.38,926.62,408.68,192.48
2018-07-26,153.12,773.5,1008.71,584.4,183.14
2018-07-27,212.15,864.61,1190.01,525.81,173.81
2018-07-28,177.53,512.48,785.1,375.68,164.48
2018-07-29,167.3,478.5,735.29,291.24,155.15
2018-07-30,259.56,551.97,949.89,305.66,130.29
2018-07-31,275.91,662.54,1085.78,312.0,137.2
2018-08-01,300.28,732.1,1192.78,374.05,180.2
2018-08-02,265.51,772.32,1179.42,416.4,194.4
2018-08-03,265.44,749.79,1157.01,476.35,244.2
2018-08-04,95.82,470.01,617.11,304.65,163.4
2018-08-05,113.04,486.22,659.7,225.31,128.7
2018-08-06,278.77,816.64,1244.04,336.39,233.9
2018-08-07,305.5,892.16,1360.44,378.93,306.2
2018-08-08,214.62,595.78,924.83,252.12,114.7
2018-08-09,374.98,783.69,1358.7,247.12,163.6
2018-08-10,485.7,780.2,1524.95,254.06,131.6
2018-08-11,568.35,815.35,1686.65,251.31,150.4
2018-08-12,329.6,636.2,1141.6,237.65,115.4
2018-08-13,192.7,494.95,790.75,288.04,150.9
2018-08-14,212.2,576.6,902.25,289.24,148.2
2018-08-15,390.18,658.32,1256.53,296.08,149.9
2018-08-16,687.65,773.9,1828.45,357.95,141.5
2018-08-17,712.25,770.05,1861.8,369.75,156.4
2018-08-18,381.05,593.9,1177.8,320.05,136.0
2018-08-19,216.95,417.8,750.3,272.6,133.6
2018-08-20,417.75,744.05,1384.25,315.65,215.2
2018-08-21,400.7,787.7,1401.85,280.63,143.7
2018-08-22,617.35,815.05,1761.75,394.55,238.4
2018-08-23,293.25,480.55,930.2,276.3,169.7
2018-08-24,211.55,468.0,792.4,240.6,114.9
2018-08-25,327.15,462.15,963.6,219.85,93.5
2018-08-26,491.3,636.6,1389.95,254.7,120.2
2018-08-27,99.4,327.6,479.7,205.35,117.6
2018-08-28,927.25,1016.55,2438.0,371.2,198.6
2018-08-29,289.4,628.0,1071.9,336.7,226.8
2018-08-30,173.9,513.3,779.95,349.85,192.4
2018-08-31,338.67,702.85,1222.65,383.2,194.2
2018-09-01,392.3,986.35,1588.0,493.1,275.8
2018-09-02,176.5,815.1,1085.6,532.45,332.5
2018-09-03,413.75,820.4,1454.55,494.95,307.6
2018-09-04,40.0,387.05,448.25,389.5,234.8
2018-09-05,58.95,384.8,475.3,332.05,167.8
2018-09-06,157.25,501.0,742.0,388.4,259.6
2018-09-07,262.5,685.8,1088.45,284.2,133.3
2018-09-08,670.15,970.95,1998.75,308.4,160.6
2018-09-09,295.0,642.1,1094.6,294.0,132.7
2018-09-10,443.35,668.45,1347.9,353.8,133.6
2018-09-11,383.5,529.05,1117.2,321.25,119.4
2018-09-12,434.95,529.85,1196.95,213.15,113.5
2018-09-13,1285.77,933.8,2905.25,457.85,283.2
2018-09-14,613.05,961.95,1902.0,325.3,149.0
2018-09-15,528.15,839.5,1649.0,381.85,210.1
2018-09-16,317.05,699.2,1185.35,356.1,150.4
2018-09-17,439.6,1001.1,1674.95,421.35,192.2
2018-09-18,333.05,569.6,1080.15,414.75,153.0
2018-09-19,364.15,535.5,1093.7,457.7,165.6
2018-09-20,339.9,505.3,1026.5,461.6,139.4
2018-09-21,163.3,439.65,690.25,249.35,98.7
2018-09-22,362.5,705.0,1260.45,271.3,136.3
2018-09-23,124.95,397.75,589.1,168.35,88.1
2018-09-24,972.15,897.5,2388.15,306.7,172.8
2018-09-25,1908.45,1345.7,4271.75,462.7,250.5
2018-09-26,1596.6,1596.4,4044.65,551.65,306.5
2018-09-27,1469.6,1496.3,3749.3,641.65,396.1
2018-09-28,234.05,436.75,796.0,273.3,90.6
2018-09-29,691.0,1077.4,2136.7,438.95,226.5
2018-09-30,442.2,606.8,1284.9,354.45,215.8
2018-10-01,101.85,507.33,663.38,238.1,112.3
2018-10-02,156.75,501.2,741.5,246.55,99.7
2018-10-03,934.05,817.05,2249.5,343.05,175.1
2018-10-04,1406.9,970.4,3127.75,483.15,277.9
2018-10-05,1554.7,1415.8,3799.25,701.6,416.7
2018-10-06,520.5,594.6,1392.45,298.15,199.5
2018-10-07,485.8,643.15,1388.2,309.85,157.5
2018-10-08,1355.95,1293.2,3372.35,407.35,209.1
2018-10-09,1303.45,1424.95,3423.6,516.2,258.0
2018-10-10,345.45,1073.2,1603.0,984.0,775.4
2018-10-11,424.3,841.8,1492.5,447.3,213.8
2018-10-12,368.5,749.5,1314.35,398.9,124.8
2018-10-13,404.4,783.8,1404.1,365.15,185.0
2018-10-14,87.3,321.05,455.1,131.4,69.9
2018-10-15,227.4,497.1,845.65,277.0,155.1
