Year,Borough, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Sulphur Dioxide (ug/m3), PM10 Particulate (ug/m3), Ozone (ug/m3), PM2.5 Particulate (ug/m3), Carbon Monoxide (mg/m3)
2018,Haringey,145.18328767123288,540.1850684931508,762.8064383561648,,,1066.5983561643834,,
2019,Haringey,160.65493150684918,525.2579452054795,771.5761643835617,,,1046.2732876712334,,
2020,Haringey,96.47158469945353,389.64562841530073,537.554098360656,,,1254.6468579234977,,
2021,Haringey,58.968784530386735,434.75138121546996,525.1016574585641,,,1361.9149171270717,,
2018,Harrow,416.50417808219186,659.147602739726,1298.2625342465756,,429.7215753424658,,,
2019,Harrow,427.8069178082194,680.2699999999998,1336.2247945205481,,418.04452054794524,,,
2020,Harrow,242.76101067391778,461.3513087026237,833.4144421926458,,375.499180327869,,,
2021,Harrow,237.18367454887348,500.35163544110304,864.0241113673569,,403.4944751381216,,,
2018,Havering,486.8353424657533,799.5221232876717,1546.050205479452,,440.32698630136963,,260.67876712328774,
2019,Havering,518.0265753424657,808.1389726027396,1602.452191780822,,455.2339726027397,,263.09,
2020,Havering,365.678005464481,621.470286885246,1182.1494535519125,,431.64583333333337,,204.04795081967222,
2021,Havering,299.4013812154696,589.5182320441988,1048.5831491712713,,428.0614640883979,,212.34723756906084,
2018,Hillingdon,482.74154039698055,911.4401290653251,1651.6083361289727,,374.5598630136985,828.4028767123291,227.65205479452064,
2019,Hillingdon,494.7507198769916,900.8903503867293,1659.486526884727,,358.38164383561656,794.0390410958906,225.63328767123278,
2020,Hillingdon,224.27479508196714,575.3888661202186,919.2108606557379,,326.84262295081936,1014.1161202185788,190.7465846994535,
2021,Hillingdon,121.03687845303867,484.31243093922626,444.0364640883972,,615.8690607734789,866.2488950276236,537.0966850828729,
2018,Islington,601.4384246575336,883.7850000000001,1805.9330821917792,,478.97904109589035,,,
2019,Islington,489.3565068493149,784.3711643835619,1534.7171917808228,,477.9638356164386,,,
2020,Islington,243.68627049180333,605.6302595628416,979.2832650273224,,431.4171448087431,,,
2021,Islington,183.58176795580107,595.9158839779006,877.4319060773482,,454.90110497237583,,,
2018,Kensington and Chelsea,134.73506849315066,565.321506849315,975.4153424657534,35.32013698630139,339.6623972602739,1072.716301369862,213.50952054794527,3.4680821917808218
2019,Kensington and Chelsea,188.37410958904115,654.5231506849312,943.3672602739724,39.98753424657534,348.78438356164384,1143.7405479452048,229.63897260273967,3.8721917808219137
2020,Kensington and Chelsea,120.49699453551915,493.4478142076502,678.2203551912568,57.26571038251366,319.9,1328.1760928961737,194.26010928961767,3.2749999999999995
2021,Kensington and Chelsea,94.85110497237567,485.1162983425413,630.5649171270717,81.63618784530385,596.6475138121532,1311.2154696132598,474.9414364640896,3.87900552486188
2018,Kingston upon Thames,999.7870776255708,1139.3454794520542,2672.255205479451,,559.1753424657535,,,
2019,Kingston upon Thames,928.2609589041091,1054.9594520547946,2478.2703196347024,,540.2173515981735,,,
2020,Kingston upon Thames,599.8454007285976,812.011338797814,1731.8432604735888,,509.12249544626593,,,
2021,Kingston upon Thames,565.1880294659298,821.60635359116,1688.2546961325963,,536.3987108655616,,,
2018,Lambeth,1444.4757819427589,1602.7457592335393,3817.50690775476,85.63917808219169,665.0844540069266,,,
2019,Lambeth,964.5586472809847,1278.6255649673733,2757.5065625648745,97.765205479452,654.6598382305164,,,
2020,Lambeth,722.8823770491803,987.0209471766849,2095.431010928962,98.45122950819676,703.1329690346084,,,
2021,Lambeth,705.3883977900551,1004.6680478821363,2086.2375690607737,111.62430939226519,732.1574585635359,,,
2018,Lewisham,680.896273972601,781.4068767123281,1716.09691780822,,419.27867579908667,342.26410958903955,241.40534246575356,
